country,hazard,rp,gar,glofris
Argentina,flood,1,0.00029686755387236716,0.0
Argentina,flood,20,0.002204986667729038,0.031118752862797035
Argentina,flood,50,0.004100575714927276,0.03619713805885807
Argentina,flood,100,0.00587490585921655,0.03953863791740817
Argentina,flood,250,0.008783968947383671,0.04237840199136217
Argentina,flood,500,0.011605960624674044,0.044637991097449384
Argentina,flood,1000,0.0151234732862027,0.04839416642278654
Argentina,flood,1500,0.016313385647853045,0.049276666087594304
Argentina,flood,2000,1.0842021724855043e-16,0.04952330194389444
Colombia,flood,1,0.0002744617107878736,0.0
Colombia,flood,20,0.003913894688310217,0.013473818733624745
Colombia,flood,50,0.007538611453592455,0.015258459479736001
Colombia,flood,100,0.010326138437628694,0.016330910951232205
Colombia,flood,250,0.025783690487911518,0.01789685866670844
Colombia,flood,500,0.0291316241767479,0.018728854809083463
Colombia,flood,1000,0.0351634952153186,0.01924722354606896
Colombia,flood,1500,0.04035789074898077,0.019594560213976996
Colombia,flood,2000,0.0,0.019772924192346306
Peru,flood,1,0.00018331112637612343,0.0
Peru,flood,20,0.003002969486311016,0.06229803761283243
Peru,flood,50,0.005471927874109006,0.07049464470805009
Peru,flood,100,0.007814974059175701,0.07727297592997798
Peru,flood,250,0.013291993306805134,0.08405130715190587
Peru,flood,500,0.017488948703319875,0.08744047276286981
Peru,flood,1000,0.0230242409636814,0.09150747149602655
Peru,flood,1500,0.02632930242870245,0.09354097086260492
Peru,flood,2000,-1.0842021724855043e-16,0.09693013647356886
