country,hazard,rp,gar,glofris,ssbn_pop,ssbn_space,,,,,,,,,
Argentina,flood,1,0.000296868,0,0,0,,,,,,,,,
Argentina,flood,20,0.002204987,0.031118753,0.011018883,0.020686291,,,,,,,,,
Argentina,flood,50,0.004100576,0.036197138,0.017145856,0.026677124,,,,,,,,,
Argentina,flood,100,0.005874906,0.039538638,0.027575604,0.043301121,,,,,,,,,
Argentina,flood,250,0.008783969,0.042378402,0.034519942,0.060931199,,,,,,,,,
Argentina,flood,500,0.011605961,0.044637991,0.042772955,0.077741219,,,,,,,,,0.115259584
Argentina,flood,1000,0.015123473,0.048394166,0.048709195,0.103077715,,,,,,,,,
Argentina,flood,1500,0.016313386,0.049276666,0.057675235,0.103377476,,,,,,,,,
Argentina,flood,2000,1.08E-16,0.049523302,0.057809064,0.104749274,,,,,,,,,
Colombia,flood,1,0.000274462,0,0,0,,,,,,,,,
Colombia,flood,20,0.003913895,0.013473819,0.015500943,0.063299328,,,,,,,,,
Colombia,flood,50,0.007538611,0.015258459,0.02107928,0.07970014,,,,,,,,,
Colombia,flood,100,0.010326138,0.016330911,0.024157058,0.088734073,,,,,,,,,
Colombia,flood,250,0.02578369,0.017896859,0.029291663,0.100309312,,,,,,,,,
Colombia,flood,500,0.029131624,0.018728855,0.033391041,0.108121229,,,,,,,,,
Colombia,flood,1000,0.035163495,0.019247224,0.037809138,0.120918906,,,,,,,,,
Colombia,flood,1500,0.040357891,0.01959456,0.038847626,0.122211827,,,,,,,,,
Colombia,flood,2000,0,0.019772924,0.039856498,0.12522484,,,,,,,,,
Peru,flood,1,0.000183311,0,,,,,,,,,,,
Peru,flood,20,0.003002969,0.062298038,,,,,,,,,,,
Peru,flood,50,0.005471928,0.070494645,,,,,,,,,,,
Peru,flood,100,0.007814974,0.077272976,,,,,,,,,,,
Peru,flood,250,0.013291993,0.084051307,,,,,,,,,,,
Peru,flood,500,0.017488949,0.087440473,,,,,,,,,,,
Peru,flood,1000,0.023024241,0.091507471,,,,,,,,,,,
Peru,flood,1500,0.026329302,0.093540971,,,,,,,,,,,
Peru,flood,2000,-1.08E-16,0.096930136,,,,,,,,,,,
