Armenia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",16.956546370916904,0.0,17 (7.4%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",11.67067901661402,9.431866737834513,12 (5.1%),9.4 (5.8%)
"Reduce exposure
of the poor by 5%
of total exposure",11.062915775072634,3.006082027886152,11 (4.8%),3 (1.8%)
"Universal
access to early
warnings",8.06513970386219,5.630419899748742,8.1 (3.5%),5.6 (3.5%)
"Develop market
insurance
(nonpoor people)",7.682190887459993,0.0,7.7 (3.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",3.5570706616513132,2.8316909604934453,3.6 (1.5%),2.8 (1.7%)
"Postdisaster
support
package",3.4754381061147153,0.0,3.5 (1.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",3.4004389338390526,0.8991079551142453,3.4 (1.5%),0.9 (0.55%)
"Universal
access to
finance",2.8779353883620797,0.0,2.9 (1.2%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.6304654294542074,-1.198810606818974,-0.63 (-0.27%),-1.2 (-0.74%)
