Burundi,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",4.541436740233786,0.0,4.5 (9.4%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",4.375570017320931,0.9565738145455941,4.4 (9%),0.96 (3.3%)
"Increase social
transfers to poor
people to at
least 33%",3.7413363430212137,0.0,3.7 (7.7%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",1.9222087416995912,1.5547958153798729,1.9 (4%),1.6 (5.4%)
"Universal
access to early
warnings",1.8105357048361375,1.0080565603043623,1.8 (3.7%),1 (3.5%)
"Develop market
insurance
(nonpoor people)",1.4964549769213646,0.0,1.5 (3.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1.4722192439360469,0.2962294600212611,1.5 (3%),0.3 (1%)
"Postdisaster
support
package",1.2793391220246255,0.0,1.3 (2.6%),0 (0%)
"Universal
access to
finance",1.0984224583898932,0.0,1.1 (2.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.5936255916539653,0.46267708100076765,0.59 (1.2%),0.46 (1.6%)
"Increase
income of the
poor 10%",0.07039086604508757,-0.3949726133616753,0.07 (0.15%),-0.39 (-1.4%)
