Central African Republic,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",5.897135431434702,2.7887479061530565,5.9 (21%),2.8 (19%)
"Increase social
transfers to poor
people to at
least 33%",3.9356014414169787,0.0,3.9 (14%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",2.940402590391431,0.15258466860837488,2.9 (10%),0.15 (1%)
"Postdisaster
support
package",2.1804910274081526,0.0,2.2 (7.7%),0 (0%)
"Accelerate
reconstruction
(by 33%)",1.9816108401080927,0.0,2 (7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1.1686740724489018,0.0535088275437802,1.2 (4.1%),0.05 (0.36%)
"Develop market
insurance
(nonpoor people)",1.1148649835698567,0.0,1.1 (3.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",0.9607698402935303,0.925140304453291,0.96 (3.4%),0.93 (6.2%)
"Universal
access to
finance",0.8997193313018716,0.0,0.9 (3.2%),0 (0%)
"Increase
income of the
poor 10%",0.4888671906091869,-0.07134510339170694,0.49 (1.7%),-0.07 (-0.48%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.3064757681534849,0.2658199028640557,0.31 (1.1%),0.27 (1.8%)
