El Salvador,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",190.72710757191967,28.029348318126914,190 (9.6%),28 (2.2%)
"Increase social
transfers to poor
people to at
least 33%",158.14789553712535,0.0,160 (8%),0 (0%)
"Postdisaster
support
package",108.29703221855544,-2.384185791015625e-13,110 (5.5%),-0 (-0%)
"Develop market
insurance
(nonpoor people)",103.59740825769138,0.0,100 (5.2%),0 (0%)
"Universal
access to
finance",88.88348904251814,0.0,89 (4.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",76.50551315967655,73.48714146411919,77 (3.9%),73 (5.7%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",73.31429102979159,8.506308112261294,73 (3.7%),8.5 (0.66%)
"Accelerate
reconstruction
(by 33%)",49.287813164836166,0.0,49 (2.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",24.502783649600268,21.98223387096095,25 (1.2%),22 (1.7%)
"Increase
income of the
poor 10%",7.845321768041372,-11.341744149682283,7.8 (0.4%),-11 (-0.88%)
"Universal
access to early
warnings",7.7045458717999455,4.051857471304655,7.7 (0.39%),4.1 (0.32%)
