India,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",2658.3577640342787,0.0,2700 (9.2%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",1972.3104385278968,460.66411918355556,2000 (6.8%),460 (2.5%)
"Universal
access to early
warnings",1347.824194253914,807.7408900369987,1300 (4.7%),810 (4.5%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",1309.3042374382667,1023.9135796581287,1300 (4.5%),1000 (5.7%)
"Increase social
transfers to poor
people to at
least 33%",1064.0759586337508,0.0,1100 (3.7%),0 (0%)
"Develop market
insurance
(nonpoor people)",981.948700118946,0.0,980 (3.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",695.2873441937179,146.94676686211014,700 (2.4%),150 (0.81%)
"Universal
access to
finance",514.2313478071366,0.0,510 (1.8%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",392.23302046425243,302.3133111876907,390 (1.4%),300 (1.7%)
"Postdisaster
support
package",292.8999981240196,0.0,290 (1%),0 (0%)
"Increase
income of the
poor 10%",-25.86624139234924,-195.92902248280714,-26 (-0.09%),-200 (-1.1%)
