Japan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce
exposure of the nonpoor by 5%
of total exposure",2022.1576895958938,1758.7045541501807,2000 (5.3%),1800 (5.9%)
"Accelerate
reconstruction
(by 33%)",1583.6527168093185,0.0,1600 (4.1%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",1533.8218734124907,423.85326417409897,1500 (4%),420 (1.4%)
"Develop market
insurance
(nonpoor people)",1468.1930319931946,0.0,1500 (3.8%),0 (0%)
"Universal
access to early
warnings",781.9358603540192,594.1637792232056,780 (2%),590 (2%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",605.6696374945068,524.2404910560455,610 (1.6%),520 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",511.0170447304229,130.4055448455429,510 (1.3%),130 (0.44%)
"Universal
access to
finance",395.08151028315734,0.0,400 (1%),0 (0%)
"Postdisaster
support
package",337.31342693051147,0.0,340 (0.88%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-74.951988020195,-173.87405979404068,-75 (-0.2%),-170 (-0.59%)
