Jordan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",15.880137940303534,3.941134416667402,16 (7.2%),3.9 (2.4%)
"Develop market
insurance
(nonpoor people)",13.274184364275067,0.0,13 (6%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",9.91112953507465,9.148459903614015,9.9 (4.5%),9.1 (5.6%)
"Postdisaster
support
package",8.598357460179626,0.0,8.6 (3.9%),0 (0%)
"Accelerate
reconstruction
(by 33%)",7.890223948691219,0.0,7.9 (3.6%),0 (0%)
"Universal
access to
finance",6.95329713997212,0.0,7 (3.1%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",6.240825689152181,0.0,6.2 (2.8%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",5.5789515397686955,1.1859683956977725,5.6 (2.5%),1.2 (0.73%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",3.250756694049209,2.7424325329162476,3.3 (1.5%),2.7 (1.7%)
"Universal
access to early
warnings",0.3684465362576544,0.23964078746992348,0.37 (0.17%),0.24 (0.15%)
"Increase
income of the
poor 10%",-0.40651877664923664,-1.5812911942636967,-0.41 (-0.18%),-1.6 (-0.98%)
