Lao PDR,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",143.41087946408223,29.89951332778239,140 (9.5%),30 (2.7%)
"Universal
access to early
warnings",140.77286937648557,98.63441396069658,140 (9.3%),99 (8.9%)
"Increase social
transfers to poor
people to at
least 33%",90.0706217413187,0.0,90 (5.9%),0 (0%)
"Accelerate
reconstruction
(by 33%)",77.05234778265618,0.0,77 (5.1%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",61.766518406366586,61.17458290139687,62 (4.1%),61 (5.5%)
"Develop market
insurance
(nonpoor people)",57.5189477811265,0.0,58 (3.8%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",40.27166441977835,7.824619335707903,40 (2.7%),7.8 (0.7%)
"Postdisaster
support
package",38.09471761856794,0.0,38 (2.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",19.874737799422977,18.938164110885857,20 (1.3%),19 (1.7%)
"Universal
access to
finance",16.33954578443694,0.0,16 (1.1%),0 (0%)
"Increase
income of the
poor 10%",4.0165901018040175,-10.432825780943393,4 (0.26%),-10 (-0.94%)
