Lesotho,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",8.945435541446566,0.3888170618591234,8.9 (11%),0.39 (0.78%)
"Increase social
transfers to poor
people to at
least 33%",7.64146612511684,0.0,7.6 (9.2%),0 (0%)
"Universal
access to early
warnings",6.4534836030615415,3.524654333882369,6.5 (7.8%),3.5 (7.1%)
"Postdisaster
support
package",4.980851224693462,-7.450580596923828e-15,5 (6%),-0 (-0%)
"Develop market
insurance
(nonpoor people)",4.62433746147342,0.0,4.6 (5.6%),0 (0%)
"Accelerate
reconstruction
(by 33%)",3.6037636828234043,0.0,3.6 (4.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3.0345135427327303,2.9803299437329396,3 (3.7%),3 (6%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",2.996146655660033,0.10976307851077616,3 (3.6%),0.11 (0.22%)
"Universal
access to
finance",2.55137060333921,0.0,2.6 (3.1%),0 (0%)
"Increase
income of the
poor 10%",1.1522118237984627,-0.146350771347709,1.2 (1.4%),-0.15 (-0.29%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.0563352197526246,0.9072869010624811,1.1 (1.3%),0.91 (1.8%)
