Mauritania,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Increase social
transfers to poor
people to at
least 33%",47.683577810917924,0.0,48 (27%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",30.438647833267687,4.334667768452488,30 (17%),4.3 (6.9%)
"Universal
access to early
warnings",17.146238529929548,5.653628860231041,17 (9.7%),5.7 (9%)
"Postdisaster
support
package",13.459358406460165,-7.450580596923828e-15,13 (7.6%),-0 (-0%)
"Universal
access to
finance",11.964448362238825,0.0,12 (6.8%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",11.12805761710745,1.4067070600972846,11 (6.3%),1.4 (2.2%)
"Accelerate
reconstruction
(by 33%)",9.02804498632407,0.0,9 (5.1%),0 (0%)
"Increase
income of the
poor 10%",3.267271057137668,-1.875609413463004,3.3 (1.8%),-1.9 (-3%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",2.9280272307493984,2.827842677483119,2.9 (1.7%),2.8 (4.5%)
"Develop market
insurance
(nonpoor people)",1.9823904919183253,0.0,2 (1.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.8097257743210792,0.8310147555088923,0.81 (0.46%),0.83 (1.3%)
