Pakistan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",599.343357206994,163.08664036285495,600 (8%),160 (3.4%)
"Accelerate
reconstruction
(by 33%)",591.5250406637612,0.0,590 (7.9%),0 (0%)
"Universal
access to early
warnings",546.6332192535352,335.0038115061817,550 (7.3%),340 (6.9%)
"Increase social
transfers to poor
people to at
least 33%",522.2080574469852,0.0,520 (7%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",313.2283393719511,264.18978971852874,310 (4.2%),260 (5.4%)
"Develop market
insurance
(nonpoor people)",275.5612199082594,0.0,280 (3.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",212.65738281174086,51.987530010927195,210 (2.9%),52 (1.1%)
"Postdisaster
support
package",156.40782034850503,9.5367431640625e-13,160 (2.1%),0 (0%)
"Universal
access to
finance",147.38988347522545,0.0,150 (2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",95.71717031083584,78.01706366051387,96 (1.3%),78 (1.6%)
"Increase
income of the
poor 10%",-7.5740077473497385,-69.31670668123913,-7.6 (-0.1%),-69 (-1.4%)
