Panama,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",35.222613612681805,0.0,35 (11%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",26.20059197756588,1.4815839218994677,26 (8.1%),1.5 (0.93%)
"Increase social
transfers to poor
people to at
least 33%",24.120190354578853,0.0,24 (7.5%),0 (0%)
"Postdisaster
support
package",15.842406025738418,0.0,16 (4.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",13.309387402921377,10.089778180478632,13 (4.1%),10 (6.3%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",10.563849627295554,0.5498257501193583,11 (3.3%),0.55 (0.35%)
"Develop market
insurance
(nonpoor people)",9.255588210369467,0.0,9.3 (2.9%),0 (0%)
"Universal
access to
finance",6.988891055210173,0.0,7 (2.2%),0 (0%)
"Universal
access to early
warnings",4.726567689464211,1.2065209541254938,4.7 (1.5%),1.2 (0.76%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",3.7518039299620387,2.847570695377618,3.8 (1.2%),2.8 (1.8%)
"Increase
income of the
poor 10%",3.7248588341966866,-0.7331010001591741,3.7 (1.2%),-0.73 (-0.46%)
