Philippines,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",3403.684778199264,2298.859665409195,3400 (8.4%),2300 (8.2%)
"Reduce exposure
of the poor by 5%
of total exposure",3323.6588950723876,571.5573278269538,3300 (8.2%),570 (2%)
"Accelerate
reconstruction
(by 33%)",2285.052494105148,0.0,2300 (5.6%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",1773.4174240640791,0.0,1800 (4.4%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",1724.921548306282,1613.0261536886214,1700 (4.2%),1600 (5.7%)
"Develop market
insurance
(nonpoor people)",1264.2600640723724,0.0,1300 (3.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1072.1047894081269,170.73335892835235,1100 (2.6%),170 (0.61%)
"Postdisaster
support
package",907.2290715748443,0.0,910 (2.2%),0 (0%)
"Universal
access to
finance",633.9906611769256,0.0,630 (1.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",514.0138635611953,484.4255991468353,510 (1.3%),480 (1.7%)
"Increase
income of the
poor 10%",143.52117925318146,-227.64447857113265,140 (0.35%),-230 (-0.81%)
