Sudan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",63.01558137924939,0.0,63 (15%),0 (0%)
"Universal
access to early
warnings",38.43852956738347,18.546335274962843,38 (9.3%),19 (8.9%)
"Reduce exposure
of the poor by 5%
of total exposure",38.30076702528983,4.18183242243731,38 (9.3%),4.2 (2%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",17.573767313530325,11.476506665161073,18 (4.2%),11 (5.5%)
"Increase social
transfers to poor
people to at
least 33%",11.491653228545665,0.0,11 (2.8%),0 (0%)
"Develop market
insurance
(nonpoor people)",10.987412774431824,0.0,11 (2.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",9.17786977808839,0.9462925472014546,9.2 (2.2%),0.95 (0.46%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",5.803592653185129,3.6544451452609894,5.8 (1.4%),3.7 (1.8%)
"Postdisaster
support
package",3.7621711870144603,2.980232238769531e-14,3.8 (0.91%),0 (0%)
"Universal
access to
finance",1.6464691629657744,0.0,1.6 (0.4%),0 (0%)
"Increase
income of the
poor 10%",0.9676067709585428,-1.2617233962684868,0.97 (0.23%),-1.3 (-0.61%)
