Tanzania,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",55.94544592716938,9.219148648863614,56 (10%),9.2 (2.8%)
"Increase social
transfers to poor
people to at
least 33%",51.11004731018787,0.0,51 (9.3%),0 (0%)
"Accelerate
reconstruction
(by 33%)",47.199766469350216,0.0,47 (8.6%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",20.947550126675246,18.082834599784313,21 (3.8%),18 (5.5%)
"Develop market
insurance
(nonpoor people)",17.881992313293694,0.0,18 (3.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",17.470834527565298,2.6135152628448606,17 (3.2%),2.6 (0.8%)
"Universal
access to early
warnings",15.014609881973922,8.642679013367593,15 (2.7%),8.6 (2.6%)
"Postdisaster
support
package",14.672279642470835,-5.960464477539062e-14,15 (2.7%),-0 (-0%)
"Universal
access to
finance",12.570111303635954,0.0,13 (2.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",6.620518106072425,5.499497669323861,6.6 (1.2%),5.5 (1.7%)
"Increase
income of the
poor 10%",3.163528005576372,-3.4846870171265603,3.2 (0.57%),-3.5 (-1.1%)
