"Yemen, Rep.",Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",54.43578521202099,39.46705654081243,54 (8.6%),39 (8.1%)
"Reduce exposure
of the poor by 5%
of total exposure",43.083743960524316,9.226041424520849,43 (6.8%),9.2 (1.9%)
"Develop market
insurance
(nonpoor people)",29.054004393282295,0.0,29 (4.6%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",28.730246381528136,28.068874711735663,29 (4.5%),28 (5.8%)
"Accelerate
reconstruction
(by 33%)",28.141539543892144,0.0,28 (4.4%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",23.1211416651628,0.0,23 (3.7%),0 (0%)
"Postdisaster
support
package",17.583458249563932,-5.960464477539062e-14,18 (2.8%),-0 (-0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",14.050555729856132,2.8308709503293037,14 (2.2%),2.8 (0.58%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",9.07424517827487,8.372700842046141,9.1 (1.4%),8.4 (1.7%)
"Universal
access to
finance",8.335189643759131,0.0,8.3 (1.3%),0 (0%)
"Increase
income of the
poor 10%",0.8429137046544551,-3.77449460043925,0.84 (0.13%),-3.8 (-0.78%)
