REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Thousand Pesos,,,,,,,,
Table 1.1A.  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
AT CURRENT PRICES,,,,,,,,
,,,,,,,,
REGION / YEAR,,2013,2014,2015,,,,
,,,,,,,,
PHILIPPINES,,"11,538,410,475 ","12,645,271,245 ","13,307,265,222 ",,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,"4,294,857,113 ","4,680,004,811 ","5,047,837,517 ",,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,"217,911,539 ","231,178,854 ","233,834,436 ",,,,
I ,ILOCOS,"358,303,294 ","393,253,425 ","407,188,853 ",,,,
II ,CAGAYAN VALLEY,"210,441,570 ","239,068,741 ","235,728,211 ",,,,
III ,CENTRAL LUZON ,"1,017,496,160 ","1,152,151,585 ","1,183,517,977 ",,,,
IV ,SOUTHERN TAGALOG /1,0 ,0 ,0 ,,,,
IVA,CALABARZON ,"1,873,053,422 ","2,014,579,903 ","2,060,578,198 ",,,,
IVB,MIMAROPA ,"189,371,652 ","214,232,119 ","204,302,744 ",,,,
V ,BICOL,"243,879,992 ","264,743,270 ","281,282,610 ",,,,
VI ,WESTERN VISAYAS,"459,901,033 ","503,088,563 ","546,888,146 ",,,,
VII ,CENTRAL VISAYAS,"737,738,450 ","823,285,956 ","866,935,368 ",,,,
VIII ,EASTERN VISAYAS,"250,224,112 ","258,651,126 ","269,759,570 ",,,,
IX ,ZAMBOANGA PENINSULA,"235,372,712 ","256,854,611 ","275,835,019 ",,,,
X ,NORTHERN MINDANAO,"436,620,968 ","485,625,841 ","516,254,717 ",,,,
XI ,DAVAO REGION ,"459,750,310 ","518,810,291 ","563,793,079 ",,,,
XII ,SOCCSKSARGEN,"320,545,502 ","351,031,989 ","355,963,024 ",,,,
XIII,CARAGA,"133,640,874 ","153,936,518 ","158,380,159 ",,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,"99,301,771 ","104,773,641 ","99,185,593 ",,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Thousand Pesos,,,,,,,,
Table 1.1B.  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
AT CONSTANT 2000 PRICES,,,,,,,,
,,,,,,,,
REGION / YEAR,,2013,2014,2015,,,,
,,,,,,,,
PHILIPPINES,,"6,750,631,383 ","7,170,414,383 ","7,593,768,846 ",,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION,"2,455,228,444 ","2,601,240,961 ","2,772,163,007 ",,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION,"124,630,544 ","128,683,530 ","133,485,187 ",,,,
I ,ILOCOS,"211,361,389 ","224,968,977 ","236,295,744 ",,,,
II ,CAGAYAN VALLEY,"120,474,018 ","129,112,236 ","133,859,519 ",,,,
III ,CENTRAL LUZON ,"612,282,603 ","668,988,236 ","704,283,261 ",,,,
IV ,SOUTHERN TAGALOG /1,0 ,0 ,0 ,,,,
IVA,CALABARZON ,"1,170,574,623 ","1,230,517,361 ","1,303,724,015 ",,,,
IVB,MIMAROPA ,"110,673,201 ","119,912,297 ","122,010,402 ",,,,
V ,BICOL,"136,852,119 ","142,763,581 ","154,709,538 ",,,,
VI ,WESTERN VISAYAS,"266,982,502 ","280,886,128 ","304,198,812 ",,,,
VII ,CENTRAL VISAYAS,"427,258,117 ","460,660,569 ","482,983,360 ",,,,
VIII ,EASTERN VISAYAS,"150,072,628 ","146,476,061 ","152,210,958 ",,,,
IX ,ZAMBOANGA PENINSULA,"137,214,139 ","146,322,231 ","156,924,131 ",,,,
X ,NORTHERN MINDANAO,"250,536,070 ","268,444,309 ","283,238,432 ",,,,
XI ,DAVAO REGION ,"257,385,537 ","281,441,083 ","303,727,300 ",,,,
XII ,SOCCSKSARGEN,"185,305,980 ","196,793,577 ","203,294,860 ",,,,
XIII,CARAGA,"84,475,406 ","92,418,723 ","96,290,055 ",,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO ,"49,324,066 ","50,784,524 ","50,370,267 ",,,,
Note: GDP series not linked with previous years due to revisions in some sectors. ,,,,,,,,
Source: Philippine Statistics Authority,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Percent,,,,,,,,
Table 1.2A.  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
AT CURRENT PRICES,,,,,,,,
PERCENT DISTRIBUTION,,,,,,,,
REGION / YEAR,,2013,2014,2015,,,,
,,,,,,,,
 PHILIPPINES ,, 100.0 , 100.0 , 100.0 ,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION, 37.2 , 37.0 , 37.9 ,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION, 1.9 , 1.8 , 1.8 ,,,,
I ,ILOCOS, 3.1 , 3.1 , 3.1 ,,,,
II ,CAGAYAN VALLEY, 1.8 , 1.9 , 1.8 ,,,,
III ,CENTRAL LUZON , 8.8 , 9.1 , 8.9 ,,,,
IV ,SOUTHERN TAGALOG /1, -   , -   , -   ,,,,
IVA,CALABARZON , 16.2 , 15.9 , 15.5 ,,,,
IVB,MIMAROPA , 1.6 , 1.7 , 1.5 ,,,,
V ,BICOL, 2.1 , 2.1 , 2.1 ,,,,
VI ,WESTERN VISAYAS, 4.0 , 4.0 , 4.1 ,,,,
VII ,CENTRAL VISAYAS, 6.4 , 6.5 , 6.5 ,,,,
VIII ,EASTERN VISAYAS, 2.2 , 2.0 , 2.0 ,,,,
IX ,ZAMBOANGA PENINSULA, 2.0 , 2.0 , 2.1 ,,,,
X ,NORTHERN MINDANAO, 3.8 , 3.8 , 3.9 ,,,,
XI ,DAVAO REGION , 4.0 , 4.1 , 4.2 ,,,,
XII ,SOCCSKSARGEN, 2.8 , 2.8 , 2.7 ,,,,
XIII,CARAGA, 1.2 , 1.2 , 1.2 ,,,,
ARMM ,AUTONOMOUS REGION IN MUSLIM MINDANAO , 0.9 , 0.8 , 0.7 ,,,,
Source: Philippine Statistics Authority,,,,,,,,
,,,,,,,,
REGIONAL ACCOUNTS OF THE PHILIPPINES,,,,,,,,
Unit : In Percent,,,,,,,,
Table 1.2B  GROSS REGIONAL DOMESTIC PRODUCT,,,,,,,,
2013 TO 2015,,,,,,,,
AT CONSTANT 2000 PRICES,,,,,,,,
PERCENT DISTRIBUTION,,,,,,,,
REGION / YEAR,,2013,2014,2015,,,,
,,,,,,,,
 PHILIPPINES ,, 100.0 , 100.0 , 100.0 ,,,,
,,,,,,,,
NCR ,NATIONAL CAPITAL REGION, 36.4 , 36.3 , 36.5 ,,,,
CAR ,CORDILLERA ADMINISTRATIVE REGION, 1.8 , 1.8 , 1.8 ,,,,
