country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,axfin_p,axfin_r,social_p,social_r
Afghanistan,1739.58317665792,34656032.0,,0.27132,561.778746269502,0.02233598,0.04460866,0.11107429685686761,0.04316252283353993
Albania,11424.6283187309,2876101.0,0.08900000000000001,0.5837600000000001,4146.89625046198,0.044618029999999996,0.09645449,0.2438882981528826,0.16800565262848097
Algeria,13974.6662247475,40606052.0,0.094,0.71304,3843.7523220230396,0.10180030000000001,0.1647805,,
American Samoa,,55599.0,,0.8714799999999999,11541.8549795632,,,,
Andorra,,77281.0,,0.8461200000000001,40215.4353174077,,,,
Angola,6024.7261381476,28813463.0,0.054000000000000006,0.44819,3110.80818263013,0.0402588,0.22208070000000002,,
Antigua and Barbuda,20777.6130830372,100963.0,0.0103,0.23393,14353.378813874198,0.153,0.153,,
Arab World,15533.694766498898,406452690.0,,0.580939285510597,6153.069547287851,,,,
Argentina,18087.196261682242,43847430.0,0.048,0.9189299999999999,12449.216852117701,0.010992219999999999,0.06069045,0.20015344553599781,0.14565106530835328
Armenia,8174.36673171871,2924816.0,0.08199999999999999,0.62558,3606.15205715147,0.004417139,0.02506004,0.7336326636811208,0.31717955102620626
Aruba,35973.780509792,104822.0,,0.41303999999999996,25324.7203624669,,,,
Australia,44414.0294791008,24127159.0,0.073,0.89554,49927.8195094751,0.48560159999999997,0.702807,,
Austria,44143.7001647737,8747358.0,0.081,0.66032,44176.5152160475,0.4861395,0.6850328,,
Azerbaijan,15994.009741624199,9762274.0,0.084,0.54895,3876.9364326427003,0.04266026,0.060771559999999995,0.8571289621356334,0.3860532955260186
"Bahamas, The",21481.7260997181,391232.0,,0.8295100000000001,23124.3865532472,,,,
Bahrain,44507.8299588669,1425171.0,,0.88835,22354.1670706869,0.2638231,0.4028472,,
Bangladesh,3319.35355606232,162951560.0,0.08900000000000001,0.35034999999999994,1358.7797522498,0.03864263,0.09956344,0.06325835608801508,0.14582058163366513
Barbados,15588.2689865375,284996.0,,0.31415,16096.892587966102,,,,
Belarus,16742.2554956416,9507120.0,0.095,0.77046,4989.25461056406,0.07855246,0.1958292,0.7131045570416903,0.38574592920429235
Belgium,41945.6921230227,11348159.0,0.086,0.97897,41096.157302153595,0.48671349999999997,0.6023575,,
Belize,7831.454486056529,366954.0,0.0321,0.43845,4810.56590199317,0.1267646,0.2864756,0.420367529660433,0.11287637643952123
Benin,2009.96138385757,10872298.0,0.032,0.44395,789.4404106856481,0.0402082,0.09291302,0.04725879624981513,0.07452986615849086
Bermuda,50669.3147696996,65331.0,,1.0,85748.0654143782,,,,
Bhutan,8105.796967478241,797765.0,0.067,0.39376999999999995,2804.00022298565,0.1739075,0.2584666,0.024656816312800124,0.018314412029414015
Bolivia,6707.956184142719,10887882.0,0.038,0.68911,3104.9560891409496,0.11292920000000001,0.3135603,0.4102582892993626,0.12905276195012985
Bosnia and Herzegovina,11179.3499096767,3516816.0,0.073,0.3994,4708.71826065622,0.05371241,0.11128210000000001,0.22220584397440438,0.1254276087362129
Botswana,15513.4419327624,2250260.0,0.027999999999999997,0.5771000000000001,6788.042745375649,0.14749939999999997,0.34586680000000003,0.23278881451946298,0.043776538431895676
Brazil,14023.691622734099,207652865.0,0.036000000000000004,0.8593299999999999,8649.94849175062,0.05749141000000001,0.16760809999999998,0.16918099974217718,0.19845197910315215
British Virgin Islands,,30661.0,,0.46501999999999993,,,,,
Brunei Darussalam,71788.7833914688,423196.0,,0.7750499999999999,26938.5033823025,,,,
Bulgaria,17709.075185995902,7127822.0,0.06,0.7426600000000001,7350.7958008981295,0.05927353,0.199541,0.5143871021114643,0.23240492980332722
Burkina Faso,1594.57677663496,18646433.0,0.083,0.30688000000000004,649.7304836558351,0.05447056,0.10908389999999998,0.023899101243400903,0.027009669771727758
Burundi,721.176561507115,10524117.0,0.066,0.12359000000000002,285.727442064713,0.01814623,0.05378873000000001,,
Cabo Verde,6074.75454769943,539560.0,0.05,0.66187,2997.75267953531,,,0.11215629287022583,0.08850635522282173
Cambodia,3462.84094868201,15762370.0,,0.20945,1269.90723818913,0.02697189,0.04235721,0.04113893336731722,0.035798500666983965
Cameroon,3045.91916487331,23439189.0,0.045,0.54938,1032.6487220445401,0.01092981,0.1220212,0.005311106672361467,0.0063742846886830845
Canada,43087.7573653648,36286425.0,0.066,0.82006,42157.9279910146,0.5176056,0.6994052,,
Caribbean small states,13980.215971346499,7245472.0,,0.42570496572204,8769.64164930723,,,,
Cayman Islands,49903.02853957519,60765.0,,1.0,64100.9076960695,,,,
Central African Republic,647.880444824102,4594621.0,0.033,0.40332,382.213174317687,0.006212666,0.037263269999999994,0.0074973769063211345,0.0057691429049916525
Central Europe and the Baltics,25144.0021953914,102974082.0,,0.624583861417478,12657.386803706799,,,,
Chad,1845.91467919154,14452543.0,0.049,0.22618000000000002,664.29565189928,0.026735900000000003,0.05942366000000001,0.02586387742728986,0.03014438195420585
Channel Islands,,164541.0,,0.31577,73569.644964552,,,,
Chile,22706.720536964902,17909754.0,0.048,0.89697,13792.9260543892,0.10335649999999999,0.1811644,0.27667821127356884,0.14281366359851747
China,14400.8860587191,1378665000.0,0.052000000000000005,0.56778,8123.1808725464,0.305054,0.4840392,,
Colombia,13124.3248435936,48653419.0,0.036000000000000004,0.76708,5805.60533452459,0.057145289999999994,0.1673623,0.12269429867232788,0.08732756485972662
Comoros,1411.1523385435,795601.0,0.045,0.28412,775.080084704756,0.03531137,0.1475529,0.036605229136707475,0.02693787180592966
"Congo, Dem. Rep.",742.3079049315379,78736153.0,0.055,0.43015000000000003,444.505316815516,0.02017935,0.06591558,0.05345055530427089,0.0784773467517702
