province,hazard,rp,fa
Abra,earthquake,10,0.00037383718430616215
Abra,earthquake,25,0.020223505116586694
Abra,earthquake,30,0.03823909364357966
Abra,earthquake,50,0.1313256844515427
Abra,earthquake,100,0.4500674350126865
Abra,earthquake,200,0.9464757645748082
Abra,earthquake,250,1.155285066900332
Abra,earthquake,500,1.9767529669142454
Abra,earthquake,1000,2.9541844925114944
Abra,flood,10,0.013750003804303707
Abra,flood,25,0.08874531054287127
Abra,flood,30,0.11500801601679442
Abra,flood,50,0.19093496553453795
Abra,flood,100,0.30678266852077674
Abra,flood,200,0.428926730900156
Abra,flood,250,0.46841804330643555
Abra,flood,500,0.576768802799084
Abra,flood,1000,0.713137263524374
Abra,wind,10,0.07881130872705179
Abra,wind,25,0.19938627472454948
Abra,wind,30,0.23062326595273508
Abra,wind,50,0.3300890761953452
Abra,wind,100,0.5259867095003286
Abra,wind,200,0.8292409010229924
Abra,wind,250,0.897077022871782
Abra,wind,500,1.224880876284852
Abra,wind,1000,1.4866838422966724
Agusan del Norte,earthquake,10,0.004216777955006232
Agusan del Norte,earthquake,25,0.03392692192415283
Agusan del Norte,earthquake,30,0.055777365387220446
Agusan del Norte,earthquake,50,0.17188256964299484
Agusan del Norte,earthquake,100,0.5695738104337429
Agusan del Norte,earthquake,200,1.2651912405269523
Agusan del Norte,earthquake,250,1.465515341076424
Agusan del Norte,earthquake,500,1.8631917126283426
Agusan del Norte,earthquake,1000,2.0739720076021273
Agusan del Norte,flood,10,0.0009540375191149031
Agusan del Norte,flood,25,0.0036003580598294883
Agusan del Norte,flood,30,0.004997045232789048
Agusan del Norte,flood,50,0.011209518036535658
Agusan del Norte,flood,100,0.031386163557849775
Agusan del Norte,flood,200,0.055944999082545535
Agusan del Norte,flood,250,0.06561430316247283
Agusan del Norte,flood,500,0.10766573128792936
Agusan del Norte,flood,1000,0.16747603392688898
Agusan del Norte,surge,10,0.0
Agusan del Norte,surge,25,0.0
Agusan del Norte,surge,30,0.0
Agusan del Norte,surge,50,0.0
Agusan del Norte,surge,100,0.0
Agusan del Norte,surge,200,0.0
Agusan del Norte,surge,250,0.0
Agusan del Norte,surge,500,0.001444941157241479
Agusan del Norte,surge,1000,0.0020768853849844884
Agusan del Norte,wind,10,0.0006926337190054858
Agusan del Norte,wind,25,0.004799748831538782
Agusan del Norte,wind,30,0.006997508677079685
Agusan del Norte,wind,50,0.01702582355471196
Agusan del Norte,wind,100,0.04969398897151487
Agusan del Norte,wind,200,0.10269378549903219
Agusan del Norte,wind,250,0.13161898030725733
Agusan del Norte,wind,500,0.1779240259041151
Agusan del Norte,wind,1000,0.2487117967616729
Agusan del Sur,earthquake,10,0.004998057862507919
Agusan del Sur,earthquake,25,0.03730777790988378
Agusan del Sur,earthquake,30,0.05057774325444648
Agusan del Sur,earthquake,50,0.14082102796013363
Agusan del Sur,earthquake,100,0.3974975403734167
Agusan del Sur,earthquake,200,0.7145826995302332
Agusan del Sur,earthquake,250,0.8438460913911622
Agusan del Sur,earthquake,500,1.0022350855495812
Agusan del Sur,earthquake,1000,1.06235868673531
Agusan del Sur,flood,10,0.00023674263963803288
Agusan del Sur,flood,25,0.0009137957119247898
Agusan del Sur,flood,30,0.0011191701099252107
Agusan del Sur,flood,50,0.003174840028765289
Agusan del Sur,flood,100,0.01140877344011422
Agusan del Sur,flood,200,0.023134646933232833
Agusan del Sur,flood,250,0.02882482954633059
Agusan del Sur,flood,500,0.04361177662990085
Agusan del Sur,flood,1000,0.0524403475300503
Agusan del Sur,wind,10,0.00010092676783553408
Agusan del Sur,wind,25,0.0014973831571286366
Agusan del Sur,wind,30,0.00203006707099015
Agusan del Sur,wind,50,0.005028222535287543
Agusan del Sur,wind,100,0.014723137447072517
Agusan del Sur,wind,200,0.031104247111723708
Agusan del Sur,wind,250,0.04334511040945817
Agusan del Sur,wind,500,0.06359174243104093
Agusan del Sur,wind,1000,0.0915308883424928
Aklan,earthquake,10,5.239103534591918e-05
Aklan,earthquake,25,0.004833034682159505
Aklan,earthquake,30,0.008273718225335609
Aklan,earthquake,50,0.031066456074941993
Aklan,earthquake,100,0.13347488669074017
Aklan,earthquake,200,0.3669864783632284
Aklan,earthquake,250,0.4360119363931874
Aklan,earthquake,500,0.9867343643802545
Aklan,earthquake,1000,1.5768771565069664
Aklan,flood,10,0.002249376347698661
Aklan,flood,25,0.006391103263903806
Aklan,flood,30,0.008136562872174475
Aklan,flood,50,0.015872356763209878
