province,hazard,rp,income_cat,fa,shew
Abra,earthquake,10,nonpoor,0.00037383718430616215,0.0
Abra,earthquake,10,poor,0.00037383718430616215,0.0
Abra,earthquake,25,nonpoor,0.020223505116586694,0.0
Abra,earthquake,25,poor,0.020223505116586694,0.0
Abra,earthquake,30,nonpoor,0.03823909364357966,0.0
Abra,earthquake,30,poor,0.03823909364357966,0.0
Abra,earthquake,50,nonpoor,0.1313256844515427,0.0
Abra,earthquake,50,poor,0.1313256844515427,0.0
Abra,earthquake,100,nonpoor,0.4500674350126865,0.0
Abra,earthquake,100,poor,0.4500674350126865,0.0
Abra,earthquake,200,nonpoor,0.9464757645748082,0.0
Abra,earthquake,200,poor,0.9464757645748082,0.0
Abra,earthquake,250,nonpoor,1.155285066900332,0.0
Abra,earthquake,250,poor,1.155285066900332,0.0
Abra,earthquake,500,nonpoor,1.9767529669142454,0.0
Abra,earthquake,500,poor,1.9767529669142454,0.0
Abra,earthquake,1000,nonpoor,2.9541844925114944,0.0
Abra,earthquake,1000,poor,2.9541844925114944,0.0
Abra,flood,10,nonpoor,0.013807325526263759,0.06316269830617668
Abra,flood,10,poor,0.013596534691050204,0.029682334339514158
Abra,flood,25,nonpoor,0.08911527655077918,0.06316269830617668
Abra,flood,25,poor,0.08775478979042185,0.029682334339514158
Abra,flood,30,nonpoor,0.11548746733994447,0.06316269830617668
Abra,flood,30,poor,0.11372436704575793,0.029682334339514158
Abra,flood,50,nonpoor,0.19173094502389615,0.06316269830617668
Abra,flood,50,poor,0.18880386649873243,0.029682334339514158
Abra,flood,100,nonpoor,0.30806159986344345,0.06316269830617668
Abra,flood,100,poor,0.30335854844273785,0.029682334339514158
Abra,flood,200,nonpoor,0.4307148626825048,0.06316269830617668
Abra,flood,200,poor,0.42413931367621543,0.029682334339514158
Abra,flood,250,nonpoor,0.47037080849993157,0.06316269830617668
Abra,flood,250,poor,0.4631898482629055,0.029682334339514158
Abra,flood,500,nonpoor,0.5791732662028638,0.06316269830617668
Abra,flood,500,poor,0.5703312630007201,0.029682334339514158
Abra,flood,1000,nonpoor,0.7161102267701224,0.06316269830617668
Abra,flood,1000,poor,0.7051776625658012,0.029682334339514158
Abra,wind,10,nonpoor,0.07881130872705179,0.06316269830617668
Abra,wind,10,poor,0.07881130872705179,0.029682334339514158
Abra,wind,25,nonpoor,0.19938627472454948,0.06316269830617668
Abra,wind,25,poor,0.19938627472454948,0.029682334339514158
Abra,wind,30,nonpoor,0.23062326595273508,0.06316269830617668
Abra,wind,30,poor,0.23062326595273508,0.029682334339514158
Abra,wind,50,nonpoor,0.3300890761953452,0.06316269830617668
Abra,wind,50,poor,0.3300890761953452,0.029682334339514158
Abra,wind,100,nonpoor,0.5259867095003286,0.06316269830617668
Abra,wind,100,poor,0.5259867095003286,0.029682334339514158
Abra,wind,200,nonpoor,0.8292409010229924,0.06316269830617668
Abra,wind,200,poor,0.8292409010229924,0.029682334339514158
Abra,wind,250,nonpoor,0.897077022871782,0.06316269830617668
Abra,wind,250,poor,0.897077022871782,0.029682334339514158
Abra,wind,500,nonpoor,1.224880876284852,0.06316269830617668
Abra,wind,500,poor,1.224880876284852,0.029682334339514158
Abra,wind,1000,nonpoor,1.4866838422966724,0.06316269830617668
Abra,wind,1000,poor,1.4866838422966724,0.029682334339514158
Agusan del Norte,earthquake,10,nonpoor,0.004216777955006232,0.0
Agusan del Norte,earthquake,10,poor,0.004216777955006232,0.0
Agusan del Norte,earthquake,25,nonpoor,0.03392692192415283,0.0
Agusan del Norte,earthquake,25,poor,0.03392692192415283,0.0
Agusan del Norte,earthquake,30,nonpoor,0.055777365387220446,0.0
Agusan del Norte,earthquake,30,poor,0.055777365387220446,0.0
Agusan del Norte,earthquake,50,nonpoor,0.17188256964299484,0.0
Agusan del Norte,earthquake,50,poor,0.17188256964299484,0.0
Agusan del Norte,earthquake,100,nonpoor,0.5695738104337429,0.0
Agusan del Norte,earthquake,100,poor,0.5695738104337429,0.0
Agusan del Norte,earthquake,200,nonpoor,1.2651912405269523,0.0
Agusan del Norte,earthquake,200,poor,1.2651912405269523,0.0
Agusan del Norte,earthquake,250,nonpoor,1.465515341076424,0.0
Agusan del Norte,earthquake,250,poor,1.465515341076424,0.0
Agusan del Norte,earthquake,500,nonpoor,1.8631917126283426,0.0
Agusan del Norte,earthquake,500,poor,1.8631917126283426,0.0
Agusan del Norte,earthquake,1000,nonpoor,2.0739720076021273,0.0
Agusan del Norte,earthquake,1000,poor,2.0739720076021273,0.0
