province,vp,vr,v
Abra,0.5144922747447269,0.4548064464605857,0.46348103208362873
Agusan del Norte,0.4224571280575653,0.30871276472810966,0.3221721144102633
Agusan del Sur,0.21850080243851563,0.17162417254222334,0.18036793917108704
Aklan,0.37850515727692935,0.30014328233239856,0.3070387749238495
Albay,0.8470367556680884,0.5855944759969671,0.6246112894068179
Antique,0.5379636820098374,0.37825571345104136,0.3940921639875531
Apayao,0.5227943046058389,0.4244700528302271,0.455039559573061
Aurora,0.4059428184121876,0.2307825152736198,0.2500889369427908
Basilan,0.20189817015209127,0.14739356470422932,0.1612688010549797
Bataan,0.99,0.9767265960762396,0.9803430478753807
Batanes,0.1,0.1778265642151482,0.168957897413515
Batangas,0.6172853425049342,0.44142224443321115,0.45039803065219164
Benguet,0.4258988995351787,0.3297424412661407,0.3304875555975092
Biliran,0.6872806921592943,0.37168256428434604,0.40198385400328507
Bohol,0.24444438068676597,0.1861210859804915,0.1938684880749287
Bukidnon,0.15139864193441538,0.1193514294269962,0.12604960533782722
Bulacan,0.6495618891412193,0.40020502078236375,0.404996336512821
Cagayan,0.6621787359449868,0.47342456056581345,0.4858437399881023
Camarines Norte,0.99,0.6716468943097573,0.7218795605293757
Camarines Sur,0.772910550430959,0.5624874025038232,0.5976006524545391
Camiguin,0.14042844183526704,0.13259793331695977,0.13442991253549433
Capiz,0.23242602913065716,0.1679707622694048,0.17376086101899071
Catanduanes,0.99,0.8650554424924782,0.9102065760116039
Cavite,0.8328250297680675,0.6494949712949903,0.6510118766959531
Cebu,0.3549623285257565,0.2562764800849772,0.2629227608388929
Compostela Valley,0.19130545357732312,0.14942115917537607,0.1553753534079688
Cotabato,0.2032483452756862,0.13573235283230717,0.14957411938306905
Cotabato City,0.16567617722106237,0.13321182169594364,0.14027992616762047
Davao,0.1929021301853195,0.14411929220997932,0.15058433440968186
Davao del Sur,0.2192925970294141,0.13328773758812992,0.13942306990119135
Davao Oriental,0.20706487045719696,0.14748230738416343,0.16000795345313026
Eastern Samar,0.6615613841976966,0.46099937060411933,0.5237935484734456
Guimaras,0.24048857368006302,0.15104960298325135,0.1573474522288699
Ifugao,0.2653602523464515,0.25507487436750786,0.2563479799727535
Ilocos Norte,0.6680282370331194,0.5946274383673451,0.5965726265942024
Ilocos Sur,0.6271576692996443,0.4484328911794965,0.45649328836383407
Iloilo,0.32160197409891833,0.22988513098476773,0.2361835722061799
Isabela,0.4445991990797057,0.3452945791070407,0.35413668018909683
Isabela City,0.18272090988626422,0.1377249185754712,0.14117403590451486
Kalinga,0.35317333975965387,0.2907637250672071,0.29613783984449565
La Union,0.8385086166323513,0.6327349974732889,0.6432739951245051
Laguna,0.99,0.9567891818635567,0.9600895709772479
Lanao del Norte,0.20065668430823871,0.15903246534724588,0.1651239164179336
Lanao del Sur,0.12754775809859709,0.12172276454620923,0.12442784646543806
Leyte,0.49408660457821907,0.34769112956606596,0.3660131074786643
Maguindanao,0.2528628589992834,0.21422633502763946,0.2307638124838931
Manila,0.1266471449487555,0.10990160141423595,0.11012048660979455
Marinduque,0.5720148422993683,0.42786834863237544,0.4434470719524427
Masbate,0.3199855449391791,0.2154646636979876,0.24231902375716652
Misamis Occidental,0.2253338587996847,0.15323139992880358,0.16634840653392868
Misamis Oriental,0.1938139433488922,0.1541212834239141,0.15662368749049524
Mountain Province,0.11855831420822034,0.10355668851663026,0.10606834015936012
NCR-2nd Dist.,0.1894550601556971,0.10965405919733578,0.1100266901928611
NCR-3rd Dist.,0.1704368772582941,0.11062596665759918,0.11119505997928412
NCR-4th Dist.,0.14014209959400115,0.10673376432559506,0.1070363773232788
Negros Occidental,0.21947872301699975,0.15347687316868983,0.16055454535671337
Negros Oriental,0.22134757875979502,0.154042330885426,0.16508294320838793
Northern Samar,0.5849769297953341,0.414787634714053,0.45323700946993334
Nueva Ecija,0.3152007091132717,0.22279659457074794,0.2309260550809697
Nueva Vizcaya,0.25222427910434186,0.18484373470009835,0.18839606899336298
Occidental Mindoro,0.40059202396411947,0.27862000855308766,0.2929777260449045
Oriental Mindoro,0.41624894298859805,0.23460852408263064,0.25173799278222575
Palawan,0.26593756547244923,0.20044364016871805,0.20580350971378458
Pampanga,0.45808280026245474,0.2717803403827451,0.275569962556
Pangasinan,0.780847226116941,0.5886610177856701,0.6026163320490606
Quezon,0.6462116045219681,0.4453289052931642,0.46701290098344267
Quirino,0.26089542538006,0.23283310860521825,0.23526741357075487
Rizal,0.6980985083545508,0.48493718370871247,0.48751098080416605
Romblon,0.38276843113865433,0.2536779234681305,0.274505560682352
Samar (Western),0.4076115349894422,0.29660822598965614,0.32177350536994975
Sarangani,0.2355271601676041,0.16610759850057116,0.18272254755128586
Siquijor,0.17134799774393686,0.12945250267506836,0.13278202438621867
Sorsogon,0.6520953834740923,0.5115379398027596,0.5375211742771873
South Cotabato,0.32573508093716824,0.21334705543268975,0.2240707282209801
Southern Leyte,0.4234694193509822,0.3146211394737818,0.33096213605681596
Sultan Kudarat,0.25119823445639766,0.17278080281417216,0.1893935568820283
Sulu,0.2209105269316276,0.21103900356244756,0.21421161279387924
Surigao del Norte,0.3337382072230122,0.24840743338906981,0.263386260605699
Surigao del Sur,0.20070360339142723,0.15357200938596288,0.15979465306222293
Tarlac,0.4666467916128413,0.3236948272367115,0.3299024551937684
Tawi-tawi,0.1176081109042003,0.13954128618236106,0.1364128152722006
Zambales,0.99,0.99,1.506210219849113
Zamboanga del Norte,0.21049712880984847,0.1442574117188814,0.15904557804655195
Zamboanga del Sur,0.2267561675933662,0.1607019612835787,0.1682899377832566
Zamboanga Sibugay,0.25099581626427264,0.1609684877955759,0.17756374704691358
