country,hazard,rp,income_cat,fa,v,shew
Albania,earthquake,1.0,nonpoor,0.00204617445753,0.385,0.0
Albania,earthquake,1.0,poor,0.00204617445753,0.566,0.0
Albania,earthquake,20.0,nonpoor,0.00695247639774,0.385,0.0
Albania,earthquake,20.0,poor,0.00695247639774,0.566,0.0
Albania,earthquake,50.0,nonpoor,0.0147312641355,0.385,0.0
Albania,earthquake,50.0,poor,0.0147312641355,0.566,0.0
Albania,earthquake,100.0,nonpoor,0.0254246325134,0.385,0.0
Albania,earthquake,100.0,poor,0.0254246325134,0.566,0.0
Albania,earthquake,250.0,nonpoor,0.0503895869806,0.385,0.0
Albania,earthquake,250.0,poor,0.0503895869806,0.566,0.0
Albania,earthquake,500.0,nonpoor,0.0806211208834,0.385,0.0
Albania,earthquake,500.0,poor,0.0806211208834,0.566,0.0
Albania,earthquake,1000.0,nonpoor,0.122805516362,0.385,0.0
Albania,earthquake,1000.0,poor,0.122805516362,0.566,0.0
Albania,earthquake,1500.0,nonpoor,0.153769700663,0.385,0.0
Albania,earthquake,1500.0,poor,0.153769700663,0.566,0.0
Albania,earthquake,2000.0,nonpoor,0.9,0.99,0.0
Albania,earthquake,2000.0,poor,0.9,0.99,0.0
Albania,flood,1.0,nonpoor,0.000565132710355,0.385,0.0
Albania,flood,1.0,poor,0.000515964168679,0.566,0.0
Albania,flood,20.0,nonpoor,0.0129873607649,0.385,0.0
Albania,flood,20.0,poor,0.011857414511,0.566,0.0
Albania,flood,50.0,nonpoor,0.0290380346261,0.385,0.0
Albania,flood,50.0,poor,0.0265116230603,0.566,0.0
Albania,flood,100.0,nonpoor,0.0350836731481,0.385,0.0
Albania,flood,100.0,poor,0.0320312696795,0.566,0.0
Albania,flood,250.0,nonpoor,0.0618316847184,0.385,0.0
Albania,flood,250.0,poor,0.0564521097774,0.566,0.0
Albania,flood,500.0,nonpoor,0.0722422845357,0.385,0.0
Albania,flood,500.0,poor,0.0659569506436,0.566,0.0
Albania,flood,1000.0,nonpoor,0.0841972808322,0.385,0.0
Albania,flood,1000.0,poor,0.0768718200409,0.566,0.0
Albania,flood,1500.0,nonpoor,0.0899622349638,0.385,0.0
Albania,flood,1500.0,poor,0.082135202803,0.566,0.0
Albania,flood,2000.0,nonpoor,0.915937967598,0.99,0.0
Albania,flood,2000.0,poor,0.836248129606,0.99,0.0
Albania,surge,1.0,nonpoor,0.0,0.385,0.0
Albania,surge,1.0,poor,0.0,0.566,0.0
Albania,surge,20.0,nonpoor,0.0,0.385,0.0
Albania,surge,20.0,poor,0.0,0.566,0.0
Albania,surge,50.0,nonpoor,0.0,0.385,0.0
Albania,surge,50.0,poor,0.0,0.566,0.0
Albania,surge,100.0,nonpoor,0.0,0.385,0.0
Albania,surge,100.0,poor,0.0,0.566,0.0
Albania,surge,250.0,nonpoor,0.0,0.385,0.0
Albania,surge,250.0,poor,0.0,0.566,0.0
Albania,surge,500.0,nonpoor,0.0,0.385,0.0
Albania,surge,500.0,poor,0.0,0.566,0.0
Albania,surge,1000.0,nonpoor,0.0,0.385,0.0
Albania,surge,1000.0,poor,0.0,0.566,0.0
Albania,surge,1500.0,nonpoor,0.0,0.385,0.0
Albania,surge,1500.0,poor,0.0,0.566,0.0
Albania,tsunami,1.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,1.0,poor,0.0,0.566,0.0
Albania,tsunami,20.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,20.0,poor,0.0,0.566,0.0
Albania,tsunami,50.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,50.0,poor,0.0,0.566,0.0
Albania,tsunami,100.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,100.0,poor,0.0,0.566,0.0
Albania,tsunami,250.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,250.0,poor,0.0,0.566,0.0
Albania,tsunami,500.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,500.0,poor,0.0,0.566,0.0
Albania,tsunami,1000.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,1000.0,poor,0.0,0.566,0.0
Albania,tsunami,1500.0,nonpoor,0.0,0.385,0.0
Albania,tsunami,1500.0,poor,0.0,0.566,0.0
Albania,wind,1.0,nonpoor,0.0,0.385,0.0
Albania,wind,1.0,poor,0.0,0.566,0.0
Albania,wind,20.0,nonpoor,0.0,0.385,0.0
Albania,wind,20.0,poor,0.0,0.566,0.0
Albania,wind,50.0,nonpoor,0.0,0.385,0.0
Albania,wind,50.0,poor,0.0,0.566,0.0
Albania,wind,100.0,nonpoor,0.0,0.385,0.0
Albania,wind,100.0,poor,0.0,0.566,0.0
Albania,wind,250.0,nonpoor,0.0,0.385,0.0
Albania,wind,250.0,poor,0.0,0.566,0.0
Albania,wind,500.0,nonpoor,0.0,0.385,0.0
Albania,wind,500.0,poor,0.0,0.566,0.0
Albania,wind,1000.0,nonpoor,0.0,0.385,0.0
Albania,wind,1000.0,poor,0.0,0.566,0.0
Albania,wind,1500.0,nonpoor,0.0,0.385,0.0
Albania,wind,1500.0,poor,0.0,0.566,0.0
Algeria,earthquake,1.0,nonpoor,0.00559401118101,0.1,0.0
Algeria,earthquake,1.0,poor,0.00559401118101,0.5503924,0.0
Algeria,earthquake,20.0,nonpoor,0.0231717774287,0.1,0.0
