country,gdp_pc_pp,pop,share1,axfin_p,axfin_r,social_p,social_r,urbanization_rate,pov_head,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,shew,prepare_scaleup,finance_pre,rating,borrow_abi,avg_prod_k,protection,tau_tax
Albania,9960.94072581355,2897366.0,0.0885,0.07585278999999999,0.092387,0.2629495641629598,0.17935972626416474,0.57407,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.35,0.175,0.1852799860314327,20,0.1867574269182081
Angola,7488.01175983409,21471618.0,0.054000000000000006,0.09179081,0.20126910000000006,0.14076171478918545,0.1041555722992187,0.4405,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.35,0.175,0.43239739052511456,20,0.10613230399367689
Argentina,18087.196261682242,41446246.0,0.0458,0.004365798,0.06037133,0.2001534455359978,0.14264750646937888,0.91751,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.7333333333333333,0.5,0.25,0.375,0.2695495148851759,20,0.14528127847863
Armenia,7526.83641911287,2976566.0,0.0877,0.001895716,0.01239363,0.5050600974072442,0.2457265032536369,0.62673,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.4,0.5,0.35,0.425,0.3666957212217474,20,0.2684700594609083
Australia,42834.0167597384,23129300.0,0.0703,0.5201536,0.6854684,0.578,0.126,0.8942299999999999,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.8,0.8333333333333334,1.0,0.9166666666666667,0.27360239086009513,20,0.15777560000000002
Austria,44056.254416802,8479823.0,0.08460000000000001,0.4380794,0.5678905000000001,0.51716638,0.40816435,0.65968,0.2,3.0,0.2,1.5,0.06,0.8,0.05,1.0,0.8,0.8333333333333334,0.95,0.8916666666666666,0.23227851820729004,20,0.417385921738
Azerbaijan,16593.1887600482,9416801.0,0.08130000000000001,0.001134416,0.024682880000000004,0.8571289621356334,0.38777251599754,0.5462,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.5,0.25,0.5982212831852317,20,0.425931195068567
Bangladesh,2853.4477401556605,156594962.0,0.0888,0.1456589,0.1823108,0.056762952438716034,0.0553770944413467,0.34276999999999996,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.7333333333333333,0.8333333333333334,0.4,0.6166666666666667,0.2897089076246591,20,0.05550015863151309
Belarus,17054.5583344525,9466000.0,0.0937,0.04172604,0.08594028,0.4917469369193375,0.3101703987921827,0.76667,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.7333333333333333,0.8333333333333334,0.2,0.5166666666666667,0.38644453675382373,20,0.32718412041469713
Belgium,40608.9720093428,11182817.0,0.08349999999999999,0.43803739999999997,0.4174232,0.65117317,0.402522585,0.97858,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.85,0.425,0.21669151743746679,20,0.42328490884750014
Benin,1733.30939936435,10323474.0,0.0614,0.01619615,0.10625530000000001,0.04725879624981513,0.07452986615849086,0.4395,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.6666666666666667,0.5,0.0,0.25,0.3302533219458435,20,0.07285542246609816
Bolivia,5934.38797771874,10671200.0,0.0332,0.08907469000000001,0.2258028,0.3472089336125369,0.2268693312429084,0.68512,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.5333333333333333,0.5,0.4,0.45,0.4218342004210295,20,0.2308646060415801
Bosnia and Herzegovina,9387.35003138015,3829307.0,0.0747,0.03455922,0.07855196,0.21952171315065594,0.12545992207249582,0.39767,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.25,0.125,0.32393223235700314,20,0.13248633786603436
Botswana,15246.6087973119,2021144.0,0.0284,0.08854125,0.21644989999999997,0.2327888197915706,0.04377653874540727,0.57444,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.6,0.6666666666666666,0.75,0.7083333333333333,0.2811780767140953,20,0.04914448752711831
Brazil,14555.0821953115,200361925.0,0.0339,0.0636212,0.1296786,0.22567230651126025,0.2056113132070956,0.8568700000000001,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.2,0.8666666666666666,0.6666666666666666,0.45,0.5583333333333333,0.265575010187584,20,0.20629138088010682
Bulgaria,15695.0177942759,7265115.0,0.0641,0.01463466,0.07025403,0.66309464,0.404462695,0.73948,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.8333333333333334,0.6,0.7166666666666667,0.3230784715072762,20,0.4210410026745
Burkina Faso,1630.4444967271695,16934839.0,0.0672,0.0373907,0.1070983,0.4946753901560933,0.3235166050780195,0.29859,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.8,0.8333333333333334,0.0,0.4166666666666667,0.40566509188102295,20,0.3350184754352661
Burundi,746.960151427392,10162532.0,0.08960000000000001,0.005427960000000001,0.05161891,0.10741411625961687,0.09639792931101528,0.12057,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.6666666666666667,0.5,0.0,0.25,0.4629793127178333,20,0.09738497966160997
Cambodia,2943.52466835185,15135169.0,0.08990000000000001,0.002184594,0.0120755,0.02478883990859972,0.028243106138826062,0.20723000000000005,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.3,0.15,0.45929444965397004,20,0.02793256760472871
Cameroon,2739.34394480018,22253959.0,0.0635,0.09631175,0.1015309,0.149924286778418,0.029862131888120688,0.54381,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.6666666666666667,0.8333333333333334,0.3,0.5666666666666667,0.41973757460294764,20,0.03748607872365456
Canada,41898.8823594636,35154279.0,0.071,0.3688955,0.6416324999999999,0.631,0.14,0.81828,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8666666666666666,0.6666666666666666,1.0,0.8333333333333333,0.3354838938558465,20,0.17486100000000004
Central African Republic,584.375944042188,4616417.0,0.0337,0.0062126659999999995,0.03726327,0.0,0.06734359951046284,0.40037,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.3147438330510679,20,0.06507412020696025
Chad,2021.59347086517,12825314.0,0.0488,0.0492537,0.08138166,0.0,0.06720805239312863,0.22471,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.0,0.0,0.0,0.7532009944644721,20,0.06392829943634394
Chile,21714.0315564501,17619708.0,0.0452,0.07033718,0.16054310000000002,0.4475165919910276,0.1575120869605722,0.8953,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8,1.0,0.85,0.925,0.34739411181855295,20,0.1706202905879488
China,11524.567506563,1357380000.0,0.0467,0.17047620000000002,0.4205325999999999,0.3366214471638825,0.13806372078853804,0.55614,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8,0.8333333333333334,0.85,0.8416666666666667,0.22921637913923992,20,0.1473363666102666
Colombia,12025.385371844199,48321405.0,0.033,0.02795298,0.1365075,0.12269429867232788,0.08732756485972662,0.76436,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.7333333333333333,0.8333333333333334,0.6,0.7166666666666667,0.2797792564799715,20,0.08849466707554246
Comoros,1399.7808484349,734917.0,0.0255,0.03531137,0.1475529,0.03660522913670748,0.02693787180592966,0.28296,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.6000000000000001,0.26666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.197958724460889,20,0.02718438941786449
"Congo, Dem. Rep.",783.259253578526,67513677.0,0.0547,0.008708673000000002,0.01915755,0.012981287634021592,0.030175238221482683,0.42494,0.2,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.4,0.5,0.25,0.375,0.23705600185809048,20,0.02923472912434856
