country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Albania,nonpoor,0.8,11846.409320548315,0.09645449,1.0955818030404623,64458.16635605338,0.019647835158194182,0.35149999999999987,0.0
Albania,poor,0.2,4600.799670295232,0.04461803,0.6176727878381505,22750.4567251427,0.018865034135988532,0.6999999999999998,0.0
Angola,nonpoor,0.8,8200.408532333118,0.2220807,1.1599876990237534,19007.154917817785,0.0025013245537822528,0.6,0.0
Angola,poor,0.2,1883.3972012506645,0.040258800000000004,0.3600492039049865,4187.0155074258,0.011065528371385056,0.6999999999999997,0.0
Argentina,nonpoor,0.8,21535.06804906542,0.06069045,1.169831917355596,80135.63792991228,0.0076083589721786995,0.3972539125,0.8000000000000004
Argentina,poor,0.2,4295.709112149532,0.01099222,0.3206723305776162,14965.309783776736,0.007982847915511909,0.6999999999999998,0.8000000000000004
Armenia,nonpoor,0.8,9036.781365383566,0.02506004,1.029386623944267,25987.899238097194,0.04721784450584201,0.2375,0.4000000000000002
Armenia,poor,0.2,3349.2965899673354,0.0044171390000000005,0.8824535042229322,3757.382906739202,0.047069894746031044,0.2999999999999999,0.4000000000000002
Australia,nonpoor,0.8,50699.33845647778,0.702807,0.9258855604795541,192356.06542429831,0.004859699782336582,0.5385999999999999,1.0
Australia,poor,0.2,15475.54879588537,0.4856016,1.296457758081783,28349.843768898772,0.0052334912437518475,0.6999999999999998,1.0
Austria,nonpoor,0.8,50597.34397342101,0.6850328,1.1292870052174837,220997.13974946376,0.02126328197509567,0.2394999999999999,1.0
Austria,poor,0.2,17074.271789772956,0.48613950000000006,0.4828519791300656,60841.16256771449,0.022879758958942127,0.5700000000000001,1.0
Azerbaijan,nonpoor,0.8,18079.0198208403,0.06077156,0.9309885131276122,33676.00449293691,0.022530678465729738,0.2375,0.0
Azerbaijan,poor,0.2,11160.867828910765,0.04266026,1.276045947489551,4837.903151149598,0.02285831327168632,0.2999999999999999,0.0
Bangladesh,nonpoor,0.8,3572.1509871143226,0.09956344,1.1992378377990778,12225.091004685682,0.05716154930697205,0.41553519761222835,0.8000000000000004
Bangladesh,poor,0.2,1394.2013950366077,0.03864263,0.20304864880368934,5232.611981471309,0.05704275714015243,0.6999999999999998,0.8000000000000004
Belarus,nonpoor,0.8,18771.37963656125,0.1958292,1.0438873482993427,51208.128722381385,0.014297524206729344,0.29499999999999993,0.8000000000000004
Belarus,poor,0.2,8019.648632775478,0.07855246,0.8244506068026293,10218.182623532703,0.015038024043062138,0.6999999999999998,0.8000000000000004
Belgium,nonpoor,0.8,46990.318390474225,0.6023575,1.0845020116713397,224922.2984430591,0.006229660380791619,0.26999999999999996,0.0
Belgium,poor,0.2,17730.643227222055,0.4867135,0.6619919533146407,49549.240761675836,0.006500518186127279,0.46000000000000013,0.0
Benin,nonpoor,0.8,2331.607067163935,0.09291302,1.2008783009726112,7047.471580634899,0.007679026503155802,0.6734349004145419,0.4000000000000002
Benin,poor,0.2,601.640997530911,0.0402082,0.19648679610955488,1872.0952123946763,0.017170204052523154,0.6999999999999997,0.4000000000000002
Bhutan,nonpoor,0.8,8858.445293211525,0.2584666,1.1386787160527305,47755.90875257635,0.030319272204421377,0.673890576643806,0.6000000000000002
Bhutan,poor,0.2,2573.06337595375,0.1739075,0.44528513578907825,13781.774115029571,0.028333430498590446,0.6999999999999997,0.6000000000000002
Bolivia,nonpoor,0.8,7817.838929820955,0.3135603,1.1235231628493796,18739.896968080015,0.018098992660867716,0.38885421167860285,0.6000000000000002
Bolivia,poor,0.2,1107.3517970589216,0.1129292,0.5059073486024818,1797.364228827264,0.01868105104344218,0.6999999999999998,0.6000000000000002
Bosnia and Herzegovina,nonpoor,0.8,11592.24734112992,0.1112821,1.0933950733276585,36084.70655057602,0.01581238623469916,0.4420310714249999,0.0
Bosnia and Herzegovina,poor,0.2,3748.811505043312,0.05371241,0.6264197066893652,10378.104881999248,0.016048545079449115,0.6999999999999998,0.0
Botswana,nonpoor,0.8,18067.304899626793,0.34586680000000003,1.0818427272788094,64618.48684883635,0.004730442552345373,0.6416008539893611,0.8000000000000004
Botswana,poor,0.2,2112.439107243314,0.14749939999999995,0.6726290908847631,6061.821449046114,0.004991901010441628,0.6999999999999997,0.8000000000000004
Brazil,nonpoor,0.8,17476.01922125173,0.16760809999999998,1.2148774389925316,65725.7307793463,0.002210342670133197,0.6506628849962744,0.2000000000000001
Brazil,poor,0.2,2370.6097206660743,0.057491410000000014,0.14049024402987315,9241.231389558468,0.002454043180773615,0.6999999999999997,0.2000000000000001
Bulgaria,nonpoor,0.8,19889.867833355496,0.199541,1.1285467063562038,63255.79134479322,0.007948876527283124,0.3857760364,0.8000000000000004
