province,hazard,rp,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,assets,eff_prod_k_gar,protection,gdp_pc_pp_nat,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,aid,need
Abra,earthquake,1,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,0.0,0.0,0.0,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,10,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,0.03352320517757211,0.00037383718430616074,4.986359877485347e-05,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,25,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,1.813507965215654,0.02022350511658669,0.0027521249621313758,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,30,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,3.4290248157023395,0.03823909364357966,0.005301261244293577,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,50,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,11.776404407509887,0.1313256844515427,0.02015725680705812,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,100,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,40.359021523438244,0.4500674350126864,0.10912063615728815,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,200,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,84.87358289499574,0.9464757645748082,2.3577500473846746,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,250,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,89.67327645533965,1.0,inf,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,500,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,89.67327645533965,1.0,inf,0.13333333333333336,5.500167089167949,0,0.0
Abra,earthquake,1000,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,89.67327645533965,1.0,inf,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,1,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,0.0,0.0,0.0,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,10,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,0.9864063139242385,0.013750003804303704,0.0018588936351286423,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,25,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,6.366466213140692,0.08874531054287124,0.01298507235055444,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,30,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,8.25051649188331,0.11500801601679443,0.017327165006122355,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,50,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,13.697411159495497,0.19093496553453793,0.03146594441746553,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,100,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,22.00816563677635,0.30678266852077674,0.05900653942896436,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,200,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,30.77061225527581,0.428926730900156,0.10014517204917286,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,250,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,33.603664555269816,0.4684180433064356,0.11749032923539948,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,500,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,41.376598643374024,0.5767688027990839,0.18170330436054968,0.13333333333333336,5.500167089167949,0,0.0
Abra,flood,1000,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,51.15948398610049,0.713137263524374,0.33146504017260425,0.13333333333333336,5.500167089167949,0,0.0
Abra,surge,1,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,10,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,25,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,30,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,50,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,100,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,200,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,250,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,500,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,surge,1000,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,,,,0.13333333333333336,5.500167089167949,0,
Abra,wind,1,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,0.4638855356767717,0.0064663291285531775,0.000867788623997204,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,10,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,5.653814620230431,0.07881130872705179,0.011407190075704772,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,25,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,14.303696427819862,0.19938627472454948,0.03320557191396318,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,30,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,16.54459510785035,0.23062326595273508,0.039967115501323404,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,50,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,23.680135187642296,0.33008907619534517,0.06569810292999467,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,100,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,37.73356129028591,0.5259867095003286,0.14795273185859983,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,200,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,59.4885988524078,0.8292409010229923,0.6474937741655553,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,250,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,64.3550686989715,0.897077022871782,1.1621337922165933,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,500,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,71.73862116427172,1.0,inf,0.13333333333333336,5.500167089167949,0,0.0
Abra,wind,1000,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,1.0,1.0,0.17353081756401578,0.20345720788135574,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.21858467824697989,1.2018342573076888,71.73862116427172,1.0,inf,0.13333333333333336,5.500167089167949,0,0.0
Agusan del Norte,earthquake,1,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,1.0,1.0,0.14733560328849124,0.2265208726341895,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,99495609.79134291,0.17731872965773066,1,234.60257722888613,0.23713168275577798,1.2018342573076888,0.0,0.0,0.0,0.13333333333333336,6.099522103761839,0,0.0
Agusan del Norte,earthquake,10,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,1.0,1.0,0.14733560328849124,0.2265208726341895,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,99495609.79134291,0.17731872965773066,1,234.60257722888613,0.23713168275577798,1.2018342573076888,0.4164951462351503,0.004216777955006232,0.0005646179291039444,0.13333333333333336,6.099522103761839,0,0.0
Agusan del Norte,earthquake,25,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,1.0,1.0,0.14733560328849124,0.2265208726341895,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,99495609.79134291,0.17731872965773066,1,234.60257722888613,0.23713168275577798,1.2018342573076888,3.3509941616282424,0.03392692192415283,0.004682450730225084,0.13333333333333336,6.099522103761839,0,0.0
Agusan del Norte,earthquake,30,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,1.0,1.0,0.14733560328849124,0.2265208726341895,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,99495609.79134291,0.17731872965773066,1,234.60257722888613,0.23713168275577798,1.2018342573076888,5.509183125467052,0.05577736538722046,0.007876301392286853,0.13333333333333336,6.099522103761839,0,0.0
