province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,assets,eff_prod_k_gar,protection,gdp_pc_pp_nat,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Abra,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,0.02968233433951416,0.06316269830617667,0.19088389932041738,0.22380292866949134,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,0.2385041162656937,1.2018342573076888,3.885988786319489,198834.38822960932,3.281900076188271e-05,1.6792498119832524,0.0,0.5134464320232001,521.0684610790688,3.885988786319489,4.67031444691229,4.67031444691229,3.885988786319489,3.281900076188271e-05,0.043732998398200135,3.0,0.0,0.0,1904.0919931743128,1.773086356776799,0.10811633062071273,0.6961313572261518,0.4305081310338128,0.42745334661519374,5.111622554423329,261546.39124217848,0.02942966003260562,0.7602260818253802,0.02237319513604076
Agusan del Norte,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,0.05712460063897764,0.2491000860787229,0.1620691636173404,0.24917295989760846,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,99495609.79134291,0.17731872965773066,1,234.60257722888613,0.258866460954111,1.2018342573076888,1.279325239669008,180841.577903892,1.0172884010628239e-05,1.4380083650903757,0.0,0.6809816697184002,770.4659499488637,1.2793252396690082,1.5375368992725835,1.5375368992725835,1.279325239669008,1.0172884010628239e-05,0.01305046642742076,4.0,0.0,0.0,2815.4420309243374,2.389695574160984,0.5878961975458151,0.9691090057329962,0.5905099624724333,0.5742901076244833,1.8503651343772562,261562.0643001658,0.009606473249077735,0.6913906968418788,0.006641826233872723
Agusan del Sur,141595,83.30408110359977,216.087522244498,0.37295759999999994,166.5649287168474,0.07623700505595637,0.1391886108170207,0.13908825454591733,0.12466755054035665,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.18652720232252248,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,86183597.91633473,0.17731872965773066,1,234.60257722888613,0.14606160672416743,1.2018342573076888,0.9056364346149809,128233.59095930823,8.848073592538756e-06,1.2528429803355252,0.0,0.4569025786636802,499.6947861505421,0.9056364346149809,1.0884248917862787,1.0884248917862787,0.9056364346149809,8.848073592538756e-06,0.009761712993277423,3.0,0.0,0.0,1825.9881616512187,1.590528895827348,0.23142066203245595,0.43570524981468783,0.4806186081699383,0.47343746034916034,1.2941874667991422,183250.47436142454,0.007769867743282264,0.69977221835941,0.005437137587075852
Aklan,123269,79.44585903031265,211.61951034517918,0.2044606,184.5952062931508,0.07756705284875416,0.12851680008157856,0.20260182024778622,0.2634963682580016,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.08799550286835289,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,83150991.309774,0.17731872965773066,1,234.60257722888613,0.2786955015306736,1.2018342573076888,1.0337824854290494,127433.33319635352,8.25120876127565e-06,1.0171182527936882,0.0,0.7349523449254404,738.3808251726033,1.0337824854290494,1.2424352055933183,1.2424352055933183,1.0337824854290494,8.25120876127565e-06,0.00884262666091402,4.0,0.0,0.0,2698.1963448969004,2.689430674325548,0.35429875257752086,1.0782455345639033,0.7218030327763378,0.7092387264661375,1.4080605745152304,173570.21895991793,0.007627828494522909,0.7341889291836481,0.0056002672343902936
Albay,267030,76.58221031242061,224.00858474710728,0.33910619999999997,174.01538713278356,0.08152311956797828,0.17277507678010856,0.22198480054553077,0.23490956752809314,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14923681609161135,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,169801236.05770588,0.17731872965773066,1,234.60257722888613,0.2523883907808924,1.2018342573076888,7.921637165933943,2115314.7724193404,7.591992380570125e-05,20.27289725383641,0.0,0.6344666567948803,696.0615485311342,7.921637165933943,9.520494919981205,9.520494919981205,7.921637165933943,7.591992380570125e-05,0.08746624257839392,4.0,0.0,0.0,2543.552949971253,2.1200294407840135,0.4254929169820214,0.9857976986815677,0.6329801126686511,0.6202665983495355,11.857971932155566,3166434.245043501,0.068143237948879,0.6680431705570694,0.045522624731393936
Antique,121378,73.00738257920132,204.4395375188618,0.23561100000000001,173.47267606137342,0.023393244282816982,0.1722569519292951,0.26751379793509056,0.38641742612268776,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09915880014892076,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,76942128.24189499,0.17731872965773066,1,234.60257722888613,0.39499287468736766,1.2018342573076888,0.9148464961799514,111042.23801333015,8.34768894551251e-06,1.0132257888284175,0.0,0.7117048761664003,693.8907042454939,0.9148464961799515,1.0994938592869734,1.0994938592869734,0.9148464961799514,8.34768894551251e-06,0.008902429032855017,4.0,0.0,0.0,2535.620235689993,2.5516577555165703,0.41154907472100233,1.5066415972891192,0.6868279085079493,0.6737554368537242,1.297734968749475,157516.47503687377,0.007480918598905717,0.7049563417879668,0.005273721008698137
Apayao,24614,67.65457836874164,181.0193100789096,0.5469357,119.01609118569668,0.0,0.04779411764705882,0.10673083738768825,0.12959888541580197,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.3109050533392038,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,10704860.657431092,0.17731872965773066,1,234.60257722888613,0.1388862725247749,1.2018342573076888,4.52602925297937,111403.68403283422,7.402936483396402e-05,1.8221587860231898,0.0,0.35952299980176017,357.04827355709006,4.526029252979371,5.439537005807335,5.439537005807335,4.52602925297937,7.402936483396402e-05,0.08310312871132544,3.0,0.0,0.0,1304.728283590366,1.4455867707348626,0.0433076169117647,0.38738164444700185,0.39658009457824556,0.3955638490375676,6.540118958090686,160978.48803444416,0.05495155228956701,0.6920408148509722,0.038028717023797766
Aurora,47135,67.26519313472515,202.1915723228324,0.27132540000000005,165.58261851906752,0.0,0.07072148139521342,0.09068489570508582,0.1486671396482634,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11022144471797267,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,28520123.19845494,0.17731872965773066,1,234.60257722888613,0.16241940079524442,1.2018342573076888,4.9356764076816635,232643.10747607518,5.431495202993169e-05,2.56013526393083,0.0,0.6850513051609602,662.3304740762702,4.935676407681664,5.931864989737173,5.931864989737173,4.9356764076816635,5.431495202993169e-05,0.06297257188232548,4.0,0.0,0.0,2420.2926231848905,2.3579621843301926,0.15459884150119377,0.6004895555883571,0.5796238848295543,0.5759085342861578,7.874349143850868,371157.44689541066,0.04755540898119149,0.6268043640833434,0.029807937885179048
Basilan,52418,102.81856749049429,142.411081804131,0.3211191,129.69716924099885,0.0,0.042012083743150214,0.11097248298349525,0.10344933265686533,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2545699805867445,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,24843002.517119274,0.17731872965773066,1,234.60257722888613,0.1228007188043094,1.2018342573076888,0.0447217518301649,2344.2247874335835,5.72872992887861e-07,0.0300288565411959,0.0,0.6478903863558401,518.7886769639955,0.0447217518301649,0.053748133396305006,0.053748133396305006,0.0447217518301649,5.72872992887861e-07,0.0005854078695242083,4.0,0.0,0.0,1895.7611902109415,2.255302248768002,0.08556360366727554,0.48822345674849527,0.6595841382060074,0.6570618332953154,0.05757411041929819,3017.9197199587725,0.000443911850630417,0.7767684381828447,0.0003448167149050452
Bataan,159358,109.54218999437886,289.07467826880884,0.0446542,281.05779863090487,0.0,0.16199209153847166,0.034538033081994136,0.30362873748015945,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.017403960624023496,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,163667576.04902256,0.17731872965773066,1,234.60257722888613,0.32082001805679505,1.2018342573076888,8.575059259905927,1366504.2935400892,3.357238992910033e-05,5.35002891432157,0.0,0.8542154777100801,1124.2311945236197,8.575059259905927,10.305799976998461,10.305799976998461,8.575059259905927,3.357238992910033e-05,0.08116170653562801,4.0,0.0,0.0,4108.173447182384,3.557674570349823,0.4642753928534834,1.2514050081039145,0.4250944436970026,0.4153192634773097,10.763384788591782,1715231.4731404092,0.03829598339210877,0.7966879776512976,0.030509949560826814
