province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,assets,eff_prod_k_gar,protection,gdp_pc_pp_nat,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Abra,51167,92.82897218628722,203.89142050304676,0.27193649999999997,173.68948702635626,0.02968233433951416,0.06316269830617667,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,4.241025107040294,217000.5316519307,3.4791176461580306e-05,1.7801601260096795,0.0,0.5134464320232001,521.0684610790688,4.241025107040294,5.097009259743032,5.097009259743032,4.241025107040294,3.4791176461580306e-05,0.04768607071000806,3.0,0.0,0.0,1904.0919931743128,1.784073477711749,0.10811633062071271,3.0,0.4305081310338128,0.42745334661519374,5.4187927166413195,277263.3669323864,0.03119816178522683,0.7826512894682137,0.024417281550245726
Agusan del Norte,141357,82.34842550798723,234.81632362665314,0.2767785,192.61648748721595,0.05712460063897764,0.2491000860787229,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,99495609.79134291,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,1.5889450110172547,224608.49992236609,1.1645832017460914e-05,1.646219876492223,0.0,0.6809816697184002,770.4659499488637,1.588945011017255,1.9096485472186802,1.9096485472186802,1.5889450110172547,1.1645832017460914e-05,0.016183852070331035,4.0,0.0,0.0,2815.4420309243374,2.3963076359898934,0.5878961975458151,4.0,0.5905099624724333,0.5742901076244833,2.118282436269833,299434.05034379475,0.010997409743599569,0.750110081550452,0.008249267919615208
Agusan del Sur,141595,83.30408110359977,216.087522244498,0.37295759999999994,166.5649287168474,0.07623700505595637,0.1391886108170207,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.18652720232252248,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,86183597.91633473,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,0.9117119905026823,129093.85929522727,8.20566762348712e-06,1.161881507147659,0.0,0.4569025786636802,499.6947861505422,0.9117119905026823,1.0957267029843056,1.0957267029843056,0.9117119905026823,8.20566762348712e-06,0.009826306765562313,3.000000000000001,0.0,0.0,1825.9881616512187,1.590634921283389,0.23142066203245595,3.0,0.4806186081699383,0.47343746034916034,1.2002242164884003,169945.74793367504,0.007205743884588847,0.759618059674014,0.005473613188119272
Aklan,123269,79.44585903031265,211.61951034517918,0.2044606,184.5952062931508,0.07756705284875416,0.12851680008157856,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.08799550286835289,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,83150991.309774,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,1.1023044733533176,135879.97012579013,8.331123636066978e-06,1.0269692794943404,0.0,0.7349523449254404,738.3808251726033,1.1023044733533174,1.3247872780595273,1.3247872780595273,1.1023044733533176,8.331123636066978e-06,0.009419503817420988,4.0,0.0,0.0,2698.1963448969004,2.690645899188957,0.35429875257752086,4.0,0.7218030327763378,0.7092387264661375,1.4216979684736875,175251.28687578297,0.007701705786530157,0.7753436368321847,0.0059714685743397725
Albay,267030,76.58221031242061,224.00858474710728,0.33910619999999997,174.01538713278356,0.08152311956797828,0.17277507678010856,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14923681609161135,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,169801236.05770588,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,8.638880059959035,2306840.142410862,7.384122533987867e-05,19.717822402507807,0.0,0.6344666567948803,696.0615485311342,8.638880059959035,10.382502000831067,10.382502000831067,8.638880059959035,7.384122533987867e-05,0.09526147795132853,4.0,0.0,0.0,2543.552949971253,2.144214081790583,0.4254929169820213,4.0,0.6329801126686511,0.6202665983495355,11.533298950051126,3079736.8186321524,0.06627746626366189,0.7490380763884334,0.049644345838032594
Antique,121378,73.00738257920132,204.4395375188618,0.23561100000000001,173.47267606137342,0.023393244282816982,0.1722569519292951,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09915880014892076,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,76942128.24189499,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,1.0996024233911654,133467.54294637285,9.349441828241561e-06,1.1348165502283043,0.0,0.7117048761664003,693.8907042454938,1.0996024233911652,1.3215398618500558,1.3215398618500558,1.0996024233911654,9.349441828241561e-06,0.010682194580641811,4.0,0.0,0.0,2535.620235689993,2.5561583804424983,0.41154907472100233,4.0,0.6868279085079493,0.6737554368537242,1.4534678613438896,176419.02207419864,0.008378655903305849,0.7565371430878857,0.006338764400003455
Apayao,24614,67.65457836874164,181.0193100789096,0.5469357,119.01609118569668,0.0,0.04779411764705882,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.3109050533392038,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,10704860.657431092,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,4.856493377968176,119537.7280053087,7.318939496593694e-05,1.801483767691572,0.0,0.35952299980176017,357.04827355709006,4.856493377968176,5.836700112030093,5.836700112030093,4.856493377968176,7.318939496593694e-05,0.08913526564242961,3.0,0.0,0.0,1304.728283590366,1.4606181166343297,0.0433076169117647,3.0,0.39658009457824556,0.3955638490375676,6.465911879988235,159151.95501403042,0.05432804770826911,0.7510917977399055,0.0408053510209032
Aurora,47135,67.26519313472515,202.1915723228324,0.27132540000000005,165.58261851906752,0.0,0.07072148139521342,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11022144471797267,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,28520123.19845494,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,5.101441195505335,240456.430750144,4.637631014810677e-05,2.185947378831013,0.0,0.6850513051609601,662.3304740762701,5.101441195505335,6.131086790399001,6.131086790399001,5.101441195505335,4.637631014810677e-05,0.06504876112320501,3.999999999999999,0.0,0.0,2420.2926231848905,2.361814977225359,0.15459884150119377,4.0,0.5796238848295543,0.5759085342861578,6.723438840716696,316909.2897571815,0.04060473799031306,0.7587547557674428,0.030809038056840994
Basilan,52418,102.81856749049429,142.411081804131,0.3211191,129.69716924099885,0.0,0.042012083743150214,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2545699805867445,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,24843002.517119274,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,0.04472175347471176,2344.224873637441,5.409703729090011e-07,0.028356585007144018,0.0,0.6478903863558401,518.7886769639956,0.04472175347471176,0.05374813537277776,0.05374813537277776,0.04472175347471176,5.409703729090011e-07,0.0005854078695242083,4.0,0.0,0.0,1895.7611902109415,2.2553022472533106,0.08556360366727554,4.0,0.6595841382060074,0.6570618332953154,0.05436787624849424,2849.8553371935714,0.0004191909242635027,0.822576796458007,0.0003448167275849431
Bataan,159358,109.54218999437886,289.07467826880884,0.0446542,281.05779863090487,0.0,0.16199209153847166,1.0,1.0,0.0353108,0.22188520000000006,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.017403960624023496,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,163667576.04902256,0.17731872965773066,1,234.60257722888613,1.0,1.2018342573076888,11.758309021862374,1873780.609105944,4.6642952654128765e-05,7.432927649056651,0.0,0.8542154777100802,1124.2311945236197,11.758309021862374,14.131538590484265,14.131538590484265,11.758309021862374,4.6642952654128765e-05,0.11131496427812858,4.000000000000001,0.0,0.0,4108.173447182385,3.8305007977657666,0.4642753928534834,4.0,0.4250944436970026,0.4153192634773097,14.95383701168366,2383013.558507885,0.053205558018767425,0.7863071539883328,0.041835910902098136
