country,hazard,rp,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid
Albania,earthquake,20.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,148.79183073172544,0.0072937292580642,0,0,87.15823135086856,119.75823913073998,31.693938919744117
Albania,earthquake,50.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,315.2677742890509,0.015454328225874402,0,0,87.15823135086856,253.74990896912186,67.15474587913879
Albania,earthquake,100.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,544.1194476488279,0.026672566065495614,0,0,87.15823135086856,437.9459988277465,115.90211945117099
Albania,earthquake,250.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,1078.4012009144362,0.05286289141251955,0,0,87.15823135086856,867.97392210896,229.70872543658564
Albania,earthquake,500.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,1725.3944473347067,0.08457829909302526,0,0,87.15823135086856,1388.7200648221005,367.5238483011151
Albania,earthquake,1000.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,2628.194122234461,0.1288332583243534,0,0,87.15823135086856,2115.357399829675,559.8279392738779
Albania,earthquake,1500.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,3290.8670182816054,0.16131727755212827,0,0,87.15823135086856,2648.7236388227457,700.9829622869117
Albania,earthquake,2000.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,2.321472504290513e-11,1.1379786002407858e-15,0,0,87.15823135086856,1.868486044812019e-11,4.944935981566689e-12
Albania,flood,20.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,274.3678790001878,0.01338774610088443,0,0,87.15823135086856,220.8481961089906,59.204892654402926
Albania,flood,50.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,613.4505782153493,0.02993324370372896,0,0,87.15823135086856,493.78758947502155,132.3743718265078
Albania,flood,100.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,741.1692924714862,0.03616526228047861,0,0,87.15823135086856,596.5928003313849,159.93435003914607
Albania,flood,250.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,1306.2413910201508,0.06373788416184066,0,0,87.15823135086856,1051.43887812575,281.86929759380854
Albania,flood,500.0,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.25,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,1526.17323419747,0.0744694307506287,0,0,87.15823135086856,1228.4696260749406,329.3276269509023
