country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,40.048766654845124,116035934.847682,7.342574474409726e-07,2.127412563462261,8.597015505098964,0.4454007900000001,49804.70362906775,800.9753330969023,723.8646906446347,895.7687570050241,800.9753330969023,1.468514894881945e-05,0.03915627606447947,5.0,0.03624374158979135,171.94031010197926,268807.79028458265,3.322642398962853,0.0,1.0249285482196189,2.1059999999999994,2.1059999999999994,49.66659006742529,143902289.39729574,0.004986134486145014,0.806352250083539,0.004020580762122162
Angola,7488.011759834088,21471618.0,0.4405,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,20.0,0.1256680312276769,1.351790414097182,5.40385567613299,116029524.80505925,3.7239670383716367e-07,7.995959769250712,1.0252056838988373,0.8968672100000002,37440.05879917044,108.0771135226598,125.59781448027252,146.09760604322435,108.07711352265979,7.447934076743272e-06,0.014943714595802716,5.0,0.0043221150248683934,20.504113677976743,86587.15251195725,3.3761938230389275,0.0,0.6470707249860601,3.1,3.1,16.41826389265836,352526690.5263533,0.0021926065849317174,0.32913685097663675,0.0007216676267950631
Argentina,18087.196261682242,41446246.0,0.91751,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,20.0,0.15106190614207007,1.1979538860660952,24.645602792814497,1021467716.1692767,2.1652078672157204e-07,8.973973790575808,7.686422895643565,0.24585111800000004,90435.98130841122,492.9120558562899,476.64843291018155,590.4859128018707,492.91205585628995,4.330415734431441e-06,0.01939874164859781,5.0,39.89097802118219,153.7284579128713,335507.8615034258,3.3706633330618243,3.200000000000001,0.7953285832135136,2.2890156499999996,1.9960216467999998,35.83693253940604,1485306321.9136276,0.0019813426039571786,0.6877151878363016,0.001362599401048478
Armenia,7526.836419112871,2976566.0,0.62673,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,20.0,0.2696173557551283,1.289724411382942,20.70311872637763,61624199.29489896,5.588813783665614e-07,1.6635473088790425,5.833968505484526,0.051470236,37634.182095564356,414.06237452755266,438.1319090530463,534.0263522633711,414.0623745275526,1.117762756733123e-05,0.0863441369232471,5.0,20.784926899365683,116.6793701096905,102630.54602921395,3.261884408736717,1.6000000000000003,1.4931131340217918,1.25,1.1699999999999997,24.832063608484166,73914276.24685128,0.0032991368784670524,0.8337252615326005,0.0027505737568317905
Australia,42834.0167597384,23129300.0,0.8942299999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,20.0,0.22516027695600005,1.201782492156731,33.39642231186174,772435870.5777438,6.010858120200574e-08,1.390269407195551,12.439616842540156,3.2620272,214170.083798692,667.9284462372347,644.0059532548698,802.7047127013569,667.9284462372347,1.2021716240401145e-06,0.00985770876668503,5.0,90.09357740431612,248.79233685080308,782778.553672093,3.385593136367783,4.0,1.4082027200000002,2.8543999999999996,2.397696,36.23895366842333,838181631.0830637,0.0008460321120872776,0.9215614395887369,0.0007796705711534512
Austria,44056.254416802,8479823.0,0.65968,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,20.0,0.473076769832,1.1627453167024924,46.653179379291686,395610703.5236434,7.841876469150671e-08,0.6649772444626265,29.06332023959316,2.7096414,220281.27208400998,933.0635875858338,889.0597305016825,1084.9153166510541,933.0635875858338,1.568375293830134e-06,0.021605791912394028,5.0,385.41081864249185,581.2664047918634,948349.7388571533,3.369820991594088,4.0,2.4207879200000004,1.5280000000000002,1.28352,49.32496081613467,418266937.20275754,0.0011195904297602592,0.9458330753307153,0.001058945659290983
Azerbaijan,16593.188760048204,9416801.0,0.5462,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,20.0,0.428208034056247,1.5084382783151649,13.087481232445818,123242206.35717702,1.2816631078680183e-07,1.206916643583466,3.187292666338779,0.09986593600000003,82965.943800241,261.7496246489164,331.10073698117,394.833153155052,261.7496246489164,2.5633262157360365e-06,0.039641810976087655,5.0,0.013437152893501728,63.745853326775574,138687.71662300028,3.3243674728862995,0.0,2.4182056197257937,1.25,1.25,18.640715307634164,175535906.5496447,0.001123395603894764,0.702091149210671,0.0007887261105566905
Bangladesh,2853.447740155661,156594962.0,0.34277,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,20.0,0.0734057697595131,1.2169977389506987,27.866086808257457,4363688804.827776,3.3718482414834293e-06,528.0144472448644,11.838505832921065,0.8749021000000002,14267.238700778307,557.3217361651491,558.5345310361874,678.2592927810642,557.321736165149,6.743696482966858e-05,0.15128608646578656,5.0,117.0453549135445,236.77011665842127,49246.80714085134,3.191252838223716,3.200000000000001,0.36576154020410284,2.362140790448914,2.0597867692714527,34.96978545266988,5476092224.108993,0.012255274544037107,0.7968618179248774,0.009765760352329882
Belarus,17054.558334452504,9466000.0,0.76667,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.3864445367538237,20.0,0.33536386098589716,1.308380406754342,27.886649465654134,263975023.84188202,2.418087167142657e-07,2.2889613124172388,12.343391563208755,0.3854871600000001,85272.79167226254,557.7329893130826,612.5919380681042,729.7269154177663,557.7329893130826,4.836174334285312e-06,0.046595227433576886,5.0,129.73285391451296,246.86783126417504,220659.84523565348,3.332414061952829,3.200000000000001,1.7709772480880686,1.8799999999999994,1.6393600000000004,36.64848212987733,346914531.8414188,0.002148896583023347,0.7609223587167286,0.0016351434565924437
Belgium,40608.97200934282,11182817.0,0.9785799999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,20.0,0.46519935741750007,1.1480208379739567,13.203177015376646,147648712.38156322,2.6064364045263106e-08,0.29147301333955705,3.0161737615521953,2.1077302,203044.86004671405,264.0635403075329,242.83968733216432,303.1504468222236,264.0635403075329,5.21287280905262e-07,0.005063862048129992,5.0,0.012715740984620723,60.323475231043915,937022.6506688667,3.3898962728657653,0.0,2.472036530000001,1.5400000000000005,1.5400000000000005,14.518671639071846,162359648.0228305,0.00035752374218513995,0.9093929075332888,0.0003251295554179264
