country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
Albania,444756296.0123336,388946948.49037915,357802068.933336,411018715.04518604,428148813.98964244,460865306.5890766,476498494.6274042,420873738.5714512
Algeria,4042107730.032092,2724466572.7395973,3462292242.320736,3513452389.2147975,3782007879.123441,4294153713.211822,4538522051.260692,3494894760.6809177
Angola,738782463.436388,560275988.3842009,433107834.2493987,604412679.0710653,672404006.8606931,803608374.765288,866938904.8587686,684787159.3034014
Argentina,5794566570.511843,4221054562.854809,4603625572.605831,5084479508.710392,5444790444.042008,6134277295.414477,6464363796.503577,5582446466.808857
Armenia,242274066.916975,176061420.27620822,229173852.6873033,205895136.50121334,224415231.1116539,259506539.1121131,276145123.53113073,210776178.11748856
Australia,2684624318.7885065,2300715585.456934,2597557990.911972,2357195822.7196593,2523630206.4789014,2840444470.4907207,2991339628.9446173,2641704674.6449556
Austria,1027574641.2069974,881532487.48857,964290443.1876725,918724286.269173,974142580.2448994,1079125703.0835845,1128893675.46158,1006220010.6479515
Bangladesh,16131860252.115835,10529225984.728148,14885675063.324791,14045558025.265453,15104159340.480074,17130035868.575432,18099978751.3883,12656700691.423183
Belarus,805768687.1835403,572686384.569595,747618993.1226797,675317815.9846368,741729258.5197172,867561324.6045985,927223707.7086749,716621483.9940778
Belgium,357757522.7638467,325545043.13707954,313751397.80911404,327096847.53168947,342710160.0417014,372269214.1768806,386273393.67468953,356060333.59990585
Benin,125667078.81561564,79834553.33934188,81568851.23091513,106433354.30381611,116164441.98123051,134949674.75277838,144020207.74542412,119796710.7364154
Bhutan,186959862.58598897,141238940.817665,164815653.84736222,171399819.25244093,179278190.59566617,194452396.36124033,201762954.9436211,164743667.661196
Bolivia,626192497.392928,444622442.5079363,516540988.7089465,513205167.8378299,570592205.5455017,680089738.3288543,732362384.1627436,588258208.0132984
Bosnia and Herzegovina,397357815.6914625,321162663.4913721,329290731.44418293,342236647.7882249,370193188.229827,423764875.26758504,449446690.0605926,372888608.1585311
Botswana,154521030.54389876,125186570.38104731,130907526.13496889,133890398.56487113,144347175.01958084,164423798.97874457,174066635.17741022,151922002.37982166
Brazil,8103023436.514599,6057453804.411511,6817138776.302457,7060794957.613199,7589244703.337963,8602759361.027597,9089043839.27205,7953443419.15127
Bulgaria,380419459.7616509,308304867.1597798,349214874.5920052,326617818.3397512,354000037.6496757,405926271.49467033,430567212.9098639,371615935.05230886
Burkina Faso,91114870.26125996,70691369.59720136,87630841.25363234,75771231.89184251,83566347.0337111,98428635.2501707,105518712.246024,87789563.83568397
Burundi,52598594.80537477,36576329.05924126,44987922.64869332,42419365.35006986,47577979.965524875,57486932.90586999,62248392.31440953,50353431.8567042
Cameroon,442708910.1774219,288137289.91731787,343281835.7444014,357720934.529122,400838722.6978265,483386147.4612402,522921869.5972404,400718710.24552095
Canada,1927355736.1426847,1584217150.445271,1870100132.9637446,1644425095.625927,1788419609.524458,2061496436.256667,2191086695.093512,1889190573.984778
Central African Republic,32203848.22770414,25928539.37526986,22985326.696211956,27645697.17064202,29948946.974146396,34412023.828493915,36575019.36152984,30203336.805903777
Chad,145136327.72851634,99035524.91783208,122026200.49965411,105763048.47017623,125657773.15930353,164212983.81911933,182901303.42337462,135903547.59833688
Chile,6277009563.949171,3356513660.8347607,5725551267.220728,5178824466.680709,5737565221.903648,6798144129.179181,7301889166.455206,4166172459.578335
China,78960281531.15344,68098097463.814674,73961460850.49321,70562158624.56772,74826193294.35167,82970406002.27638,86862180023.0331,78173416879.81293
Colombia,13872035345.737833,9174649349.29862,12192454000.45467,11780353847.893744,12842383844.178013,14870795804.96185,15840061324.631765,10802539212.204237
Comoros,4837753.824024286,4071987.680474961,3375483.7751360037,4419150.0275614485,4631269.565390625,5038833.258807588,5234725.499683913,4796337.794811399
"Congo, Dem. Rep.",926966803.9682521,688752633.1205901,664520625.5956982,825290612.2603952,876743077.8055717,976007334.4306686,1023907884.9830657,837798783.9864436
"Congo, Rep.",318321116.61534715,229323727.05063102,226319566.24859565,268323301.42810076,293682924.9428001,342269413.6252198,365557480.37987554,272049279.33934563
Costa Rica,453615700.00834334,312035045.79060704,443138707.06702805,343411305.58317,399354192.80016947,506272772.3505748,557397608.2165394,412166960.0815932
Cote d'Ivoire,243395122.0516355,173351068.18746692,215531486.98475024,187644396.8198342,215868019.88257775,270252821.39936286,296466756.84738517,233294082.1035083
Croatia,646980899.171881,535652326.16671515,582262714.3780491,583064180.3495708,615569719.5692241,677352596.9591475,706736048.4380784,624549956.5948775
Cyprus,107827782.71185724,93445115.22839125,79303651.67252257,99250285.98471496,103615961.81324133,111893776.83262977,115821420.8051134,101521281.3493119
Czech Republic,654048855.6845505,574423673.8578956,616692315.8814169,586565226.4573488,620904234.7552357,686060842.7807221,716997734.6526122,646332999.8912205
Denmark,15088500.216303678,13554868.878346015,14673360.458514258,13642040.727090303,14378762.918087823,15772711.089971725,16432749.661730029,15069767.334771603
Dominican Republic,2405705109.4936643,1679044108.547506,2125552975.4725602,2015887321.5584161,2214066713.9876704,2591123109.7689104,2770620569.7301555,2126587203.808585
Ecuador,4638154488.556144,3263817500.673163,4026799583.031163,4090603936.1995244,4368253598.549303,4900641539.396917,5156029811.563567,4095183278.9732227
"Egypt, Arab Rep.",1233490397.0946383,914433009.5607284,1097860407.3016057,979908863.2400272,1108359219.1836035,1355436148.0583858,1474322777.2223556,1223650362.04935
El Salvador,1773477692.9001184,1296818469.1423502,1423621119.764272,1680594208.051867,1727759405.2078133,1817816024.3540099,1860837207.0273998,1516389540.5653524
Estonia,135403765.95376417,107811377.06576204,102465139.83190086,119906161.05837998,127795425.11108091,142745974.83611432,149835819.4223416,121744881.36403887
Ethiopia,680634740.2120689,493378084.62077546,628902417.5160908,568580928.5337403,625493268.0888472,734088288.3712318,785931672.0286623,623707277.7745837
Finland,,,,,,,,
France,5104702763.143921,4494627640.051617,4747760953.859793,4587458511.410367,4850790863.562699,5349692381.269989,5586223258.59262,5045341942.581497
Georgia,425661556.74648654,283218450.18986654,421242230.8985912,362939485.7430658,394890004.8841323,455318271.83683497,483919708.6496159,333916132.5290361
Germany,4074976973.8156104,3525838106.6046143,3960562468.4044924,3593214965.0013237,3838573767.900004,4302906771.087066,4522811347.575255,4028703376.4026656
Ghana,289059138.1753739,222097980.63319048,273001699.6421273,238708515.5851237,264269690.9812945,313112730.02183336,336464072.7609267,280322706.4467948
Greece,7376012078.617038,3360848841.0077577,5797897882.722185,6581699065.896066,6985901243.224865,7752760627.716568,8116826209.356332,4463604973.778317
Guatemala,2965910262.3764167,1152701187.5301538,2213056655.9893794,2190762230.8768387,2583704762.672792,3337834688.564556,3699907390.2450113,1707712603.7381637
