country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.183943312586,1.19006396095,46.2064736701,132894485.129,8.0471148001e-07,2.31443149237,0.0,0.0215217995,2856.15707967,46.2064736701,54.9886590775,54.9886590775,46.2064736701,8.0471148001e-07,0.00186621326025,0.25,0.0,0.0,15415.3567304,0.166306583078,0.0,0.0479477253834,0.1053,0.1053,66.8591148697,192293567.136,0.00585219168666,0.691102084736,0.00404446187492
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,20.0,0.145444582109,1.34728313972,17.5326728376,711932624.941,3.45261392295e-07,14.0197020491,0.0,0.038046115,3493.66655617,17.5326728376,23.6214745083,23.6214745083,17.5326728376,3.45261392295e-07,0.00262623855024,0.25,0.0,0.0,12092.5586187,0.166288785279,0.0,0.039065674115,0.04751962,0.04751962,38.809910837,1575917257.56,0.00277716191665,0.451757617048,0.00125460404962
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.127358535734,1.56496911705,3.83611020385,110531619.423,2.8693749313e-07,8.26766284162,0.0,0.04642908,1506.18153454,3.83611020385,6.00339399863,6.00339399863,3.83611020385,2.8693749313e-07,0.000666783963465,0.25,0.0,0.0,3483.32706798,0.168936213112,0.0,0.0325121081995,0.155,0.155,9.12993914893,263065163.86,0.00151541147922,0.420168211559,0.000636727731001
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,5,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,20.0,0.139014907013,1.51659329907,1129.12783009,114000133.109,1.73164077188e-05,1.74831647251,0.0,0.0306,4155.52261661,1129.12783009,1712.42770091,1712.42770091,1129.12783009,1.73164077188e-05,0.0285681809342,0.2,0.0,0.0,10375.5610585,0.108195539195,0.0,0.0327809919943,0.161837960206,0.161837960206,3528.78585293,356276806.069,0.169835959445,0.319976296989,0.0543434813988
Argentina,10405.0,43847430.0,0.91893,12449.2168521,5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.154097673055,1.31791040274,15.2651402398,669337168.103,4.19764769094e-07,18.4056063293,0.0,0.012687701,2601.25,15.2651402398,20.1180871213,20.1180871213,15.2651402398,4.19764769094e-07,0.000968117977194,0.25,0.0,0.0,9650.36053248,0.168536482134,0.0,0.0404066554385,0.1144731475,0.1144731475,30.3151452481,1329241209.21,0.00291351708296,0.503548312727,0.00146709661122
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,5,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,20.0,0.353665438477,1.46529222608,23.1139746181,67604122.7866,7.37663295573e-07,2.15752940951,0.0,0.00523286495,2043.59168293,23.1139746181,33.8687273216,33.8687273216,23.1139746181,7.37663295573e-07,0.00432354586704,0.25,0.0,0.0,5572.99026049,0.163085156627,0.0,0.100640829885,0.0625,0.0625,37.0940167828,108493173.791,0.00453784592742,0.623118675808,0.00282761654531
Australia,44414.029479,24127159.0,0.89554,49927.8195095,5,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,20.0,0.22769110058,1.32405907569,44.0567274122,1062963667.29,1.01106599667e-07,2.43941500612,0.0,0.16484148,11103.5073698,44.0567274122,58.3337097755,58.3337097755,44.0567274122,1.01106599667e-07,0.000441551460984,0.25,0.0,0.0,40582.6401402,0.169354483541,0.0,0.070584148,0.14272,0.14272,64.3595257366,1552812510.61,0.00144908098841,0.684540895974,0.000991955198143
Austria,44143.7001647,8747358.0,0.66032,44176.515216,5,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,20.0,0.4838857587,1.26136606967,54.3934899833,475799329.753,1.18564997144e-07,1.03713047629,0.0,0.161313535,11035.9250412,54.3934899833,68.6101026761,68.6101026761,54.3934899833,1.18564997144e-07,0.000942896422159,0.25,0.0,0.0,47511.6042859,0.168673373183,0.0,0.1236225425,0.0764,0.0764,74.8380205967,654634958.171,0.00169532731324,0.726816256625,0.00123219145156
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,5,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,20.0,0.4315486726,1.81654278702,12.605798713,123061261.025,1.79096317432e-07,1.74838732316,0.0,0.014287325,3998.5024354,12.605798713,22.8989727267,22.8989727267,12.605798713,1.79096317432e-07,0.00198071267948,0.25,0.0,0.0,6683.98558826,0.166221277348,0.0,0.121495839712,0.0625,0.0625,24.6471538105,240612268.819,0.00154102405893,0.511450482675,0.000788157498752
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,20.0,0.147886692351,1.34849449008,38.0884530432,6206572841.38,4.13267807037e-06,673.426338544,0.0,0.0218448195,829.838389019,38.0884530432,51.3620690646,51.3620690646,38.0884530432,4.13267807037e-06,0.00673473843087,0.25,0.0,0.0,2864.38686274,0.160587633561,0.0,0.0345115160811,0.117830214513,0.117830214513,53.7753786214,8762781835.94,0.0162005576426,0.708287956677,0.0114746598697
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,20.0,0.435313789819,1.49525342118,33.7190338301,320570900.907,3.6052731435e-07,3.42757644081,0.0,0.043093463,4185.5638739,33.7190338301,50.4185006933,50.4185006933,33.7190338301,3.6052731435e-07,0.00200969118222,0.25,0.0,0.0,10830.9562585,0.16706259741,0.0,0.117113759993,0.094,0.094,53.1392792854,505201504.88,0.00317396179382,0.63454066904,0.00201400784016
