country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.04099835156,110.434601053,317621066.524,1.66712819874e-06,4.79482907952,0.0,0.43043599,57123.1415934,110.434601053,114.962237652,114.962237652,110.434601053,1.66712819874e-06,0.0044676867198,5.0,0.0,0.0,308307.134608,3.39099980367,0.0,0.958954507668,2.106,2.106,138.512645229,398376357.455,0.0121240395193,0.797288946949,0.00966636270108
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.07491181486,59.1128451412,2400339263.67,9.13836920623e-07,37.1073095183,0.0,0.7609223,69873.3311234,59.1128451412,63.5410956521,63.5410956521,59.1128451412,9.13836920623e-07,0.00886564477349,5.0,0.0,0.0,241851.172375,3.38701467529,0.0,0.781313482301,0.9503924,0.9503924,102.721967183,4171133540.98,0.00735058466024,0.575464496662,0.00423000050168
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.12186846137,7.80220948281,224808674.251,4.1042385238e-07,11.8257324849,0.0,0.9285816,30123.6306908,7.80220948281,8.75305274773,8.75305274773,7.80220948281,4.1042385238e-07,0.00135713673424,5.0,0.0,0.0,69666.5413596,3.39782268509,0.0,0.650242163989,3.1,3.1,13.0590978426,376277832.501,0.00216758364499,0.597453941831,0.00129503139294
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,1,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.1114334016,2203.63886333,222485990.559,2.36587271379e-05,2.38865606802,0.0,0.612,83110.4523321,2203.63886333,2449.19783776,2449.19783776,2203.63886333,2.36587271379e-05,0.0557421055739,4.0,0.0,0.0,207511.221171,2.64974680723,0.0,0.655619839887,3.23675920412,3.23675920412,4821.24139014,486766994.473,0.232040194938,0.457068768189,0.106058326071
Argentina,10405.0,43847430.0,0.91893,12449.2168521,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.06857587515,47.9612200667,2102976239.59,1.04611194398e-06,45.8693202358,0.0,0.25375402,52024.9999999,47.9612200667,51.2502027061,51.2502027061,47.9612200667,1.04611194398e-06,0.00303831805133,5.0,0.0,0.0,193007.21065,3.39536372916,0.0,0.80813310877,2.28946295,2.28946295,75.5495407488,3312653199.52,0.00726088810658,0.634831391314,0.00460943969888
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,1,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.10036734038,58.8809321008,172215892.303,1.40284437197e-06,4.10306166465,0.0,0.104657299,40871.8336587,58.8809321008,64.790654655,64.790654655,58.8809321008,1.40284437197e-06,0.0110167469849,5.0,0.0,0.0,111459.80521,3.38129832025,0.0,2.01281659769,1.25,1.25,70.5432044537,206325893.077,0.00862980665888,0.83467901064,0.00720311848405
Australia,44414.029479,24127159.0,0.89554,49927.8195095,1,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.06990219422,113.522064995,2738964912.14,2.07227763231e-07,4.99981719269,0.0,3.2968296,222070.147395,113.522064995,121.45750643,121.45750643,113.522064995,2.07227763231e-07,0.00113865080466,5.0,0.0,0.0,811652.802803,3.3983264356,0.0,1.41168296,2.8544,2.8544,131.911078059,3182639554.19,0.00297003175813,0.860595384901,0.00255599562405
Austria,44143.7001647,8747358.0,0.66032,44176.515216,1,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.05637879984,109.921656249,961524079.163,1.99383312582e-07,1.74407721438,0.0,3.2262707,220718.500823,109.921656249,116.118907304,116.118907304,109.921656249,1.99383312582e-07,0.00190179793424,5.0,0.0,0.0,950232.085718,3.39724770935,0.0,2.47245085,1.528,1.528,125.850401156,1100858513.35,0.00285092551568,0.873431115352,0.00249008705294
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,1,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.17613496046,41.3078003271,403258065.13,3.78212031455e-07,3.69220948116,0.0,0.2857465,79970.048708,41.3078003271,48.5835481044,48.5835481044,41.3078003271,3.78212031455e-07,0.00648120839168,5.0,0.0,0.0,133679.711765,3.38708457338,0.0,2.42991679424,1.25,1.25,52.0493678817,508120190.788,0.00325430387517,0.793627319759,0.00258270446213
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,1,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.07517311304,87.2946801708,14224804313.5,7.4150896503e-06,1208.30042606,0.0,0.43689639,16596.7677804,87.2946801708,93.8568930312,93.8568930312,87.2946801708,7.4150896503e-06,0.0154348257708,5.0,0.0,0.0,57287.7372547,3.37725451234,0.0,0.690230321622,2.35660429026,2.35660429026,96.4868897762,15722689208.6,0.0290679760822,0.904730998929,0.0262986990377
