country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,20.0,0.183943312586,1.1183474946,36.9651789361,106315588.103,5.90580405584e-07,1.69856889508,0.0,0.0215217995,2856.15707967,36.9651789361,41.3399152505,41.3399152505,36.9651789361,5.90580405584e-07,0.00186621326025,0.25,0.0,0.0,15415.3567304,0.166306583078,0.0,0.0479477253834,0.08424,0.08424,49.0681246106,141124882.261,0.00429494275367,0.753344034022,0.00323556949994
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,20.0,0.145444582109,1.21624346508,14.0261382701,569546099.953,2.4491975915e-07,9.94522447589,0.0,0.038046115,3493.66655617,14.0261382701,17.0591990112,17.0591990112,14.0261382701,2.4491975915e-07,0.00262623855024,0.25,0.0,0.0,12092.5586187,0.166288785279,0.0,0.039065674115,0.038015696,0.038015696,27.5307758903,1117916117.4,0.00197004890476,0.509471230522,0.0010036832397
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,20.0,0.127358535734,1.3517904141,3.06888816308,88425295.5381,1.94081905385e-07,5.59217179979,0.0,0.04642908,1506.18153454,3.06888816308,4.14849360079,4.14849360079,3.06888816308,1.94081905385e-07,0.000666783963465,0.25,0.0,0.0,3483.32706798,0.168936213112,0.0,0.0325121081995,0.124,0.124,6.17540763581,177934879.424,0.00102501051404,0.496953131529,0.000509382184801
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,20.0,0.139014907013,1.32166814984,903.302264072,91200106.4875,1.15757240788e-05,1.16871983017,0.0,0.0306,4155.52261661,903.302264072,1193.8658321,1193.8658321,903.302264072,1.15757240788e-05,0.0285681809342,0.2,0.0,0.0,10375.5610585,0.108195539195,0.0,0.0327809919943,0.129470368165,0.129470368165,2358.93333248,238164986.047,0.113532450674,0.382928271704,0.0434747851191
Argentina,10405.0,43847430.0,0.91893,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,20.0,0.154097673055,1.19795388607,12.2121121918,535469734.483,2.97260538247e-07,13.0341106426,0.0,0.012687701,2601.25,12.2121121918,14.6295472573,14.6295472573,12.2121121918,2.97260538247e-07,0.000968117977194,0.25,0.0,0.0,9650.36053248,0.168536482134,0.0,0.0404066554385,0.091578518,0.091578518,21.4679674356,941315199.374,0.0020632356978,0.568852744372,0.00117367728898
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,20.0,0.353665438477,1.28972441138,18.4911796945,54083298.2293,5.16549671801e-07,1.51081274488,0.0,0.00523286495,2043.59168293,18.4911796945,23.8485258472,23.8485258472,18.4911796945,5.16549671801e-07,0.00432354586704,0.25,0.0,0.0,5572.99026049,0.163085156627,0.0,0.100640829885,0.05,0.05,25.9751329773,75972484.534,0.00317763244906,0.711880078176,0.00226209323625
Australia,44414.029479,24127159.0,0.89554,49927.8195095,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,20.0,0.22769110058,1.20178249216,35.2453819298,850370933.835,7.18117455461e-08,1.73261340286,0.0,0.16484148,11103.5073698,35.2453819298,42.3572829326,42.3572829326,35.2453819298,7.18117455461e-08,0.000441551460984,0.25,0.0,0.0,40582.6401402,0.169354483541,0.0,0.070584148,0.114176,0.114176,45.7118516583,1102897113.14,0.00102922099603,0.771033783389,0.000793564158514
Austria,44143.7001647,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,20.0,0.4838857587,1.1627453167,43.5147919867,380639463.803,8.69119262951e-08,0.760249733773,0.0,0.161313535,11035.9250412,43.5147919867,50.5966205898,50.5966205898,43.5147919867,8.69119262951e-08,0.000942896422159,0.25,0.0,0.0,47511.6042859,0.168673373183,0.0,0.1236225425,0.06112,0.06112,54.8586571656,479868313.627,0.00124272901821,0.79321649918,0.000985753161252
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,20.0,0.4315486726,1.50843827831,10.0846389704,98449008.8198,1.18558095076e-07,1.15739660905,0.0,0.014287325,3998.5024354,10.0846389704,15.2120554459,15.2120554459,10.0846389704,1.18558095076e-07,0.00198071267948,0.25,0.0,0.0,6683.98558826,0.166221277348,0.0,0.121495839712,0.05,0.05,16.3159111629,159280395.332,0.00102012637397,0.618086165687,0.000630525999002
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,20.0,0.147886692351,1.21699773895,30.4707624346,4965258273.11,2.9151224451e-06,475.02375002,0.0,0.0218448195,829.838389019,30.4707624346,37.082848987,37.082848987,30.4707624346,2.9151224451e-06,0.00673473843087,0.25,0.0,0.0,2864.38686274,0.160587633561,0.0,0.0345115160811,0.0942641716106,0.0942641716106,37.9322585848,6181120710.71,0.0114276041838,0.803294176816,0.00917972789577
