country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.118347494599629,109.92873089743082,316166132.8628317,1.9292225267986867e-06,5.5486388385482295,0.0,0.43043599,57123.141593500004,109.92873089743082,122.93852078365857,122.93852078365857,109.92873089743082,1.9292225267986867e-06,0.004684841967579156,4.999999999999999,0.0,0.0,308307.1346076693,3.390569588824206,0.0,0.9589545076650001,2.1059999999999994,2.1059999999999994,160.28864224343386,461006324.24498236,0.014030096889985562,0.6858173440041975,0.00962208378521145
Algeria,13974.666224700002,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.1454445821087893,1.216243465076183,58.1145954499876,2359804284.801159,1.0219258128910972e-06,41.49637269839817,0.0,0.7609223,69873.33112350001,58.11459544998759,70.68149694159348,70.68149694159348,58.1145954499876,1.0219258128910972e-06,0.00886564477349066,4.999999999999999,0.0,0.0,241851.17237498428,3.38701467529227,2.4000000000000004,0.7813134822983959,0.9503924000000001,0.8591547296000002,114.87195083331179,4664496408.8789015,0.008220013915629515,0.5059076217336679,0.004158567690673783
Angola,6024.726138149999,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,1.0,0.12735853573367692,1.351790414097182,8.844959106204398,254853901.94313353,8.9721407376956e-07,25.851844517638483,0.0,0.9285816000000002,30123.630690749997,8.844959106204398,11.956530932848684,11.956530932848684,8.844959106204398,8.9721407376956e-07,0.0015207822274710043,4.999999999999999,0.0,0.0,69666.54135948201,3.397561979191923,0.0,0.6502421639860603,3.0999999999999988,3.0999999999999988,28.548063927512754,822568583.6970234,0.004738483255983973,0.3098269335764029,0.0014681097370046437
Antigua and Barbuda,20777.613083000004,100963.0,0.23393000000000005,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1.0,0.13901490701349914,1.3216681498414258,2047.4148422861813,206713144.7217397,2.6384625724934533e-05,2.663870967066565,0.0,0.6120000000000001,83110.45233200002,2047.4148422861808,2706.002986562251,2706.002986562251,2047.4148422861813,2.6384625724934533e-05,0.05574210557388437,3.9999999999999996,0.0,0.0,207511.22117054445,2.6497468072283437,1.2000000000000002,0.6556198398894972,3.236759204115489,3.0425536518685594,5376.732605571275,542851054.0562927,0.25877527818488705,0.38079164289566614,0.09853946332080617
Argentina,10404.999999999998,43847430.0,0.91893,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,1.0,0.15409767305494396,1.1979538860660952,45.15675929524016,1980007842.2248926,1.1077128072362497e-06,48.57035977539496,0.0,0.25375402,52024.99999999999,45.156759295240164,54.095715279884224,54.095715279884224,45.15675929524016,1.1077128072362497e-06,0.0030383180513243267,4.999999999999999,0.0,0.0,193007.2106498201,3.3953637291592162,3.2000000000000006,0.8081331087679999,2.289462949999999,1.9964116923999993,79.9919022833753,3507439335.9371386,0.007687832992155244,0.5645166323869895,0.004339909591085071
Armenia,8174.366731719998,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3536654384755099,1.289724411382942,57.536478532618084,168283612.9958579,1.6097670475717295e-06,4.708272417010555,0.0,0.10465729899999998,40871.833658599986,57.53647853261809,74.20620090852816,74.20620090852816,57.536478532618084,1.6097670475717295e-06,0.011016746984863712,4.999999999999999,0.0,0.0,111459.80520968247,3.3812983202529328,1.6000000000000003,2.0128165976849997,1.2499999999999998,1.1699999999999997,80.94848454217669,236759422.76471105,0.00990272240026403,0.7107789461165239,0.007038646591344161
Australia,44414.0294791,24127159.0,0.89554,49927.81950950001,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058,1.201782492156731,88.65912544232974,2139092816.3480341,1.9526279133651817e-07,4.711136413359995,0.0,3.2968296,222070.14739549998,88.65912544232974,106.54898472651925,106.54898472651925,88.65912544232974,1.9526279133651817e-07,0.0012700219247559535,4.999999999999999,0.0,0.0,811652.8028041032,3.398134230058851,3.9999999999999996,1.4116829600000003,2.854399999999999,2.397696,124.29476103215069,2998879462.289704,0.0027985472718848967,0.713297364314468,0.0019961963929449418
Austria,44143.7001648,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.48388575870000006,1.1627453167024924,97.13854436868974,849705623.191813,2.1941758570923997e-07,1.9193241736944058,0.0,3.2262706999999997,220718.50082400005,97.13854436868971,112.94738753599124,112.94738753599124,97.13854436868974,2.1941758570923997e-07,0.002188652691091321,4.999999999999999,0.0,0.0,950232.0857197233,3.3968449861107946,3.9999999999999996,2.4724508500000004,1.528,1.2835199999999998,138.49599961298767,1211474090.1826646,0.003137389912851569,0.7013815896497593,0.0022005075244269532
Azerbaijan,15994.009741600004,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,1.0,0.43154867260124,1.5084382783151649,41.307800327044426,403258065.1298973,4.85909668480219e-07,4.743583322953061,0.0,0.2857465,79970.04870799999,41.307800327044426,62.31026720631347,62.31026720631347,41.307800327044426,4.85909668480219e-07,0.006481208391686572,4.999999999999999,0.0,0.0,133679.71176518354,3.3870845733818724,0.0,2.4299167942400004,1.2499999999999998,1.2499999999999998,66.8808863662358,652909538.0700582,0.004181620959769729,0.6176323695957817,0.0025827044621339647
Bangladesh,3319.353556059999,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.147886692351406,1.2169977389506987,74.49316780426324,12138777903.046469,8.798176270323991e-06,1433.676548404276,0.0,0.4368963899999999,16596.767780299997,74.49316780426322,90.65801678506335,90.65801678506335,74.49316780426324,8.798176270323991e-06,0.017383527196079402,4.999999999999998,0.0,0.0,57287.7372545356,3.3745325411241085,3.2,0.6902303216240002,2.3566042902633697,2.0549589411096583,114.4839380320165,18655336297.260418,0.0344898294497759,0.6506866297998112,0.022442070887044953
Belarus,16742.255495600002,9507120.0,0.77046,4989.25461056,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.3864445367538237,1.0,0.43531378981861013,1.308380406754342,57.84943314708853,549981502.8613484,5.835281202103768e-07,5.547671862214477,0.0,0.86186926,83711.27747799997,57.84943314708854,75.68906487149583,75.68906487149583,57.84943314708853,5.835281202103768e-07,0.005088617633931036,4.999999999999999,0.0,0.0,216619.12516912224,3.3924060982916426,3.2000000000000006,2.342275199858001,1.8799999999999992,1.6393599999999995,86.0080845930178,817689181.1959714,0.005137186242058091,0.6726045978215494,0.003455295086273879
Belgium,41945.692123000015,11348159.0,0.97897,41096.1573022,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.48314774690999995,1.1480208379739567,24.747293367316757,280836219.951956,5.45453135121133e-08,0.6189888904403102,0.0,2.8961435,209728.46061500016,24.747293367316765,28.410408469134325,28.410408469134325,24.747293367316757,5.45453135121133e-08,0.00045875789873802883,5.000000000000001,0.0,0.0,967866.5002450955,3.3990768399887745,0.0,2.550877860000001,1.5400000000000003,1.5400000000000003,31.881927788184342,361801185.76683426,0.000760076331431007,0.7762169694295673,0.0005899841465185196
Belize,7831.45448606,366954.0,0.43845,4810.56590199,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.9615481265045698,1.0,0.15088173014836204,1.8516600728709784,108.2870707389817,39736373.75595228,6.315444992514599e-06,2.317477801783202,0.0,1.2726670000000002,39157.2724303,108.2870707389817,200.51084529552762,200.51084529552762,108.2870707389817,6.315444992514599e-06,0.03731109455787068,5.000000000000001,0.0,0.0,40723.153996092675,3.33504106118148,0.0,0.99913973542,2.0347906801482276,2.0347906801482276,297.8088656611446,109282154.48981965,0.03802727401292375,0.3636126496724037,0.013827197863657745
Benin,2009.9613838600008,10872298.0,0.44395,789.4404106860001,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.0827798384974216,1.255298588167888,4.927497708912753,53573223.48561672,2.033432921868733e-06,22.108088689567584,0.0,0.4118602799999999,10049.806919300001,4.927497708912753,6.185480917198682,6.185480917198682,4.927497708912753,2.033432921868733e-06,0.0015758525854976623,4.999999999999999,0.0,0.0,30430.60054653445,3.3978527285143647,1.6000000000000003,0.3865642888838,3.393739601658168,3.176540267152044,12.467605254022564,135551519.66809902,0.006202907853920723,0.3952240713847544,0.0024515384964510175
Bhutan,8105.796967480003,797765.0,0.39377,2804.00022299,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.185575394278482,1.0,0.04401946714638781,1.1186265561403412,186.6748272946761,148922643.59673727,5.339831967922647e-06,4.259931049889812,0.0,1.2077738999999998,40528.984837400014,186.6748272946761,208.81941917473642,208.81941917473642,186.6748272946761,5.339831967922647e-06,0.006964772895356122,4.999999999999999,0.0,0.0,218396.32886125284,3.3890454946515645,2.4000000000000004,0.21869185443040007,3.395562306575224,3.069588325144003,265.15756393359607,211533423.99148527,0.03271209049491285,0.7040147168550147,0.02302979312751169
Bolivia,6707.956184139998,10887882.0,0.68911,3104.95608914,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.17033220380926195,1.3418117485225833,32.57682552576302,354692632.25909567,1.7035009368681354e-06,18.54751718750971,0.0,1.3671704,33539.78092069999,32.57682552576302,43.7119672200392,43.7119672200392,32.57682552576302,1.7035009368681354e-06,0.00550079563703349,4.999999999999999,0.0,0.0,79509.39228546237,3.390948727279091,2.4000000000000004,1.0631863770989998,2.2554168467144113,2.0388968294298278,63.680316949612994,693343776.6699862,0.009493251774687494,0.5115682064135989,0.004856445783409596
Bosnia and Herzegovina,11179.349909700002,3516816.0,0.3994,4708.71826066,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,1.0,0.14320037117137405,1.2493272822979196,67.61349005748797,237784203.65001464,1.3409566717854657e-06,4.715897878641873,0.0,0.4988408099999998,55896.74954850001,67.61349005748797,84.47137778019885,84.47137778019885,67.61349005748797,1.3409566717854657e-06,0.004276349324346421,4.999999999999999,0.0,0.0,172556.92384108494,3.3914468362000627,0.0,0.7738003599180001,2.4680943740000005,2.4680943740000005,107.85127185236189,379293078.4707359,0.009647365251425078,0.6269141651852228,0.0060480699328340805
Botswana,15513.441932799997,2250260.0,0.5771,6788.04274538,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.08310013344233881,1.2089389699717095,43.70713176827759,98352410.33288434,5.832448431251924e-07,1.3124525406908953,0.0,1.5309666,77567.20966399998,43.7071317682776,52.839254860359304,52.839254860359304,43.70713176827759,5.832448431251924e-07,0.0013842467713778188,4.999999999999999,0.0,0.0,275865.06946226506,3.397767288858293,3.2000000000000006,0.5609916282466001,3.266403415957444,2.8483037787148904,76.68081325833835,172551766.84270844,0.004942862685824251,0.5699878484729665,0.002817371667590273
Brazil,14023.691622699997,207652865.0,0.8593299999999999,8649.94849175,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.26557501018758395,1.0,0.21376261376200406,1.1941993145009573,25.985446189933526,5395952349.643031,3.8317615138345587e-07,79.56762563444835,0.0,0.7279238099999998,70118.45811349998,25.985446189933523,31.031802027020127,31.031802027020127,25.985446189933526,3.8317615138345587e-07,0.000799811064873921,4.999999999999999,0.0,0.0,264025.0604300951,3.398860386240473,0.8000000000000002,1.0357812971540001,3.3026515399850975,3.1969666907055743,43.29875730994336,8991111006.349432,0.003087543456806775,0.6001430018862478,0.0018529675986222606
Bulgaria,17709.07518600001,7127822.0,0.74266,7350.7958009,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.43909310688000003,1.2485207651457937,39.8240649953084,283858846.6029891,3.711953235833691e-07,2.645814193734657,0.0,0.8574375299999999,88545.37593000004,39.824064995308404,49.72117209915825,49.72117209915825,39.8240649953084,3.711953235833691e-07,0.0019316186443863437,4.999999999999999,0.0,0.0,274067.70719480107,3.3969266166275602,3.2000000000000006,2.3666891730000006,2.2413224551999997,1.9544331809344,59.52341538086992,424272309.666903,0.0033611814708385465,0.6690487220951262,0.0022487941677943463
Burkina Faso,1594.5767766299998,18646433.0,0.30688000000000004,649.7304836559999,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,1.0,0.037206591861851095,1.3265373735307222,3.6279550807731087,67648421.34064537,1.1942637684424737e-06,22.268759342590098,0.0,0.49080616,7972.88388315,3.6279550807731087,4.812618004136199,4.812618004136199,3.6279550807731087,1.1942637684424737e-06,0.001488812226481245,4.999999999999999,0.0,0.0,19653.857437376835,3.3976810031036933,2.4000000000000004,0.1810183963302,3.393739601658168,3.067940599898984,5.174183237410457,96480061.06609717,0.0032448630340306634,0.7011647856887274,0.002275183693845384
Burundi,721.1765615069997,10524117.0,0.12359,285.727442065,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,1.0,0.10226863014962301,1.3806800555012047,2.58670469551756,27222782.86007617,3.5817042997187206e-06,37.69427510964288,0.0,0.23330114999999998,3605.8828075349993,2.58670469551756,3.571411582572411,3.571411582572411,2.58670469551756,3.5817042997187206e-06,0.0038323584384267213,4.999999999999998,0.0,0.0,7788.431812141539,3.394113467914031,2.4000000000000004,0.5163359485036781,2.469788850858763,2.2326891211763216,4.719823195546764,49671971.52924803,0.006544615351452952,0.5480511850439994,0.003586784199020941
