country,gdp_pc_pp,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,9960.94072581355,2897366.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,20.0,0.1958497991597081,1.118347494599629,40.048766654845124,116035934.847682,5.163780218786634e-07,1.4961361237384954,0.0,0.4454007900000001,49804.70362906775,800.9753330969024,348.52976325075747,895.7687570050241,800.9753330969023,1.0327560437573268e-05,0.03915627606447947,5.0,0.0,547.2389937542666,268807.79028458265,3.3226423989628535,0.0,1.0249285482196189,2.1059999999999994,2.1059999999999994,34.92880545081199,101201533.33379734,0.003506576980253962,1.146582774244692,0.004020580762122162
Angola,7488.011759834088,21471618.0,0.4405,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,20.0,0.1256680312276769,1.351790414097182,5.40385567613299,116029524.80505925,3.113185476406196e-07,6.684512931254186,0.0,0.8968672100000002,37440.05879917044,108.0771135226598,53.96610977035992,146.09760604322437,108.07711352265979,6.226370952812393e-06,0.014943714595802716,5.0,0.0,92.13149627286448,86587.15251195725,3.3761938230389275,0.0,0.6470707249860601,3.1,3.1,13.725443907467628,294707488.4615723,0.0018329890961298041,0.39371081274776865,0.0007216676267950631
Argentina,18087.196261682242,41446246.0,0.91751,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,20.0,0.15106190614207007,1.1979538860660952,24.645602792814497,1021467716.1692767,2.117443450116176e-07,8.776008212460374,5.0156634814024805,0.24585111800000004,90435.98130841122,492.9120558562899,326.0236565097399,590.4859128018707,492.91205585628995,4.2348869002323515e-06,0.01939874164859781,5.0,100.3132696280496,364.7755259201805,335507.8615034258,3.3706633330618248,3.200000000000001,0.7953285832135136,2.2890156499999996,1.9960216467999998,35.04637094054137,1452540511.408929,0.0019376342487523715,0.7032283837498465,0.0013625994010484782
Armenia,7526.836419112871,2976566.0,0.62673,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,20.0,0.2696173557551283,1.289724411382942,20.70311872637763,61624199.29489896,4.28237809094495e-07,1.2746781024651646,2.506990120246575,0.051470236,37634.18209556436,414.0623745275526,277.34410685074846,534.0263522633711,414.0623745275526,8.5647561818899e-06,0.0863441369232471,5.0,50.139802404931515,306.8220478175541,102630.54602921395,3.261884408736717,1.6000000000000003,1.4931131340217918,1.25,1.1699999999999997,19.02734448958095,56636146.677974015,0.002527933839675973,1.0880718924132742,0.00275057375683179
Australia,42834.0167597384,23129300.0,0.8942299999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,20.0,0.22516027695600005,1.201782492156731,33.39642231186174,772435870.5777438,7.084691478018895e-08,1.6386395460254248,18.660486683553376,3.2620272,214170.08379869198,667.9284462372347,666.9920822755143,802.7047127013569,667.9284462372347,1.4169382956037793e-06,0.00985770876668503,5.0,373.2097336710675,508.92236409691014,782778.5536720931,3.385593136367783,4.0,1.4082027200000002,2.8543999999999996,2.397696,42.71300388278557,987921880.7061123,0.000997174841723773,0.7818795045066205,0.0007796705711534512
Austria,44056.254416802,8479823.0,0.65968,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,20.0,0.473076769832,1.1627453167024924,46.653179379291686,395610703.5236434,9.757089750163631e-08,0.8273839407650183,20.923303367803374,2.7096414,220281.27208400998,933.0635875858338,875.6447032951666,1084.9153166510541,933.0635875858338,1.9514179500327266e-06,0.021605791912394024,5.0,418.4660673560675,627.736680711955,948349.7388571533,3.369820991594088,4.0,2.4207879200000004,1.5280000000000002,1.28352,61.371544361812035,520419833.424814,0.0013930268284088716,0.7601760696170661,0.001058945659290983
Azerbaijan,16593.188760048204,9416801.0,0.5462,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,20.0,0.428208034056247,1.5084382783151649,13.087481232445818,123242206.35717702,8.926457678288327e-08,0.8405867559136321,0.0,0.09986593600000003,82965.943800241,261.7496246489163,190.490542144477,394.833153155052,261.7496246489164,1.7852915356576658e-06,0.039641810976087655,5.0,0.0,204.3426110105751,138687.71662300028,3.3243674728862995,0.0,2.4182056197257937,1.25,1.25,12.982784264065176,122256295.84063321,0.000782416475326558,1.0080642923929986,0.0007887261105566908
Bangladesh,2853.447740155661,156594962.0,0.34277,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,20.0,0.0734057697595131,1.2169977389506987,27.866086808257457,4363688804.827776,3.2029996112880353e-06,501.5736024156645,6.5597879058039315,0.8749021000000001,14267.238700778307,557.3217361651491,426.2851290940357,678.2592927810642,557.321736165149,6.405999222576068e-05,0.15128608646578656,5.0,131.19575811607862,383.1699218031071,49246.80714085134,3.191252838223716,3.2000000000000006,0.36576154020410284,2.362140790448914,2.0597867692714527,33.2186389155077,5201871498.665649,0.01164157956987695,0.8388690120367495,0.009765760352329884
Belarus,17054.558334452504,9466000.0,0.76667,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.3864445367538237,20.0,0.33536386098589716,1.308380406754342,27.886649465654134,263975023.84188202,2.3294389090806736e-07,2.2050468713357656,7.1129071412024105,0.38548716000000005,85272.79167226254,557.7329893130826,496.5236842193999,729.7269154177663,557.7329893130826,4.658877818161346e-06,0.046595227433576886,5.0,142.25814282404815,375.46137402241453,220659.84523565348,3.332414061952829,3.200000000000001,1.7709772480880686,1.8799999999999994,1.6393600000000004,35.304930852828726,334196475.4528767,0.0020701169834171553,0.7898797361167974,0.0016351434565924433
Belgium,40608.97200934282,11182817.0,0.9785799999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,20.0,0.46519935741750007,1.1480208379739567,13.203177015376646,147648712.38156322,1.6647241684585545e-08,0.18616305731349186,0.0,2.1077302,203044.86004671405,264.0635403075329,109.3056679445755,303.1504468222236,264.0635403075329,3.329448336917109e-07,0.005063862048129992,5.0,0.0,193.84477887764808,937022.6506688666,3.3898962728657653,0.0,2.472036530000001,1.5400000000000005,1.5400000000000005,9.27303790320916,103698685.90565175,0.00022834948644047753,1.423824333857987,0.00032512955541792634
Benin,1733.3093993643502,10323474.0,0.4395,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,20.0,0.08292798928509816,1.255298588167888,2.6845078565456943,27713447.059845205,8.395883412434204e-07,8.667468411529578,0.30694608629413783,0.44121735,8666.546996821753,53.69015713091388,34.87937683664061,67.39717844494827,53.69015713091389,1.6791766824868403e-05,0.019106904420114094,5.0,6.138921725882757,38.65672333419041,26242.11906714123,3.3742327382748654,1.6000000000000005,0.38949999588377865,3.3937396016581687,3.1765402671520446,4.122423999442316,42557736.975218765,0.0023783543785974486,0.6511964458068497,0.001548775918211817
