country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,109.29888932387213,314354644.88327795,1.9347731737633563e-06,5.5646030598339635,0.0,0.086087198,56795.852,109.29888932387213,122.23413903787454,122.23413903787454,109.29888932387213,1.9347731737633563e-06,0.004684841967579156,1.0,0.0,65.57923726924358,0.0,306540.6750967944,3.390569588824206,0.0,0.19179090180000002,2.1059999999999994,2.1059999999999994,159.38254516932656,458400297.54404527,0.014031178295320454,0.6857644869941936,0.009622083785614494
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878927,1.216243465076183,57.81974373705297,2347831520.813447,9.229099689806525e-07,37.47573019174677,30.323205730159295,0.15218446000000002,69605.90009999998,57.81974373705295,70.32288547257022,70.32288547257022,57.81974373705297,9.229099689806525e-07,0.008855015927648233,0.9999999999999998,30.323205730159295,77.03533419021299,30.3232057301593,240925.5186881921,3.387029213793623,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,103.14969580339454,4188501911.5768204,0.007409551177070013,0.5605420673974512,0.0041533651352820425
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.12735853573367692,1.351790414097182,8.786108876009777,253158223.01287937,9.002138736009327e-07,25.938279139087154,0.0,0.18571632000000005,29923.20211,8.786108876009777,11.876977755804184,11.876977755804184,8.786108876009777,9.002138736009327e-07,0.0015207822274710043,0.9999999999999998,0.0,3.059244544933867,0.0,69203.01270472628,3.397561979191923,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,28.358009762549656,817092465.0468633,0.004738465097803274,0.3098281208582186,0.0014681097370046433
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1.0,0.13901490701349917,1.3216681498414258,2072.1159773448508,209207045.42066818,2.332264319787548e-05,2.3547240251871013,27.857744830781044,0.15300000000000002,84052.07052000005,2072.1159773448503,2738.6496900342268,2738.6496900342268,2072.1159773448508,2.332264319787548e-05,0.1650964983948586,0.9999999999999997,27.857744830781044,100.28788139081175,27.857744830781044,209862.2652881692,2.5286288530776004,1.2000000000000002,0.16390495997237436,0.9439571109442396,0.8871606459462303,4834.791586432545,488135062.940989,0.23008554371219755,0.428584343358181,0.09861106166810224
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.1979538860660952,80.21683341862222,3517301988.1446986,7.538502244243065e-07,33.05439494592907,7.549502953609929,0.050750804000000004,92447.17444999999,80.21683341862222,96.0960673217551,96.0960673217551,80.21683341862222,7.538502244243065e-07,0.0030324152141462564,0.9999999999999998,7.549502953609929,25.73694188730658,7.549502953609929,342969.17391738243,3.3953720234242892,3.2000000000000006,0.1616266216,2.289462949999999,1.9964116923999993,128.94187579986598,5653769873.203318,0.0069738137788951104,0.6221162281145097,0.004338522723699221
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091001,1.289724411382942,57.629091043419734,168554487.54925072,1.5973653926376316e-06,4.671999858232827,1.588206187952983,0.020931459799999996,40951.19644499999,57.62909104341973,74.3256455245085,74.3256455245085,57.629091043419734,1.5973653926376316e-06,0.011016746984863712,0.9999999999999998,1.5882061879529827,9.3423893408999,1.5882061879529832,111676.23202299676,3.3812983202529328,1.6000000000000003,0.40256331958,1.2499999999999998,1.1699999999999997,80.56323631846536,235632642.59602857,0.009836493596306372,0.7153274083430902,0.00703631347142924
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058000006,1.201782492156731,88.39363947772338,2132687394.2677088,1.803674580651632e-07,4.351754339164025,12.403176861782208,0.65936592,221302.87985000003,88.39363947772337,106.229928342342,106.229928342342,88.39363947772338,1.803674580651632e-07,0.0012700219247559535,0.9999999999999998,12.403176861782208,16.91342299333937,12.403176861782208,808848.4868656058,3.3981335085652433,3.9999999999999996,0.2823365920000001,2.854399999999999,2.397696,114.32833454356546,2758417905.7377963,0.002583073808643106,0.7731560144789872,0.001997119050995562
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.4837075332999999,1.1627453167024924,97.81411965078274,855615122.0402317,1.8794312862367205e-07,1.6440058297113067,39.172330711618706,0.64525414,222193.62409999996,97.81411965078276,113.73290953132488,113.73290953132488,97.81411965078274,1.8794312862367205e-07,0.0021940994067728434,0.9999999999999998,39.172330711618706,56.021296816612164,39.172330711618706,956582.7516675899,3.396836743359511,3.9999999999999996,0.4944901699999999,1.528,1.2835199999999998,119.80475640996669,1047975094.4207734,0.0026959539657188288,0.8164460458987711,0.0022011009552362487
Azerbaijan,16001.323400000005,15994.00974,9762274,0.084,0.54895,3876.936433,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.5084382783151649,41.326689345628544,403442464.9049066,4.857986095727683e-07,4.742499135468388,0.0,0.0571493,80006.617,41.326689345628544,62.33876012498559,62.33876012498559,41.326689345628544,4.857986095727683e-07,0.006481208391686572,0.9999999999999998,0.0,4.346685440492808,0.0,133740.8401352831,3.3870845733818724,0.0,0.4859833592,1.2499999999999998,1.2499999999999998,66.90649654584173,653159551.6605606,0.004181310187496224,0.6176782745949506,0.0025827044621589573
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559800003,1.2169977389506987,74.12561736339845,12078884985.328869,8.164149541378028e-06,1330.3609038408345,18.24822505244576,0.08737927799999998,16596.767780000002,74.12561736339848,90.21070872958059,90.21070872958057,74.12561736339845,8.164149541378028e-06,0.01733380638164797,1.0,18.248225052445765,44.02610819975942,18.24822505244576,57287.737253500105,3.3746015744722,3.2000000000000006,0.13804606460000002,2.3566042902633697,2.0549589411096583,106.23383317879572,17310968841.264523,0.03200437416097765,0.6977590391437926,0.022331341362962186
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3864445367538237,1.0,0.43562942058399995,1.308380406754342,57.92540330053327,550703760.226566,5.561671623640886e-07,5.287547952654875,9.963587883078997,0.172373852,83760.49385,57.925403300533254,75.78846273176103,75.78846273176103,57.92540330053327,5.561671623640886e-07,0.005088617633931036,0.9999999999999998,9.963587883078997,24.517372781329044,9.963587883078999,216746.48205301925,3.3924060982916426,3.2000000000000006,0.4684550397999999,1.8799999999999992,1.6393599999999995,82.04239191544761,779986865.0271903,0.0048974396009633615,0.7060423513764791,0.0034577997715884573
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.48314774690999995,1.1480208379739567,24.83821284837799,281867988.6792363,5.4449635886968335e-08,0.617903125537423,0.0,0.5792287,210472.89525000003,24.838212848377992,28.5147859279704,28.5147859279704,24.83821284837799,5.4449635886968335e-08,0.00045875789873802883,1.0,0.0,8.538882194239214,0.0,971301.9583737914,3.3990767471997887,0.0,0.5101755720000001,1.5400000000000003,1.5400000000000003,32.01297126514488,363288287.9792952,0.0007605010428330881,0.7758796471173348,0.0005900572807457015
Belize,7846.015831999998,7831.454486,366954,0.0321,0.43845,4810.565902,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.9615481265045698,1.0,0.15088172973340003,1.8516600728709784,108.48841334840665,39810257.23185121,6.275328243290567e-06,2.3027568001884466,0.0,0.2545334,39230.07916,108.48841334840664,200.88366336636747,200.88366336636747,108.48841334840665,6.275328243290567e-06,0.04909535293183244,1.0,0.0,15.882915153999482,0.0,40798.87223389389,3.3185050108569087,0.0,0.19982794680000004,1.542047829611466,1.542047829611466,296.74050754001416,108890116.20383836,0.03782053387271501,0.3656002823739104,0.01382719786339665
Benin,2009.961384,2009.961384,10872298,0.032,0.44395,789.4404107,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.08277983833600004,1.255298588167888,4.927497709275109,53573223.48955635,1.905447446596377e-06,20.716592462734894,0.1356241247618032,0.08237205599999999,10049.806919999999,4.927497709275108,6.185480917653546,6.185480917653547,4.927497709275109,1.905447446596377e-06,0.0015758525854976618,0.9999999999999998,0.1356241247618032,0.8137447485708191,0.1356241247618032,30430.60054865402,3.3978527285143647,1.6000000000000003,0.07731285760000003,3.393739601658168,3.176540267152044,11.68296630515916,127020691.19364934,0.0058125327173744155,0.42176768986307367,0.002451538496460541
Bhutan,8253.293783000005,8105.796967,797765,0.067,0.39377,2804.000223,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.185575394278482,1.0,0.04401946709800002,1.1186265561403412,190.07164844284804,151632508.62000868,5.041162922739052e-06,4.02166333905892,12.55345028333257,0.24155477999999997,41266.46891500001,190.07164844284804,212.61919351754074,212.61919351754077,190.07164844284804,5.041162922739052e-06,0.006964772895356122,0.9999999999999998,12.55345028333257,51.77474087416457,12.55345028333257,222370.36906452087,3.3890454946515645,2.4000000000000004,0.043738370800000016,3.395562306575224,3.069588325144003,257.18923206300263,205176567.7167413,0.031162011049789197,0.7390342391795274,0.023029793127484984
Bolivia,6707.9561840000015,6707.9561840000015,10887882,0.039,0.68911,3104.956089,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.17059334626300007,1.3418117485225833,32.57111182016181,354630422.106727,1.6041228848225037e-06,17.46550068344701,1.4845383805656591,0.27343408,33539.780920000005,32.57111182016181,43.704300502735904,43.704300502735904,32.57111182016181,1.6041228848225037e-06,0.005496527315875776,0.9999999999999998,1.4845383805656591,6.185576585690246,1.484538380565659,79509.39228380298,3.3909556559548024,2.4000000000000004,0.21263727540000002,2.2554168467144113,2.0388968294298278,59.9653639870771,652895807.178345,0.008939438830877892,0.5431654150749604,0.004855594003111009
