country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.1183474946,108.85230424,313070221.076,1.77415771492e-06,5.10265677804,0.0,0.086087198,57123.1415934,108.85230424,121.734701728,121.734701728,108.85230424,1.77415771492e-06,0.0044676867198,1.0,0.0,50.1303162566,0.0,308307.134608,3.39099980367,0.0,0.191790901534,2.07582542557,2.07582542557,147.405147566,423952092.319,0.0129024020261,0.738456600989,0.00952786394475
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.21624346508,58.5349135151,2376871742.01,9.29500428999e-07,37.743342754,30.7088168639,0.15218446,69873.3311234,58.5349135151,71.1927060416,71.1927060416,58.5349135151,9.29500428999e-07,0.00886564477349,1.0,30.7088168639,77.9672428813,30.7088168639,241851.172375,3.38701467529,0.0,0.15626269646,0.941100649217,0.941100649217,104.482660319,4242628338.01,0.00747657644477,0.560235672947,0.00418864483588
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.3517904141,7.7672575815,223801588.936,4.9717708799e-07,14.3253936292,0.0,0.18571632,30123.6306908,7.7672575815,10.4997043425,10.4997043425,7.7672575815,4.9717708799e-07,0.00135713673424,1.0,0.0,1.17258230505,0.0,69666.5413596,3.39782268509,0.0,0.130048432798,3.08611279353,3.08611279353,15.8194612704,455813461.994,0.00262575607714,0.490993811278,0.0012892299838
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.32166814984,1454.79851248,146880822.216,1.65283140139e-05,1.66874816778,18.4247000882,0.153,83110.4523321,1454.79851248,1922.76085839,1922.76085839,1454.79851248,1.65283140139e-05,0.0557421055739,1.0,18.4247000882,66.3289203173,18.4247000882,207511.221171,2.64974680723,0.0,0.163904959972,2.13684399643,2.13684399643,3368.18592009,340062155.05,0.162106489645,0.431923458799,0.0700175957011
Argentina,10405.0,43847430.0,0.91893,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.19795388607,47.484495057,2082073073.1,1.07726633707e-06,47.2353603059,4.03026519378,0.050750804,52024.9999999,47.484495057,56.8842353814,56.8842353814,47.484495057,1.07726633707e-06,0.00303831805133,1.0,4.03026519378,14.6555097956,4.03026519378,193007.21065,3.39536372916,0.0,0.161626621754,2.26670614261,2.26670614261,77.7994912475,3411307746.51,0.00747712554038,0.610344544618,0.004563622783
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.28972441138,57.636729616,168576828.969,1.59504507532e-06,4.66521335703,1.65130240436,0.0209314598,40871.8336587,57.636729616,74.3354971781,74.3354971781,57.636729616,1.59504507532e-06,0.0110167469849,1.0,1.65130240436,9.71354355507,1.65130240436,111459.80521,3.38129832025,0.0,0.402563319538,1.22358647273,1.22358647273,80.2081778346,234594161.861,0.00981215798934,0.718589190929,0.00705091067082
Australia,44414.029479,24127159.0,0.89554,49927.8195095,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.20178249216,112.886953846,2723641484.48,2.25707930645e-07,5.44569113023,5.92480742933,0.65936592,222070.147395,112.886953846,135.665564726,135.665564726,112.886953846,2.25707930645e-07,0.00113865080466,1.0,5.92480742933,8.07928285817,5.92480742933,811652.802803,3.3983264356,0.0,0.282336592,2.83843075858,2.83843075858,143.674650508,3466461137.09,0.00323489339278,0.785712395659,0.00254169583734
Austria,44143.7001647,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.1627453167,109.413031036,957074952.336,2.025673487e-07,1.77192911819,20.6182387838,0.64525414,220718.500823,109.413031036,127.219489423,127.219489423,109.413031036,2.025673487e-07,0.00190179793424,1.0,20.6182387838,28.9601112034,20.6182387838,950232.085718,3.39724770935,0.0,0.49449017,1.52092969782,1.52092969782,127.860159232,1118438586.74,0.00289645314632,0.855724188778,0.00247856501897
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.50843827831,40.7972271976,398273710.343,4.79857100243e-07,4.68449649342,0.0,0.0571493,79970.048708,40.7972271976,61.540099154,61.540099154,40.7972271976,4.79857100243e-07,0.00648120839168,1.0,0.0,4.29099731873,0.0,133679.711765,3.38708457338,0.0,0.485983358847,1.2345497362,1.2345497362,66.0377160533,644678278.447,0.0041289030781,0.617786768468,0.00255078168994
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.21699773895,81.9739328169,13357780231.9,7.64572961333e-06,1245.88356783,8.63767276526,0.087379278,16596.7677804,81.9739328169,99.7620908911,99.7620908911,81.9739328169,7.64572961333e-06,0.0154348257708,1.0,8.63767276526,19.2842763763,8.63767276526,57287.7372547,3.37725451234,0.0,0.138046064324,2.21296557119,2.21296557119,99.4880311974,16211729884.9,0.0299721103874,0.823957734718,0.0246957521795
