country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.19006396095,110.434601053,317621066.524,1.92922495475e-06,5.54864582159,0.0,0.086087198,57123.1415934,110.434601053,131.424238756,131.424238756,110.434601053,1.92922495475e-06,0.0044676867198,1.0,0.0,50.8590196151,0.0,308307.134608,3.39099980367,0.0,0.191790901534,2.106,2.106,160.288843969,461006904.428,0.0140301145471,0.688972471937,0.00966636270108
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.34728313972,59.1128451412,2400339263.67,1.05442013782e-06,42.8158389463,30.9999407472,0.15218446,69873.3311234,59.1128451412,79.6417395998,79.6417395998,59.1128451412,1.05442013782e-06,0.00886564477349,1.0,30.9999407472,78.7370353479,30.9999407472,241851.172375,3.38701467529,0.0,0.15626269646,0.9503924,0.9503924,118.524551099,4812814085.22,0.00848138690354,0.498739245101,0.00423000050168
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.56496911705,7.80220948281,224808674.251,5.83863178893e-07,16.8231201021,0.0,0.18571632,30123.6306908,7.80220948281,12.2102168854,12.2102168854,7.80220948281,5.83863178893e-07,0.00135713673424,1.0,0.0,1.17785881102,0.0,69666.5413596,3.39782268509,0.0,0.130048432798,3.1,3.1,18.5776882499,535287533.015,0.00308357389596,0.419977414727,0.00129503139294
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,5,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.51659329907,2203.63886333,222485990.559,3.05435177268e-05,3.08376518025,27.8731183563,0.153,83110.4523321,2203.63886333,3342.0239337,3342.0239337,2203.63886333,3.05435177268e-05,0.0557421055739,1.0,27.8731183563,100.470948602,27.8731183563,207511.221171,2.64974680723,0.0,0.163904959972,3.23675920412,3.23675920412,6224.24321507,628418267.723,0.299564882174,0.354041252436,0.106058326071
Argentina,10405.0,43847430.0,0.91893,12449.2168521,5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.31791040274,47.9612200667,2102976239.59,1.21575434743e-06,53.3077036461,4.07072741648,0.050750804,52024.9999999,47.9612200667,63.2085908543,63.2085908543,47.9612200667,1.21575434743e-06,0.00303831805133,1.0,4.07072741648,14.8026451508,4.07072741648,193007.21065,3.39536372916,0.0,0.161626621754,2.28946295,2.28946295,87.8010074736,3849848529.13,0.00843834766686,0.546249085823,0.00460943969888
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,5,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.46529222608,58.8809321008,172215892.303,1.85792607943e-06,5.43409192394,1.6869490236,0.0209314598,40871.8336587,58.8809321008,86.2777720713,86.2777720713,58.8809321008,1.85792607943e-06,0.0110167469849,1.0,1.6869490236,9.92322955058,1.6869490236,111459.80521,3.38129832025,0.0,0.402563319538,1.25,1.25,93.4273693503,273257864.714,0.0114293097455,0.630232152636,0.00720311848405
Australia,44414.029479,24127159.0,0.89554,49927.8195095,5,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.32405907569,113.522064995,2738964912.14,2.52696249172e-07,6.09684258248,5.95814087595,0.65936592,222070.147395,113.522064995,150.309920448,150.309920448,113.522064995,2.52696249172e-07,0.00113865080466,1.0,5.95814087595,8.12473755811,5.95814087595,811652.802803,3.3983264356,0.0,0.282336592,2.8544,2.8544,160.854096623,3880952365.03,0.00362169563334,0.705745563079,0.00255599562405
Austria,44143.7001647,8747358.0,0.66032,44176.515216,5,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.26136606967,109.921656249,961524079.163,2.2231220234e-07,1.94464442163,20.712561377,0.64525414,220718.500823,109.921656249,138.651447515,138.651447515,109.921656249,2.2231220234e-07,0.00190179793424,1.0,20.712561377,29.0947372402,20.712561377,950232.085718,3.39724770935,0.0,0.49449017,1.528,1.528,140.323076611,1227456186.77,0.00317877921622,0.783346965475,0.00249008705294
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,5,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.81654278702,41.3078003271,403258065.13,5.86101746658e-07,5.72168584275,0.0,0.0571493,79970.048708,41.3078003271,75.0373867318,75.0373867318,41.3078003271,5.86101746658e-07,0.00648120839168,1.0,0.0,4.3446987117,0.0,133679.711765,3.38708457338,0.0,0.485983358847,1.25,1.25,80.6590560076,787415805.328,0.00504307908465,0.512128487137,0.00258270446213
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,5,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.34849449008,87.2946801708,14224804313.5,9.15025440796e-06,1491.04823017,9.17507421816,0.087379278,16596.7677804,87.2946801708,117.716395224,117.716395224,87.2946801708,9.15025440796e-06,0.0154348257708,1.0,9.17507421816,20.5359762639,9.17507421816,57287.7372547,3.37725451234,0.0,0.138046064324,2.35660429026,2.35660429026,119.065261531,19401870108.2,0.0358700149048,0.73316666044,0.0262986990377
