country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.1183474946,132.521521264,381145279.829,2.20336452453e-06,6.33709891238,0.0,0.086087198,57123.1415934,132.521521264,148.205111286,148.205111286,132.521521264,2.20336452453e-06,0.0044676867198,1.0,0.0,61.0308235381,0.0,308307.134608,3.39099980367,0.0,0.191790901534,2.5272,2.5272,183.065614826,526515197.867,0.0160237698523,0.723901762708,0.0115996352413
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.21624346508,70.9354141694,2880407116.41,1.13503325793e-06,46.0892194932,36.9553722376,0.15218446,69873.3311234,70.9354141694,86.274733926,86.274733926,70.9354141694,1.13503325793e-06,0.00886564477349,1.0,36.9553722376,94.4844424175,36.9553722376,241851.172375,3.38701467529,0.0,0.15626269646,1.14047088,1.14047088,127.586056595,5180766048.55,0.00912981065474,0.555980928189,0.00507600060201
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.3517904141,9.36265137937,269770409.101,6.06762769361e-07,17.4829366048,0.0,0.18571632,30123.6306908,9.36265137937,12.6563423852,12.6563423852,9.36265137937,6.06762769361e-07,0.00135713673424,1.0,0.0,1.41343057322,0.0,69666.5413596,3.39782268509,0.0,0.130048432798,3.72,3.72,19.3063203476,556281947.001,0.0032045141812,0.48495265855,0.00155403767153
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.32166814984,2644.366636,266983188.67,3.17283266029e-05,3.20338703881,33.0066232548,0.153,83110.4523321,2644.366636,3494.9751593,3494.9751593,2644.366636,3.17283266029e-05,0.0557421055739,1.0,33.0066232548,120.565138323,33.0066232548,207511.221171,2.64974680723,0.0,0.163904959972,3.88411104494,3.88411104494,6465.68687176,652795143.633,0.311185257225,0.408984642846,0.127269991285
Argentina,10405.0,43847430.0,0.91893,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.19795388607,57.5534640801,2523571487.51,1.32514275899e-06,58.1041043649,4.88487289978,0.050750804,52024.9999999,57.5534640801,68.9463959513,68.9463959513,57.5534640801,1.32514275899e-06,0.00303831805133,1.0,4.88487289978,17.763174181,4.88487289978,193007.21065,3.39536372916,0.0,0.161626621754,2.74735554,2.74735554,95.7009691406,4196241545.33,0.00919759434318,0.601388518809,0.00553132763865
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.28972441138,70.6571185209,206659070.764,1.96159809583e-06,5.73731349626,2.02433882832,0.0209314598,40871.8336587,70.6571185209,91.1282105944,91.1282105944,70.6571185209,1.96159809583e-06,0.0110167469849,1.0,2.02433882832,11.9078754607,2.02433882832,111459.80521,3.38129832025,0.0,0.402563319538,1.5,1.5,98.6406035444,288505615.496,0.012067063637,0.716308659741,0.00864374218086
Australia,44414.029479,24127159.0,0.89554,49927.8195095,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.20178249216,136.226477994,3286757894.57,2.7628718774e-07,6.66602490827,7.14976905114,0.65936592,222070.147395,136.226477994,163.714596221,163.714596221,136.226477994,2.7628718774e-07,0.00113865080466,1.0,7.14976905114,9.74968506973,7.14976905114,811652.802803,3.3983264356,0.0,0.282336592,3.42528,3.42528,175.870936502,4243266048.47,0.0039598059119,0.774582092433,0.00306719474886
Austria,44143.7001647,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.1627453167,131.905987499,1153828895.0,2.44844721111e-07,2.14174442997,24.7747901903,0.64525414,220718.500823,131.905987499,153.373069209,153.373069209,131.905987499,2.44844721111e-07,0.00190179793424,1.0,24.7747901903,34.9136846882,24.7747901903,950232.085718,3.39724770935,0.0,0.49449017,1.8336,1.8336,154.545563386,1351865370.25,0.0035009653203,0.85350872978,0.00298810446353
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.50843827831,49.5693603925,483909678.156,5.84011726121e-07,5.70128248961,0.0,0.0571493,79970.048708,49.5693603925,74.7723206476,74.7723206476,49.5693603925,5.84011726121e-07,0.00648120839168,1.0,0.0,5.21363845404,0.0,133679.711765,3.38708457338,0.0,0.485983358847,1.5,1.5,80.3714283313,784607905.141,0.00502509562203,0.616753508326,0.00309924535456
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.21699773895,104.753616205,17069765176.2,9.9359363731e-06,1619.07633206,10.9348734255,0.087379278,16596.7677804,104.753616205,127.484914068,127.484914068,104.753616205,9.9359363731e-06,0.0154348257708,1.0,10.9348734255,24.6431715167,10.9348734255,57287.7372547,3.37725451234,0.0,0.138046064324,2.82792514832,2.82792514832,129.28873997,21067801868.6,0.038949975586,0.810230003238,0.0315584388452
