country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.118347494599629,103.40865720599638,297413742.3988234,1.830879576499189e-06,5.265794580848894,0.0,0.034641488475199995,22854.650844799995,103.40865720599639,115.64681270623794,115.64681270623794,103.40865720599638,1.830879576499189e-06,0.004432543009474145,0.4024000000000001,0.0,62.04751232508261,0.0,123351.9676589501,1.359240770574371,0.0,0.07717665888432003,0.8474543999999999,0.8474543999999999,150.8240091180172,433785083.4483383,0.013277731014407282,0.6856246416648486,0.00910353956887524
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878927,1.216243465076183,49.96781851598931,2028995836.9868243,7.979655055061181e-07,32.402228810787726,26.134209294768226,0.061239026704,28009.414200239993,49.96781851598931,60.77303273418468,60.773032734184696,49.96781851598931,7.979655055061181e-07,0.007667276355361779,0.4023999999999999,26.134209294768226,66.56284310173531,26.134209294768226,96948.42872012852,1.3569343954790383,0.6072,0.06288010905537492,0.3824379017599999,0.3593547711488,89.18518806928559,3621458384.37119,0.006406438817769529,0.5602703722188783,0.0035893378610292047
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.12735853573367692,1.351790414097182,8.46196036908433,243818382.0020777,8.344200514298563e-07,24.042531278332262,0.0,0.07473224716800002,12041.096529064003,8.461960369084327,11.438796911398446,11.438796911398446,8.46196036908433,8.344200514298563e-07,0.001428624668354779,0.4023999999999999,0.0,2.873858034684089,0.0,27847.292312381855,1.3658353431710735,0.0,0.05233148935759813,1.2474399999999999,1.2474399999999999,26.285411343265633,757373727.1789646,0.004392145474043593,0.3219261155390783,0.0014139463313413974
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1.0,0.13901490701349917,1.3216681498414258,790.2627447626006,79787297.49946645,8.940793779229554e-06,0.9026893623323533,10.563357892217056,0.153,84052.07052000005,790.2627447626007,1044.4650997589933,1044.4650997589933,790.2627447626006,8.940793779229554e-06,0.05465083408879802,0.9999999999999998,10.563357892217057,38.0280884119814,10.563357892217056,209862.2652881692,2.658414372213486,1.2000000000000002,0.16390495997237436,0.9439571109442395,0.8871606459462303,1853.4294836609743,187127800.95886293,0.08820387039579014,0.4263786411779958,0.037608246405997046
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.1541967379,1.1979538860660952,77.29652154834835,3389253817.834697,7.262552662790068e-07,31.844426950300114,7.27416565382567,0.020422123529600007,37200.74299867999,77.29652154834835,92.59766836823557,92.59766836823556,77.29652154834835,7.262552662790068e-07,0.0029238001279775733,0.4023999999999999,7.274165653825671,24.798292001678426,7.27416565382567,138010.79558435467,1.3636974374995403,0.8096000000000001,0.06503855253184002,0.9212798910799997,0.8471379229071998,124.22191213786537,5446811596.931202,0.0067185348214753035,0.6222454655388193,0.004180577827727669
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3524222720091001,1.289724411382942,50.13285820950838,146629385.81690145,1.389693155470153e-06,4.064596776209591,1.381622505371275,0.008422819423519998,16478.761449467995,50.13285820950836,64.65757104520267,64.65757104520267,50.13285820950838,1.389693155470153e-06,0.009598796525789936,0.4023999999999999,1.381622505371275,8.127191208066323,1.3816225053712747,44938.51576605391,1.3519199992398554,0.4048,0.16199147979899203,0.5029999999999999,0.4827599999999998,70.08927237958127,204998225.2841574,0.008557658684492347,0.7152714888807051,0.006121049268589738
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058000006,1.201782492156731,86.98916553869276,2098801428.2293606,1.7748388596861869e-07,4.282181936702733,12.202414773424994,0.6593659200000002,221302.87985000006,86.98916553869275,104.5420561517246,104.5420561517246,86.98916553869276,1.7748388596861869e-07,0.0012493967404791808,0.9999999999999998,12.202414773424994,16.639656509215897,12.202414773424993,808848.4868656058,3.3981633785438237,4.0,0.28233659200000016,2.854399999999999,2.397696,112.50054366115957,2714318504.499239,0.0025417776699836183,0.7732332903269824,0.001965387111041084
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.4837075332999999,1.1627453167024924,95.77496009573467,837777863.3931053,1.8403737229107392e-07,1.6098407808093038,38.33706104168684,0.25965026593599994,89410.71433783996,95.77496009573468,111.36188630868358,111.36188630868358,95.77496009573467,1.8403737229107392e-07,0.0021485720374138746,0.4023999999999999,38.33706104168684,54.85035802698806,38.337061041686844,384928.89927103824,1.3650637055143084,1.0119999999999998,0.19898284440799993,0.6148671999999998,0.5530137599999998,117.31502353465332,1026196509.636038,0.0026399277659257857,0.8163912618356506,0.0021552139599791222
Azerbaijan,16001.323400000005,15994.00974,9762274,0.084,0.54895,3876.936433,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.5084382783151649,36.819168398167854,359438810.35505575,4.328371441197916e-07,4.225474798274894,0.0,0.02299687832,32194.662680800004,36.81916839816786,55.539442987528446,55.539442987528446,36.819168398167854,4.328371441197916e-07,0.0057752326329642304,0.4023999999999999,0.0,3.873215931980256,0.0,53817.314070437904,1.3566647868817672,0.0,0.19555970374208,0.5029999999999999,0.5029999999999999,59.612391466972575,581952499.2958483,0.0037254663240524565,0.61764286739892,0.0023010077027858736
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14815265559800003,1.2169977389506987,58.163582430074534,9477846492.169239,6.405184474001142e-06,1043.7348021262655,14.388285103019712,0.08737927799999998,16596.767780000002,58.16358243007454,70.7849483066733,70.7849483066733,58.163582430074534,6.405184474001142e-06,0.01357502744459443,1.0,14.388285103019717,34.54719501396828,14.38828510301971,57287.737253500105,3.380081932383769,3.2000000000000006,0.13804606460000002,2.3566042902633697,2.0549589411096583,83.34576619913273,13581322621.54395,0.02510903547724782,0.6978588725323851,0.01752256318852782
