country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,1,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.183943312911,1.0409983515622998,103.40865720599638,297413742.3988234,1.6919920610231625e-06,4.866340058700779,0.0,0.034641488475199995,22854.650844799995,103.40865720599639,107.64824168871317,107.64824168871317,103.40865720599638,1.6919920610231625e-06,0.004432543009474145,0.4024000000000001,0.0,62.04751232508261,0.0,123351.9676589501,1.359240770574371,0.0,0.07717665888432003,0.8474543999999999,0.8474543999999999,139.38274767766146,400878859.9784698,0.012270504162668555,0.7419042810458919,0.009103539568875238
Algeria,13921.18002,13974.66622,40606052,0.094,0.71304,3843.752322,1,0.2,1.5,0.06,0.8,0.05,0.8,1,0.2889104503291931,1.0,0.14544458210878927,1.0749118148570513,49.96781851598931,2028995836.9868243,6.221762549674169e-07,25.264121362372194,52.26841858953645,0.061239026704,28009.414200239993,49.96781851598931,53.71099848546983,53.71099848546984,49.96781851598931,6.221762549674169e-07,0.007667276355361779,0.4023999999999999,52.26841858953645,66.56284310173531,52.26841858953645,96948.42872012852,1.3569343954790383,0.6072,0.06288010905537492,0.3824379017599999,0.3593547711488,69.53797617644942,2823662676.5956664,0.004995120821406447,0.7185687772850661,0.0035893378610292056
Angola,5984.6404219999995,6024.726138,28813463,0.054000000000000006,0.44819,3110.808183,1,0.2,1.5,0.06,0.8,0.05,0.0,1,0.43239739052511456,1.0,0.12735853573367692,1.1218684613662162,8.46196036908433,243818382.0020777,6.827019356016893e-07,19.671006961487656,0.0,0.07473224716800002,12041.096529064003,8.461960369084327,9.493206459406535,9.493206459406535,8.46196036908433,6.827019356016893e-07,0.001428624668354779,0.4023999999999999,0.0,2.873858034684089,0.0,27847.292312381855,1.3658353431710735,0.0,0.05233148935759813,1.2474399999999999,1.2474399999999999,21.506076191941276,619664530.6316808,0.0035935452550972455,0.3934683525512285,0.0014139463313413972
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.0103,0.23393000000000005,14353.37881,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.4005106416086056,1.0,0.13901490701349917,1.1114334015959364,790.2627447626006,79787297.49946645,6.094509963572972e-06,0.615320009452218,25.352058941320934,0.153,84052.07052000005,790.2627447626007,878.3244105660385,878.3244105660385,790.2627447626006,6.094509963572972e-06,0.05465083408879802,0.9999999999999998,25.352058941320934,38.0280884119814,25.352058941320934,209862.2652881692,2.658414372213486,1.2000000000000002,0.16390495997237436,0.9439571109442395,0.8871606459462303,1263.393914888516,127556039.82888925,0.060124344686447374,0.625507797251291,0.03760824640599706
Argentina,18489.434889999997,10405.0,43847430,0.05,0.91893,12449.21685,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2695495148851759,1.0,0.1541967379,1.068575875150691,77.29652154834835,3389253817.834697,5.508600304995953e-07,24.153796627128862,18.18541413456418,0.020422123529600007,37200.74299867999,77.29652154834835,82.5971981596306,82.59719815963058,77.29652154834835,5.508600304995953e-07,0.0029238001279775733,0.4023999999999999,18.18541413456418,24.798292001678426,18.18541413456418,138010.79558435467,1.3636974374995403,0.8096000000000001,0.06503855253184002,0.9212798910799997,0.8471379229071998,94.22153543833186,4131372179.6247754,0.005095966209832164,0.8203700055274418,0.004180577827727669
Armenia,8190.239289,8174.366731999998,2924816,0.079,0.62558,3606.152057,1,0.2,1.5,0.06,0.8,0.05,0.4,1,0.3666957212217474,1.0,0.3524222720091001,1.1003673403838623,50.13285820950838,146629385.81690145,1.1600558152466747e-06,3.3929498093265185,3.2508764832265293,0.008422819423519998,16478.761449467995,50.13285820950836,55.16455985383801,55.164559853838,50.13285820950838,1.1600558152466747e-06,0.009598796525789936,0.4023999999999999,3.25087648322653,8.127191208066323,3.250876483226529,44938.51576605391,1.3519199992398554,0.4048,0.16199147979899203,0.5029999999999999,0.4827599999999998,58.50749691778824,171123663.1050977,0.007143563802387,0.8568621262323445,0.006121049268589736
Australia,44260.57597000001,44414.02948000001,24127159,0.073,0.89554,49927.81951,1,0.2,1.5,0.06,0.8,0.05,0.8,1,0.27360239086009513,1.0,0.22769110058000006,1.0699021942166627,86.98916553869276,2098801428.2293606,1.5457441081866642e-07,3.729441387153285,13.311725207372714,0.6593659200000002,221302.87985000006,86.98916553869275,93.06989908292385,93.06989908292385,86.98916553869276,1.5457441081866642e-07,0.0012493967404791808,0.9999999999999998,13.311725207372714,16.639656509215897,13.311725207372714,808848.4868656058,3.3981633785438237,4.0,0.28233659200000016,2.854399999999999,2.397696,97.97906530104997,2363956487.1898155,0.0022136870827767934,0.8878342049029586,0.001965387111041084
Austria,44438.72481999998,44143.70016,8747358,0.079,0.66032,44176.51522,1,0.2,1.5,0.06,0.8,0.05,0.8,1,0.23227851820729006,1.0,0.4837075332999999,1.0563787998373693,95.77496009573467,837777863.3931053,1.612320577002358e-07,1.4103545297806193,42.99483481310674,0.25965026593599994,89410.71433783996,95.77496009573468,101.17463740040412,101.17463740040412,95.77496009573467,1.612320577002358e-07,0.0021485720374138746,0.4023999999999999,42.99483481310674,54.85035802698806,42.99483481310674,384928.89927103824,1.3650637055143084,1.0119999999999998,0.19898284440799993,0.6148671999999998,0.5530137599999998,102.77772611167165,899033564.7247399,0.0023127964748757995,0.9318649450530923,0.0021552139599791222
Azerbaijan,16001.323400000005,15994.00974,9762274,0.084,0.54895,3876.936433,1,0.2,1.5,0.06,0.8,0.05,0.0,1,0.5982212831852317,1.0,0.43154867302399996,1.176134960462112,36.819168398167854,359438810.35505575,3.369009799447697e-07,3.2889196770893463,0.0,0.02299687832,32194.662680800004,36.81916839816786,43.304311168227,43.304311168227,36.819168398167854,3.369009799447697e-07,0.0057752326329642304,0.4023999999999999,0.0,3.873215931980256,0.0,53817.314070437904,1.3566647868817672,0.0,0.19555970374208,0.5029999999999999,0.5029999999999999,46.399606352905806,452965670.7092072,0.002899735552679711,0.7935232923772861,0.0023010077027858736
Bangladesh,3319.353556000001,3319.353556,162951560,0.086,0.35035,1358.779752,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2897089076246591,1.0,0.14815265559800003,1.0751731130415736,58.163582430074534,9477846492.169239,5.3117007274762994e-06,865.5499197953978,23.33235422111305,0.08737927799999998,16596.767780000002,58.16358243007454,62.53591998699343,62.53591998699341,58.163582430074534,5.3117007274762994e-06,0.01357502744459443,1.0,23.33235422111305,34.54719501396828,23.332354221113047,57287.737253500105,3.380081932383769,3.2000000000000006,0.13804606460000002,2.3566042902633697,2.0549589411096583,69.11709861737292,11262739042.37476,0.02082245758136796,0.8415223380840068,0.01752256318852782
