country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.1183474946,60.3639328164,173612767.537,9.55725472312e-07,2.74876298664,0.0,0.086087198,57123.1415934,60.3639328164,67.5078530293,67.5078530293,60.3639328164,9.55725472312e-07,0.0044676867198,1.0,0.0,27.7843046926,0.0,308307.134608,3.39099980367,0.0,0.191790901534,0.774797712508,0.774797712508,79.4060489064,228379816.666,0.00695042733046,0.760193129462,0.00528366710344
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.21624346508,28.8387926908,1171029515.62,4.53506286167e-07,18.4150998384,14.9054828588,0.15218446,69873.3311234,28.8387926908,35.0749931508,35.0749931508,28.8387926908,4.53506286167e-07,0.00886564477349,1.0,14.9054828588,38.3980933742,14.9054828588,241851.172375,3.38701467529,0.0,0.15626269646,0.349649504989,0.349649504989,50.9774302107,2069992181.96,0.00364784599439,0.565716878462,0.00206364804906
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.3517904141,4.37617018058,126092617.58,2.74297187479e-07,7.90345186243,0.0,0.18571632,30123.6306908,4.37617018058,5.91566490056,5.91566490056,4.37617018058,2.74297187479e-07,0.00135713673424,1.0,0.0,0.659341825953,0.0,69666.5413596,3.39782268509,0.0,0.130048432798,1.14049046001,1.14049046001,8.72774276755,251476493.306,0.00144865385868,0.501409161238,0.000726368316206
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.32166814984,1284.44605959,129681527.514,1.47364025429e-05,1.48783140994,16.264542703,0.153,83110.4523321,1284.44605959,1697.61144715,1697.61144715,1284.44605959,1.47364025429e-05,0.0557421055739,1.0,16.264542703,58.565153192,16.264542703,207511.221171,2.64974680723,0.0,0.163904959972,1.1908041915,1.1908041915,3003.02520366,303194433.637,0.144531770404,0.427717375805,0.0618187495577
Argentina,10405.0,43847430.0,0.91893,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.19795388607,23.7226833374,1040178697.05,5.24870869619e-07,23.0142387146,2.01410919591,0.050750804,52024.9999999,23.7226833374,28.4186806919,28.4186806919,23.7226833374,5.24870869619e-07,0.00303831805133,1.0,2.01410919591,7.32403343969,2.01410919591,193007.21065,3.39536372916,0.0,0.161626621754,0.84229375904,0.84229375904,37.9058411294,1662073715.51,0.0036430409543,0.625831867346,0.00227993112325
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.28972441138,31.7927754579,92988018.3435,8.76746765391e-07,2.56432296736,0.910802313168,0.0209314598,40871.8336587,31.7927754579,41.0039186136,41.0039186136,31.7927754579,8.76746765391e-07,0.0110167469849,1.0,0.910802313168,5.35766066569,0.910802313168,111459.80521,3.38129832025,0.0,0.402563319538,0.459875185488,0.459875185488,44.0879455774,128949128.632,0.00539343866312,0.721121727072,0.0038893258036
Australia,44414.029479,24127159.0,0.89554,49927.8195095,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.20178249216,60.290396421,1454635980.62,1.17879022698e-07,2.84408592339,3.16290729724,0.65936592,222070.147395,60.290396421,72.4559428639,72.4559428639,60.290396421,1.17879022698e-07,0.00113865080466,1.0,3.16290729724,4.31305540533,3.16290729724,811652.802803,3.3983264356,0.0,0.282336592,1.05013418357,1.05013418357,75.0360314765,1810406262.16,0.00168946687244,0.803485941816,0.00135746288117
Austria,44143.7001647,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.1627453167,68.5443862309,599582285.252,1.26750783856e-07,1.10873448317,12.9150006192,0.64525414,220718.500823,68.5443862309,79.6996640762,79.6996640762,68.5443862309,1.26750783856e-07,0.00190179793424,1.0,12.9150006192,18.1604760831,12.9150006192,950232.085718,3.39724770935,0.0,0.49449017,0.562151426741,0.562151426741,80.0048749746,699831283.148,0.00181237355899,0.856752619796,0.00155275579472
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.50843827831,20.564994025,200761106.481,2.41303826475e-07,2.3556740713,0.0,0.0571493,79970.048708,20.564994025,31.0210241807,31.0210241807,20.564994025,2.41303826475e-07,0.00648120839168,1.0,0.0,2.16387437255,0.0,133679.711765,3.38708457338,0.0,0.485983358847,0.459875185488,0.459875185488,33.2081229335,324186795.102,0.00207628502608,0.619276014674,0.00128579351628
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.21699773895,47.967497728,7816378584.08,4.40642186811e-06,718.033317427,5.00305255534,0.087379278,16596.7677804,47.967497728,58.3763362781,58.3763362781,47.967497728,4.40642186811e-06,0.0154348257708,1.0,5.00305255534,11.2845176971,5.00305255534,57287.7372547,3.37725451234,0.0,0.138046064324,0.866995068085,0.866995068085,57.3373972733,9343218332.02,0.0172736637736,0.836583102985,0.0144508552396
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,1.0,0.435313789819,1.30838040675,40.5565285408,385575783.62,3.69912615115e-07,3.51680362141,2.22534904102,0.172373852,83711.277478,40.5565285408,53.0633673087,53.0633673087,40.5565285408,3.69912615115e-07,0.00439646807559,1.0,2.22534904102,5.87335524022,2.22534904102,216619.125169,3.39341559618,0.0,0.468455039971,0.691652278976,0.691652278976,54.5226089214,518352985.728,0.00325658684015,0.743847907191,0.00242240530563
Belgium,41945.6921229,11348159.0,0.97897,41096.1573022,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,1.0,0.48314774691,1.14802083797,16.7867001209,190498142.058,3.52175520909e-08,0.399654380718,0.0,0.5792287,209728.460615,16.7867001209,19.2714815397,19.2714815397,16.7867001209,3.52175520909e-08,0.000424923131024,1.0,0.0,3.41060417031,0.0,967866.500246,3.39914428672,0.0,0.510175572,0.566566228521,0.566566228521,20.5847831893,233599392.613,0.000490748445131,0.815490742195,0.000400200813751
Belize,7831.45448606,366954.0,0.43845,4810.56590199,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.961548126505,1.0,0.150881730148,1.85166007287,66.7133508244,24480730.9384,3.28917866409e-06,1.2069772675,0.0,0.2545334,39157.2724303,66.7133508244,123.530448049,123.530448049,66.7133508244,3.28917866409e-06,0.0373110945579,1.0,0.0,5.53865908418,0.0,40723.1539961,3.33504106118,0.0,0.199827947083,0.664512846795,0.664512846795,155.103332872,56915788.4107,0.0198051758007,0.430121968298,0.00851864119789
Benin,2009.96138386,10872298.0,0.44395,789.440410686,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,1.0,0.0827798384973,1.25529858817,3.4071986261,37044078.8082,1.16336805115e-06,12.6484841358,0.0775383094865,0.082372056,10049.8069193,3.4071986261,4.27705162495,4.27705162495,3.4071986261,1.16336805115e-06,0.00152537215379,1.0,0.0775383094865,0.465229856919,0.0775383094865,30430.6005465,3.39792032986,0.0,0.0773128577767,1.24855730305,1.24855730305,7.13301737414,77552290.5309,0.00354883304297,0.477665824627,0.00169515626194
Bhutan,8105.79696745,797765.0,0.39377,2804.00022299,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,1.0,0.0440194671464,1.11862655614,129.558784559,103357463.764,3.38937396759e-06,2.70392392326,8.09885331736,0.24155478,40528.9848373,129.558784559,144.927896989,144.927896989,129.558784559,3.38937396759e-06,0.0069210585576,1.0,8.09885331736,33.7711034487,8.09885331736,218396.328861,3.38911082494,0.0,0.0437383708861,1.24922787646,1.24922787646,168.295295893,134260096.728,0.0207623379377,0.769830100552,0.0159834727023
Bolivia,6707.95618416,10887882.0,0.68911,3104.95608914,3.0,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.45,0.421834200421,1.0,0.170332203809,1.34181174852,18.1670217458,197800389.06,7.21271335526e-07,7.85311719119,0.284310789777,0.27343408,33539.7809208,18.1670217458,24.3767232142,24.3767232142,18.1670217458,7.21271335526e-07,0.0045757696314,1.0,0.284310789777,1.18462829074,0.284310789777,79509.3922857,3.39245373776,0.0,0.212637275419,0.829768192586,0.829768192586,26.9625840872,293565433.957,0.00401949317303,0.673786373258,0.00270827972739
Bosnia and Herzegovina,11179.3499097,3516816.0,0.3994,4708.71826066,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.323932232357,1.0,0.143200371171,1.2493272823,37.688731454,132544333.797,6.02353252066e-07,2.11836555452,0.0,0.099768162,55896.7495485,37.688731454,47.0855604406,47.0855604406,37.688731454,6.02353252066e-07,0.00375847931083,1.0,0.0,5.64138040168,0.0,172556.923841,3.39246593662,0.0,0.154760071983,0.908012286436,0.908012286436,48.4464306018,170377182.283,0.00433356420482,0.777946506807,0.00337128113516
Botswana,15513.4419328,2250260.0,0.5771,6788.04274538,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.708333333333,0.281178076714,1.0,0.0831001334421,1.20893896997,25.6916169134,57812817.8755,2.70569899599e-07,0.608852622272,0.671292057538,0.30619332,77567.209664,25.6916169134,31.0595968882,31.0595968882,25.6916169134,2.70569899599e-07,0.00128399374478,1.0,0.671292057538,1.57951072362,0.671292057538,275865.069462,3.39792845402,0.0,0.112198325649,1.20171030143,1.20171030143,35.5725733181,80047538.8348,0.00229301617734,0.722231048162,0.00165608747721
Brazil,14023.6916227,207652865.0,0.85933,8649.94849175,3.0,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.558333333333,0.265575010188,1.0,0.213762613761,1.1941993145,13.9390605181,2894485851.98,1.58738198598e-07,32.9624417238,0.743916783567,0.145584762,70118.4581136,13.9390605181,16.6460165155,16.6460165155,13.9390605181,1.58738198598e-07,0.000753112095286,1.0,0.743916783567,1.5373710797,0.743916783567,264025.06043,3.39892672772,0.0,0.20715625943,1.21504599164,1.21504599164,17.937355214,3724743200.72,0.00127907513204,0.777096754328,0.000993965133651
Bulgaria,17709.075186,7127822.0,0.74266,7350.7958009,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.716666666667,0.323078471507,1.0,0.43909310688,1.24852076515,23.1426930197,164956996.445,1.88596953268e-07,1.34428551263,0.952921522827,0.171487506,88545.37593,23.1426930197,28.8941327964,28.8941327964,23.1426930197,1.88596953268e-07,0.00164648529932,1.0,0.952921522827,1.99448690824,0.952921522827,274067.707195,3.39737797707,0.0,0.4733378346,0.82458286386,0.82458286386,30.237279048,215525942.819,0.00170744540471,0.765369561953,0.00130682674146
Burkina Faso,1594.57677663,18646433.0,0.30688,649.730483656,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.416666666667,0.405665091881,1.0,0.0372065918619,1.32653737353,2.20114215892,41043449.7898,6.71111902895e-07,12.5138431328,0.200225504916,0.098161232,7972.88388314,2.20114215892,2.91989733826,2.91989733826,2.20114215892,6.71111902895e-07,0.00145533759266,1.0,0.200225504916,0.600676514747,0.200225504916,19653.8574374,3.39773280392,0.0,0.0362036792661,1.24855730305,1.24855730305,2.90761224626,54216596.9399,0.00182343822441,0.757027406854,0.00138039271058
Burundi,721.176561507,10524117.0,0.12359,285.727442065,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.462979312718,1.0,0.10226863015,1.3806800555,1.60961411977,16939767.3213,1.70066819276e-06,17.8980310388,0.040213470537,0.04666023,3605.88280754,1.60961411977,2.22236211222,2.22236211222,1.60961411977,1.70066819276e-06,0.00334461959471,1.0,0.040213470537,0.241280823222,0.040213470537,7788.43181214,3.39484502247,0.0,0.103267189701,0.908635684724,0.908635684724,2.24106759495,23585257.5742,0.0031075158492,0.718235417528,0.00223192794342
Cameroon,3045.91916487,23439189.0,0.54938,1032.64872204,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.566666666667,0.419737574603,1.0,0.018028650423,1.33983114156,5.64097677282,132219920.723,7.78038016641e-07,18.2365801212,0.328071610489,0.099802922,15229.5958243,5.64097677282,7.55795634904,7.55795634904,5.64097677282,7.78038016641e-07,0.00354163646963,1.0,0.328071610489,0.868424851294,0.328071610489,36283.6132523,3.39482933858,0.0,0.0161419412854,0.67486429475,0.67486429475,8.89920181293,208590073.242,0.00292168023222,0.633874463283,0.00185197848908
Canada,43087.7573653,36286425.0,0.82006,42157.927991,3.0,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.833333333333,0.335483893856,1.0,0.24114664264,1.26023972123,26.7948034183,972287624.63,5.85447506369e-08,2.12437970313,2.3021060879,0.66304528,215438.786827,26.7948034183,33.7678755903,33.7678755903,26.7948034183,5.85447506369e-08,0.00122976245077,1.0,2.3021060879,3.18753150632,2.3021060879,642173.263075,3.39825665257,0.0,0.304504528,0.554306491781,0.554306491781,35.6300158315,1292885897.22,0.000826917389304,0.752028950677,0.000621865816575
Central African Republic,647.880444823,4594621.0,0.40332,382.213174318,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.314743833051,1.0,0.00945003463381,1.24064733212,2.10734686758,9682460.17206,3.41810009971e-06,15.7048744982,0.0,0.0310531492,3239.40222411,2.10734686758,2.61447426911,2.61447426911,2.10734686758,3.41810009971e-06,0.00275438123247,1.0,0.0,0.302410513995,0.0,10292.1864829,3.39459906097,0.0,0.00922010462524,1.19173240985,1.19173240985,3.83530744996,17621784.151,0.0059197765276,0.549459696537,0.00325267861442
Chad,1845.91467919,14452543.0,0.22618,664.295651899,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.753200994464,1.0,0.0357168332084,1.65484203461,2.37896482283,34382091.3974,8.50502543837e-07,12.2919245864,0.0,0.052886108,9229.57339594,2.37896482283,3.93681098768,3.93681098768,2.37896482283,8.50502543837e-07,0.00264401301257,1.0,0.0,0.407286708366,0.0,12253.7987387,3.39473086501,0.0,0.0345768918488,1.24855730305,1.24855730305,4.58952160308,66330258.318,0.00248631296713,0.518347014912,0.00128877290465
Chile,22706.720537,17909754.0,0.89697,13792.9260544,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.347394111819,1.0,0.166982123967,1.27149087555,105.635911906,1891913195.81,7.18374828483e-07,12.8659164579,30.0065388308,0.16560282,113533.602685,105.635911906,134.315098119,134.315098119,105.635911906,7.18374828483e-07,0.0271039195418,1.0,30.0065388308,41.1472284061,30.0065388308,326814.988575,3.36169230298,0.0,0.186146855134,0.284698941192,0.284698941192,167.240765566,2995240970.05,0.0073652540574,0.631639729399,0.00465218707978
China,14400.8860587,1378665000.0,0.56778,8123.18087255,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.841666666667,0.229216379139,1.0,0.19586191952,1.15985262412,28.7991688337,39704406100.1,3.17221849474e-07,437.342661105,2.57269551442,0.44824216,72004.4302934,28.7991688337,33.4027915441,33.4027915441,28.7991688337,3.17221849474e-07,0.00147210807041,1.0,2.57269551442,4.78456090271,2.57269551442,314133.006393,3.39798661903,0.0,0.222599482063,1.04477136013,1.04477136013,37.3013107855,51426011634.1,0.00259020942416,0.772068547385,0.00199981922753
Colombia,13124.3248436,48653419.0,0.76708,5805.60533452,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.716666666667,0.27977925648,1.0,0.104940216041,1.20761755483,93.3627669211,4542417818.01,1.257883141e-06,61.2003155121,7.35983824142,0.145318898,65621.624218,93.3627669211,112.746516302,112.746516302,93.3627669211,1.257883141e-06,0.0138590107569,1.0,7.35983824142,14.0070683947,7.35983824142,234547.854061,3.37963826453,0.0,0.108932801422,0.521652978405,0.521652978405,128.69155032,6261283919.47,0.00980557490411,0.725477054935,0.00711371960338
Comoros,1411.15233854,795601.0,0.28412,775.080084705,3.0,0.2,1.5,0.06,0.8,0.05,0.266666666667,0.166666666667,0.197958724461,1.0,0.0416231060007,1.13032464255,2.40881673113,1916457.0001,8.23909087246e-07,0.655502893722,0.0108490670576,0.125104594,5644.60935416,2.40881673113,2.72274491058,2.72274491058,2.40881673113,8.23909087246e-07,0.00100847401681,1.0,0.0108490670576,0.244104008796,0.0108490670576,28514.0721609,2.71814632437,0.0,0.041381802672,0.726908547779,0.726908547779,2.97174991255,2364327.20218,0.00210590297829,0.810571818629,0.00170698560697
"Congo, Dem. Rep.",742.307904932,78736153.0,0.43015,444.505316816,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.237056001858,1.0,0.0834408819573,1.16725843359,3.98306479966,313611199.475,3.83294348082e-06,301.791224346,0.069155909813,0.056768334,3711.53952466,3.98306479966,4.64926597893,4.64926597893,3.98306479966,3.83294348082e-06,0.00354863319975,1.0,0.069155909813,0.461039398753,0.069155909813,15656.8047026,3.3944072379,0.0,0.0791488218624,1.14049046001,1.14049046001,5.27450063386,415293888.906,0.00710554286007,0.75515486226,0.00536578523978
