country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.5837600000000001,4146.89625046,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18394331258572502,1.0804176835697958,109.92873089743082,316166132.8628317,1.8571841347939155e-06,5.341449147264914,0.0,0.086087198,57123.141593500004,109.92873089743082,118.76894479396964,118.76894479396964,109.92873089743082,1.8571841347939155e-06,0.004684841967579156,0.9999999999999998,0.0,65.95714162171839,0.0,308307.1346076693,3.390569588824206,0.0,0.19179090153300002,2.1059999999999994,2.1059999999999994,154.30336274174476,443792055.88489485,0.01350620417901725,0.7124195412475676,0.00962208378521145
Algeria,13974.666224700002,40606052.0,0.71304,3843.75232202,2,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.1454445821087893,1.1469384595538974,58.1145954499876,2359804284.801159,8.630424601354739e-07,35.04474701446898,30.474779370898215,0.15218446000000002,69873.33112350001,58.11459544998759,66.65386458300671,66.65386458300671,58.1145954499876,8.630424601354739e-07,0.00886564477349066,0.9999999999999998,30.474779370898215,77.42413190729548,30.47477937089822,241851.17237498428,3.38701467529227,2.4000000000000004,0.1562626964596792,0.9503924000000001,0.8591547296000002,97.01229756323565,3939286399.49222,0.006942011780701277,0.59904359457219,0.004158567690673782
Angola,6024.726138149999,28813463.0,0.44819,3110.80818263,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,1.0,0.12735853573367692,1.239043253931658,8.844959106204398,254853901.94313353,8.166007831369723e-07,23.52909645068818,0.0,0.18571632000000005,30123.630690749997,8.844959106204398,10.959286911843947,10.959286911843947,8.844959106204398,8.166007831369723e-07,0.0015207822274710043,0.9999999999999998,0.0,3.0797356688468183,0.0,69666.54135948201,3.397561979191923,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,25.9830647353831,748662074.3795657,0.0043127378970559595,0.34041246466817093,0.0014681097370046437
Antigua and Barbuda,20777.613083000004,100963.0,0.23393000000000005,14353.3788139,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1.0,0.13901490701349914,1.2185750325846827,2048.9024850436813,206863341.5974652,2.1368058221198698e-05,2.1573832621868845,27.545660202204466,0.15300000000000002,83110.45233200002,2048.9024850436813,2496.741412474941,2496.741412474941,2048.9024850436813,2.1368058221198698e-05,0.1650964983948586,0.9999999999999997,27.545660202204466,99.16437672793606,27.545660202204466,207511.22117054442,2.5286288530776004,1.2000000000000002,0.1639049599723743,0.9439571109442396,0.8871606459462303,4354.442490616359,439637577.1800994,0.2095737596624663,0.47053152945732557,0.09861106166810223
Argentina,10404.999999999998,43847430.0,0.91893,12449.2168521,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,1.0,0.15409767305494396,1.1345106039205037,45.15675929524016,1980007842.2248926,9.582210985556238e-07,42.01553254344081,3.830613179417939,0.050750804000000004,52024.99999999999,45.156759295240164,51.23082225913574,51.23082225913575,45.15675929524016,9.582210985556238e-07,0.0030383180513243267,0.9999999999999998,3.8306131794179388,13.92950247061069,3.8306131794179388,193007.2106498201,3.3953637291592162,3.2000000000000006,0.16162662175359999,2.289462949999999,1.9964116923999993,69.19657151276606,3034091825.6460037,0.006650319222755028,0.6525866572292415,0.004339909591085071
Armenia,8174.366731719998,2924816.0,0.62558,3606.15205715,2,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.3536654384755099,1.1968691108828242,57.536478532618084,168283612.9958579,1.4749460003304052e-06,4.313945660902374,1.6484919541033758,0.020931459799999996,40871.833658599986,57.53647853261809,68.86363390466333,68.86363390466333,57.536478532618084,1.4749460003304052e-06,0.011016746984863712,0.9999999999999998,1.6484919541033756,9.69701149472574,1.6484919541033758,111459.80520968247,3.3812983202529328,1.6000000000000003,0.4025633195369999,1.2499999999999998,1.1699999999999997,74.16889523760179,216930371.49326152,0.009073350593605634,0.775749434426637,0.007038646591344162
Australia,44414.0294791,24127159.0,0.89554,49927.81950950001,2,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058,1.1371121599074026,88.65912544232974,2139092816.3480341,1.6920457810523452e-07,4.082425759472912,12.446179262264268,0.65936592,222070.14739549998,88.65912544232974,100.81536962722888,100.8153696272289,88.65912544232974,1.6920457810523452e-07,0.0012700219247559535,0.9999999999999998,12.446179262264268,16.972062630360355,12.446179262264268,811652.8028041032,3.398134230058851,3.9999999999999996,0.28233659200000005,2.854399999999999,2.397696,107.7073745447514,2598672951.1137695,0.002425075495467834,0.8231481439136993,0.001996196392944942
Austria,44143.7001648,8747358.0,0.66032,44176.515216,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.48388575870000006,1.1105862141427054,97.13854436868974,849705623.191813,1.7860879641735453e-07,1.5623550842117173,39.73728224565615,0.6452541399999999,220718.50082400005,97.13854436868971,107.88072823775636,107.88072823775636,97.13854436868974,1.7860879641735453e-07,0.002188652691091321,0.9999999999999998,39.73728224565615,56.937860857575075,39.73728224565615,950232.0857197233,3.3968449861107946,3.9999999999999996,0.49449017000000006,1.528,1.2835199999999998,112.73756257747591,986155819.9125845,0.002553876592958838,0.8616342428188815,0.0022005075244269532
Azerbaijan,15994.009741600004,9762274.0,0.54895,3876.93643264,2,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,1.0,0.43154867260124,1.3454862202080695,41.307800327044426,403258065.1298973,4.3305093583816185e-07,4.227561891608555,0.0,0.0571493,79970.04870799999,41.307800327044426,55.57907612714465,55.57907612714465,41.307800327044426,4.3305093583816185e-07,0.006481208391686572,0.9999999999999998,0.0,4.3446987117056635,0.0,133679.71176518354,3.3870845733818724,0.0,0.4859833588480001,1.2499999999999998,1.2499999999999998,59.605379990011926,581884051.3366137,0.003726731504669519,0.6930213402542921,0.0025827044621339647
Bangladesh,3319.353556059999,162951560.0,0.35035,1358.77975225,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.147886692351406,1.1474509922270306,74.49316780426324,12138777903.046469,7.645138917275738e-06,1245.7873129867924,18.843193307341163,0.08737927799999998,16596.767780299997,74.49316780426322,85.47725931113655,85.47725931113655,74.49316780426324,7.645138917275738e-06,0.017383527196079402,0.9999999999999997,18.843193307341167,45.679457300663344,18.843193307341163,57287.7372545356,3.3745325411241085,3.2,0.13804606432480004,2.3566042902633697,2.0549589411096583,99.48034492145068,16210477394.288465,0.029969794793276466,0.7488229746597961,0.022442070887044953
Belarus,16742.255495600002,9507120.0,0.77046,4989.25461056,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.3864445367538237,1.0,0.43531378981861013,1.209545948170612,57.84943314708853,549981502.8613484,5.140684044798133e-07,4.887310009598123,9.182037234209036,0.172373852,83711.27747799997,57.84943314708854,69.97154746702763,69.97154746702763,57.84943314708853,5.140684044798133e-07,0.005088617633931036,0.9999999999999998,9.182037234209036,24.23411586741387,9.182037234209036,216619.12516912224,3.3924060982916426,3.2000000000000006,0.4684550399716002,1.8799999999999992,1.6393599999999995,75.77019390797685,720356325.9064049,0.00452568615548185,0.7634853517380049,0.0034552950862738793
Belgium,41945.692123000015,11348159.0,0.97897,41096.1573022,2,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.48314774690999995,1.1005808610498713,24.747293367316757,280836219.951956,5.2251121272725205e-08,0.5929540321311679,0.0,0.5792287,209728.46061500016,24.747293367316765,27.23639744285525,27.23639744285525,24.747293367316757,5.2251121272725205e-08,0.00045875789873802883,1.0000000000000002,0.0,8.508680492295479,0.0,967866.5002450955,3.3990768399887745,0.0,0.5101755720000002,1.5400000000000003,1.5400000000000003,30.540964346987128,346583719.4229411,0.0007281072930547891,0.8102983614450956,0.0005899841465185196
Belize,7831.45448606,366954.0,0.43845,4810.56590199,2,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.9615481265045698,1.0,0.15088173014836204,1.578707056544502,108.2870707389817,39736373.755952284,5.3399657254898576e-06,1.9595217828314053,0.0,0.2545334,39157.2724303,108.2870707389817,170.95356270816404,170.95356270816404,108.2870707389817,5.3399657254898576e-06,0.04909535293183244,1.0,0.0,15.85343822006957,0.0,40723.153996092675,3.3185050108569087,0.0,0.199827947084,1.542047829611466,1.542047829611466,251.80951417713567,92402508.46535665,0.03215360756106761,0.4300356604588302,0.013827197863657745
Benin,2009.9613838600008,10872298.0,0.44395,789.4404106860001,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.0827798384974216,1.1734766008233284,4.927497708912753,53573223.48561672,1.7613621753340915e-06,19.150054456160497,0.13562412474043062,0.08237205599999999,10049.806919300001,4.927497708912753,5.782303262019678,5.782303262019677,4.927497708912753,1.7613621753340915e-06,0.0015758525854976623,0.9999999999999998,0.13562412474043062,0.8137447484425835,0.13562412474043062,30430.60054653445,3.3978527285143647,1.6000000000000003,0.07731285777676,3.393739601658168,3.176540267152044,10.79945548007093,117414898.21706422,0.005372966648409571,0.45627279245753133,0.002451538496451018
Bhutan,8105.796967480003,797765.0,0.39377,2804.00022299,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.185575394278482,1.0,0.04401946714638781,1.080607307209514,186.6748272946761,148922643.59673727,4.877818147129193e-06,3.891352594144519,12.329104221149883,0.24155477999999997,40528.984837400014,186.6748272946761,201.72218244670097,201.722182446701,186.6748272946761,4.877818147129193e-06,0.006964772895356122,0.9999999999999998,12.329104221149883,50.84946065053552,12.329104221149883,218396.32886125284,3.3890454946515645,2.4000000000000004,0.043738370886080014,3.395562306575224,3.069588325144003,242.21555752568582,193231094.24947876,0.029881769614689448,0.7706970980791773,0.023029793127511692
Bolivia,6707.956184139998,10887882.0,0.68911,3104.95608914,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.17033220380926195,1.2322627033729696,32.57682552576302,354692632.25909567,1.470485867433951e-06,16.010476607288503,1.447123354213876,0.27343408,33539.78092069999,32.57682552576302,40.1432070896863,40.1432070896863,32.57682552576302,1.470485867433951e-06,0.00550079563703349,0.9999999999999998,1.447123354213876,6.029680642557816,1.447123354213876,79509.39228546237,3.390948727279091,2.4000000000000004,0.21263727541979996,2.2554168467144113,2.0388968294298278,54.969741478556735,598504058.7890313,0.008194707891581764,0.5926319580467917,0.004856445783409597
Bosnia and Herzegovina,11179.349909700002,3516816.0,0.3994,4708.71826066,2,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,1.0,0.14320037117137405,1.1694190701795737,67.61349005748797,237784203.65001464,1.249267633182455e-06,4.393444400658188,0.0,0.09976816199999997,55896.74954850001,67.61349005748797,79.06850467462343,79.06850467462343,67.61349005748797,1.249267633182455e-06,0.004276349324346421,0.9999999999999998,0.0,27.046299259686894,0.0,172556.92384108494,3.3914468362000627,0.0,0.15476007198360003,2.4680943740000005,2.4680943740000005,100.47685056320253,353358595.69027966,0.008987718550255024,0.672926048920665,0.0060480699328340805
Botswana,15513.441932799997,2250260.0,0.5771,6788.04274538,2,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.08310013344233881,1.1419750205057293,43.70713176827759,98352410.33288434,4.902827050939072e-07,1.1032635599646157,1.848459456412105,0.30619332,77567.20966399998,43.7071317682776,49.91245269732542,49.91245269732542,43.70713176827759,4.902827050939072e-07,0.0013842467713778188,0.9999999999999998,1.848459456412105,4.349316368028482,1.8484594564121053,275865.06946226506,3.397767288858293,3.2000000000000006,0.11219832564932002,3.266403415957444,2.8483037787148904,64.45882376199442,145049112.75866556,0.004155030459469439,0.6780628192915887,0.002817371667590273
Brazil,14023.691622699997,207652865.0,0.8593299999999999,8649.94849175,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5583333333333333,0.26557501018758395,1.0,0.21376261376200406,1.1319593547446185,25.985446189933526,5395952349.643031,3.090622709222008e-07,64.17766602040119,2.0471340074179127,0.14558476199999998,70118.45811349998,25.985446189933523,29.414468901908158,29.414468901908158,25.985446189933526,3.090622709222008e-07,0.000799811064873921,0.9999999999999998,2.0471340074179127,4.230586926925652,2.0471340074179123,264025.0604300951,3.398860386240473,0.8000000000000002,0.20715625943080002,3.3026515399850975,3.1969666907055743,34.92391740457917,7252051506.084229,0.00249035121023684,0.7440587460135946,0.0018529675986222608
Bulgaria,17709.07518600001,7127822.0,0.74266,7350.7958009,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.43909310688000003,1.1688710379516616,39.8240649953084,283858846.6029891,3.2043607847820266e-07,2.2840113297706597,4.643482874210857,0.17148750599999998,88545.37593000004,39.824064995308404,46.54919618652055,46.549196186520554,39.8240649953084,3.2043607847820266e-07,0.0019316186443863437,0.9999999999999998,4.643482874210857,9.718917643697143,4.643482874210858,274067.70719480107,3.3969266166275602,3.2000000000000006,0.4733378346000001,2.2413224551999997,1.9544331809344,51.383863401477534,366255031.9980464,0.002901555437637945,0.7750305710598488,0.0022487941677943463
Burkina Faso,1594.5767766299998,18646433.0,0.30688000000000004,649.7304836559999,2,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,1.0,0.037206591861851095,1.2218836931625943,3.6279550807731087,67648421.34064537,1.0583412123072873e-06,19.734288506426612,0.4001162881935545,0.098161232,7972.88388315,3.6279550807731087,4.432939152723045,4.432939152723046,3.6279550807731087,1.0583412123072873e-06,0.001488812226481245,0.9999999999999998,0.4001162881935545,1.2003488645806635,0.4001162881935545,19653.857437376835,3.3976810031036933,2.4000000000000004,0.03620367926604,3.393739601658168,3.067940599898984,4.585294727079216,85499390.91373588,0.002875555943295399,0.7912152427951078,0.0022751836938453844
Burundi,721.1765615069997,10524117.0,0.12359,285.727442065,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,1.0,0.10226863014962301,1.2586739022080167,2.58670469551756,27222782.86007617,3.1409016410800677e-06,33.055216356218644,0.17013072204860807,0.04666023,3605.8828075349993,2.58670469551756,3.255817692966887,3.255817692966887,2.58670469551756,3.1409016410800677e-06,0.0038323584384267213,0.9999999999999997,0.17013072204860807,1.0336726391106394,0.17013072204860807,7788.431812141539,3.394113467914031,2.4000000000000004,0.10326718970073563,2.469788850858763,2.2326891211763216,4.1389515102251195,43558809.950935856,0.005739165318373907,0.624966175401477,0.003586784199020941
Cameroon,3045.9191648700003,23439189.0,0.54938,1032.64872204,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.4197375746029477,1.0,0.0180286504229456,1.2309168715530294,7.911888923346318,185448259.8213209,1.4861347070316005e-06,34.83379227757331,1.1410203800890233,0.09980292199999999,15229.595824349999,7.911888923346318,9.738877561600518,9.738877561600516,7.911888923346318,1.4861347070316005e-06,0.0042699120981556865,1.0,1.1410203800890233,3.020348064941531,1.1410203800890233,36283.61325229577,3.393799593760064,3.2000000000000006,0.016141941285416,1.8343680960785826,1.599568979780524,16.99841446845603,398429049.4264754,0.005580717526750754,0.46544864157939053,0.0025975373918644346
Canada,43087.7573654,36286425.0,0.82006,42157.927991,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8333333333333333,0.3354838938558465,1.0,0.24114664264000002,1.1768341241602334,39.71860857742567,1441246311.2491133,8.213719864638678e-08,2.980465298392216,4.774205430198764,0.66304528,215438.786827,39.71860857742568,46.74221393807788,46.74221393807787,39.71860857742567,8.213719864638678e-08,0.0012965352579387861,0.9999999999999998,4.774205430198764,6.610438287967522,4.774205430198764,642173.2630764431,3.3981630558933085,3.2,0.30450452800000005,1.5066764561178578,1.313821869734772,49.988250975287016,1813894919.895929,0.001160149750922711,0.7945588773862401,0.0009218072836930753
Central African Republic,647.880444824,4594621.0,0.40332,382.21317431800003,2,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3147438330510679,1.0,0.00945003463383389,1.1635210028880252,3.51456003594418,16148071.346909886,5.633545360786971e-06,25.884005819124404,0.0,0.031053149199999998,3239.4022241200014,3.51456003594418,4.089264417731945,4.089264417731945,3.51456003594418,5.633545360786971e-06,0.0027770829310915434,0.9999999999999998,0.0,0.5273121776409933,0.0,10292.186482949768,3.3945554250634453,0.0,0.009220104625255996,3.2392822211843653,3.2392822211843653,6.321166104453624,29043362.528010815,0.00975668605983439,0.555998684082668,0.005424704610275631
Chad,1845.91467919,14452543.0,0.22618,664.2956518990001,2,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.7532009944644721,1.0,0.0357168332083819,1.4449682665922803,4.427732360082595,63991992.326585166,1.4959345945845214e-06,21.620059053420363,0.0,0.052886108,9229.573395949998,4.4277323600825955,6.397932753283093,6.397932753283093,4.427732360082595,1.4959345945845214e-06,0.0027226067109854743,0.9999999999999998,0.0,0.9193024358032149,0.0,12253.798738691594,3.394576329804867,0.0,0.03457689184882,3.393739601658168,3.393739601658168,8.072383858733962,116666474.83085851,0.004373107787558296,0.5485036932791525,0.0023986657725835487
Chile,22706.720536999997,17909754.0,0.89697,13792.9260544,2,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.3473941118185529,1.0,0.1669821239674,1.1844793368531206,218.0011156962693,3904346353.8457217,1.3834481875852087e-06,24.77721671139694,66.33322197900947,0.16560281999999998,113533.60268499999,218.00111569626932,258.2178169531575,258.2178169531575,218.0011156962693,1.3834481875852087e-06,0.027644584582566658,0.9999999999999997,66.33322197900947,90.45312164149297,66.33322197900947,326814.9885749924,3.360972798018285,3.2000000000000006,0.18614685513399998,0.7738483999999999,0.6747958047999998,322.15598459643917,5769734433.750015,0.014187693201732701,0.6766942913364052,0.009600730996844845
China,14400.886058700002,1378665000.0,0.5677800000000001,8123.18087255,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8416666666666667,0.2292163791392399,1.0,0.19586191952005594,1.1086206158183298,45.56652958105829,62820979504.86973,4.926958006121731e-07,679.2624559509818,5.583667236741208,0.44824215999999995,72004.43029349999,45.56652958105829,50.515994084856985,50.515994084856985,45.56652958105829,4.926958006121731e-07,0.0015348033584041687,0.9999999999999998,5.583667236741208,9.645433200329101,5.583667236741208,314133.00639288145,3.397908297091294,3.2000000000000006,0.22259948206360686,2.8398231549999995,2.4763257911599994,57.93484658078306,79872745261.29527,0.004023005691777062,0.7865133381775913,0.0031641476361470274
Colombia,13124.324843600001,48653419.0,0.76708,5805.60533452,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.2797792564799715,1.0,0.10494021604094281,1.141077112655304,176.14485151814787,8570049265.605234,2.6506931732289594e-06,128.96528559754816,40.23830247784317,0.14531889799999997,65621.62421800001,176.14485151814787,200.9948585794254,200.9948585794254,176.14485151814787,2.6506931732289594e-06,0.016639073317881684,0.9999999999999998,40.23830247784317,55.69437031850491,40.23830247784317,234547.8540604302,3.375759129479267,3.2000000000000006,0.10893280142215997,1.41792,1.23642624,271.18720552538525,13194184737.865685,0.02066294523772231,0.6495323080485792,0.01342125051133917
Comoros,1411.1523385399998,795601.0,0.28412,775.080084705,2,0.2,1.5,0.06,0.8,0.05,0.26666666666666666,0.16666666666666666,0.197958724460889,1.0,0.04162310600078601,1.0885562123754138,3.4729201724775263,2763058.762143292,1.6267844413809404e-06,1.2942713283471177,0.042669336716222514,0.125104594,5644.60935416,3.4729201724775267,3.7804688288343042,3.7804688288343042,3.4729201724775263,1.6267844413809404e-06,0.001180611356128759,0.9999999999999998,0.04266933671622251,0.9600600761150064,0.042669336716222514,28514.072160912583,2.7178324034215215,1.8000000000000003,0.041381802672060014,1.9758310806870103,1.7980062834251793,5.867656948366636,4668313.735777444,0.0041580606062966985,0.5918751220526404,0.002461052628854134
"Congo, Dem. Rep.",742.307904932,78736153.0,0.43015,444.505316816,2,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.2370560018580905,1.0,0.08344088195718749,1.1136528984604508,6.244996860725551,491707028.31060666,7.988517412180836e-06,628.9851292086342,0.27265378363825704,0.05676833400000001,3711.539524659999,6.244996860725552,6.954758854823427,6.954758854823426,6.244996860725551,7.988517412180836e-06,0.003973531477175836,0.9999999999999998,0.272653783638257,1.8176918909217137,0.272653783638257,15656.804702552308,3.3937580805727587,1.6000000000000003,0.0791488218623,3.0999999999999988,2.9016,10.992971945709119,865544321.0420609,0.014809180762686534,0.5680899479747292,0.008412946729022954
"Congo, Rep.",5301.397271209999,5125821.0,0.65798,1528.24483012,2,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.3727534239023239,1.0,0.15384201567366992,1.2007575725019395,30.316983235817773,155399429.32680267,2.316845097717935e-06,11.875733255629646,0.0,0.116462276,26506.98635605,30.31698323581776,36.403347195822526,36.403347195822526,30.316983235817773,2.316845097717935e-06,0.006888588275187134,0.9999999999999998,0.0,10.062060089866364,0.0,71111.31556767637,3.387260145787483,0.0,0.15756214915799996,1.8343680960785824,1.8343680960785824,60.84935249311942,311902888.84563386,0.011477983893712433,0.4982301699799663,0.005718677866391661
Costa Rica,15401.492504699998,4857274.0,0.77675,11824.638102,2,0.2,1.5,0.06,0.8,0.05,0.9333333333333332,0.75,0.4818967549173638,1.0,0.19618945116610004,1.2708170778974683,59.329289313092715,288178614.41896313,7.152320010993584e-07,3.4740778029078854,13.308991897626255,0.26912722000000006,77007.4625235,59.329289313092715,75.39667407859797,75.39667407859798,59.329289313092715,7.152320010993584e-07,0.005697515905835082,1.0,13.308991897626255,19.013054350581715,13.308991897626257,159800.74930511892,3.3921441845624134,3.9999999999999996,0.20864231133599995,1.9841686693238025,1.6667016822319938,93.0152634604252,451800620.8094734,0.006039366862142756,0.6378446623261491,0.0038521779168471807
Cote d'Ivoire,3448.14401279,23695919.0,0.54869,1526.19717484,2,0.2,1.5,0.06,0.8,0.05,0.4,0.45,0.5759764393620561,1.0,0.10944238212883553,1.331207173184686,6.62120044528588,156895429.43425816,7.34188107756392e-07,17.397261932158738,0.2752629063877786,0.10841568399999998,17240.72006395,6.621200445285882,8.814189527858202,8.814189527858202,6.62120044528588,7.34188107756392e-07,0.0017740187332729045,0.9999999999999998,0.27526290638777867,1.529238368820992,0.27526290638777867,29933.03004380803,3.3969027823440276,1.6000000000000003,0.110739710360731,3.393739601658168,3.1765402671520446,10.114835921355594,239680332.6907325,0.0029334145800863367,0.6546028523612972,0.001920221551282733
Croatia,21408.551514500003,4170600.0,0.5928399999999999,12090.666563600002,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5583333333333333,0.23052247153165525,1.0,0.3192030800900001,1.1094590013262897,120.663008114931,503237141.6441313,7.078553004495962e-07,2.9521813160550856,12.592092864067117,0.28301458,107042.75757249999,120.66300811493102,133.87066048021734,133.87066048021734,120.663008114931,7.078553004495962e-07,0.0031104311207365357,0.9999999999999997,12.592092864067117,33.829503216896725,12.592092864067117,464348.4726728731,3.395141128324148,3.2000000000000006,0.354580658,2.4647497964000005,2.1492618224608,150.8706515540479,629221139.3713121,0.007047214355061026,0.7997778684723497,0.005636206075558452
Cyprus,31195.506221200016,1170125.0,0.6684,23324.2017354,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.20174778291418224,1.0,0.37022945668000007,1.090988422925373,56.88236392428249,66559476.08690103,2.4630052978009123e-07,0.28820240740892933,0.0,0.24233095999999996,155977.53110600007,56.88236392428249,62.05800051002008,62.05800051002008,56.88236392428249,2.4630052978009123e-07,0.0030148343471047665,0.9999999999999998,0.0,52.31261556575882,0.0,773131.3269120209,3.394088911449297,0.0,0.3870059660000001,0.8649007619047621,0.8649007619047621,92.32117970360171,108027320.40067695,0.002959438421962891,0.6161355834804539,0.0018234153188905796
Czech Republic,31071.748371600002,10561633.0,0.7298,18266.5496886,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.9,0.23979983157078166,1.0,0.48699776193399996,1.1154141728394982,51.00858362645849,538733940.1124636,1.6035581990264068e-07,1.6936193192257865,20.04694126920408,0.40017238000000005,155358.74185799996,51.008583626458474,56.89569711342055,56.89569711342056,51.00858362645849,1.6035581990264068e-07,0.0010313475849652847,0.9999999999999998,20.04694126920408,33.593389428246525,20.04694126920408,647868.4361049803,3.3983967305275242,3.9999999999999996,0.48127090240000003,2.354,1.97736,59.758246649584024,631144669.8363861,0.0019232341204270264,0.853582333591,0.0016416386685559356
Denmark,45686.484531500006,5731118.0,0.8784700000000001,53417.6642756,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666669,0.2301060640275852,1.0,0.45126214397700004,1.1091917078186901,2.2594474174605224,12949159.764261516,3.838042052259296e-09,0.021996271890460193,0.3497619814736505,0.6707697200000001,228432.4226575,2.2594474174605224,2.5061603396995653,2.5061603396995658,2.2594474174605224,3.838042052259296e-09,5.454693068538827e-05,1.0,0.3497619814736505,0.5203070798781577,0.34976198147365056,992726.6524802034,3.3999171475061205,3.200000000000001,0.48524766240000006,1.3,1.1335999999999997,2.5494107310305694,14610973.730002455,5.580229595631935e-05,0.8862626135362532,4.9455488655571085e-05
Djibouti,3139.2735352300006,942333.0,0.7743,1862.16727373,2,0.2,1.5,0.06,0.8,0.05,0.6,0.25,0.2605986206727131,1.0,0.0997042200048057,1.1287649920215375,7.2366253724347205,6819310.897082528,9.858001788490383e-07,0.9289520399353506,0.33674240252323456,0.03853614800000001,15696.367676150003,7.236625372434721,8.168449380779133,8.168449380779133,7.2366253724347205,9.858001788490383e-07,0.0019909931357253653,1.0,0.33674240252323456,2.2895542943227,0.3367424025232345,60231.96759687817,3.3969108690215597,2.4000000000000004,0.12954908474456,1.7902401369303214,1.6183770837850107,11.797851022099591,11117504.347208174,0.0037581468736954823,0.6133850443508028,0.0023051910867985343
Dominica,10174.038541399996,73543.0,0.6982,7144.45467278,2,0.2,1.5,0.06,0.8,0.05,0.0,0.0,1.471708262030755,1.0,0.14597510028202218,1.9061807229158851,224.65421337320385,16521744.814105531,7.922873945787895e-06,0.582671918595079,0.0,0.43999999999999995,40696.154165599975,224.65421337320385,428.2315308538332,428.2315308538332,224.65421337320385,7.922873945787895e-06,0.11509236986532795,0.9999999999999999,0.0,23.786340370113862,0.0,27652.32431966163,2.554681980798765,0.0,0.22673247589148002,1.1842881578295288,1.1842881578295288,553.2008085264151,40684047.06145815,0.054373767730025925,0.4060988521900844,0.022081124664413778
