country,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,4,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.183943312911,1.1548706449607842,109.34870158360715,314497909.9733141,2.0057647393876137e-06,5.768781972717454,0.0,0.086087198,56795.852,109.34870158360718,126.28360552348471,126.28360552348471,109.34870158360715,2.0057647393876137e-06,0.004686977053913064,1.0000000000000002,0.0,65.60912458118509,0.0,306540.67509679444,3.3905653622547867,0.0,0.19179090180000005,2.1059999999999994,2.1059999999999994,165.23068104808738,475220126.99308515,0.01454601658657109,0.6617941709735082,0.009626468987876715
Algeria,13921.18002,13974.66622,40606052,0.71304,3843.752322,4,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14544458210878927,1.2829782330263904,57.8921694472254,2350772442.9668455,9.81762281853723e-07,39.86549026859095,30.358141144166304,0.15218446000000002,69605.90009999998,57.89216944722538,74.27439326346561,74.27439326346561,57.8921694472254,9.81762281853723e-07,0.00886564477349066,0.9999999999999998,30.358141144166304,77.12780118273088,30.358141144166304,240925.51868819213,3.38701467529227,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,109.72736683764325,4455595163.632417,0.007882044961706,0.5276000975479967,0.004158567690673782
Angola,5984.6404219999995,6024.726138,28813463,0.44819,3110.808183,4,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.12735853573367692,1.460356245872084,8.785673510622729,253145678.6284081,9.791563709988289e-07,28.212885866989033,0.0,0.18571632000000005,29923.20211,8.785673510622729,12.830213185430821,12.830213185430821,8.785673510622729,9.791563709988289e-07,0.0015207068703416513,0.9999999999999998,0.0,3.0590929545991505,0.0,69203.0127047263,3.3975620991534314,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,30.84481004139316,888745792.8697103,0.005153995539649343,0.2848347420143784,0.0014680369898792778
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.23393000000000005,14353.37881,4,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086056,1.0,0.13901490701349917,1.4209379674476013,2072.1159773448508,209207045.42066818,2.5335220401978336e-05,2.557919857444938,27.857744830781044,0.15300000000000002,84052.07052000005,2072.1159773448503,2944.3482651640916,2944.3482651640916,2072.1159773448508,2.5335220401978336e-05,0.1650964983948586,0.9999999999999997,27.857744830781044,100.28788139081175,27.857744830781044,209862.2652881692,2.5286288530776004,1.2000000000000002,0.16390495997237436,0.9439571109442396,0.8871606459462303,5251.999501113879,530257625.6309606,0.24994027957296663,0.3945384947019478,0.09861106166810224
Argentina,18489.43489,10405.0,43847430,0.91893,12449.21685,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.15409767278400005,1.2590443178477382,80.3030314398552,3521081549.8468504,8.062198772895904e-07,35.350669634063905,7.265249169050611,0.050750804000000004,92447.17445,80.3030314398552,101.10507544029798,101.10507544029798,80.3030314398552,8.062198772895904e-07,0.003040221125954212,1.0,7.26524916905061,24.767894894490716,7.26524916905061,342969.17391738243,3.3953601692104316,3.2000000000000006,0.16162662160000005,2.289462949999999,1.9964116923999993,137.899412796813,6046534849.649363,0.007458281641230464,0.5823304814080477,0.00434318473861454
Armenia,8190.239289,8174.366731999998,2924816,0.62558,3606.152057,4,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.35366543847779996,1.379136090743238,57.60664946205654,168488850.0530144,1.7026968621214409e-06,4.980075025482584,1.6505024368983958,0.020931459799999996,40951.196444999994,57.60664946205655,79.44740933991672,79.44740933991672,57.60664946205654,1.7026968621214409e-06,0.011008806578264241,1.0,1.6505024368983958,9.708837864108208,1.6505024368983958,111676.23202299677,3.3813112346018226,1.6000000000000003,0.4025633195799999,1.2499999999999998,1.1699999999999997,85.8756364160931,251170435.39997175,0.010485119345832718,0.6708148185701368,0.007033573431661006
Australia,44260.57597000001,44414.02948000001,24127159,0.89554,49927.81951,4,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.22769110058000006,1.2640544678011738,88.44810817563014,2134001569.2026281,1.909539210101051e-07,4.607175613884246,12.410819774751516,0.6593659199999999,221302.87985000003,88.44810817563014,111.8032263079668,111.80322630796678,88.44810817563014,1.909539210101051e-07,0.0012708045199852393,0.9999999999999998,12.410819774751516,16.923845147388427,12.410819774751516,808848.4868656059,3.3981323636765723,3.9999999999999996,0.2823365920000001,2.854399999999999,2.397696,121.0387061936727,2920320109.489026,0.0027346843899119884,0.7307423464532519,0.001998349687893366
Austria,44438.72482000001,44143.70016,8747358,0.66032,44176.51522,4,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.48388575870000006,1.2129700527022487,98.1855352519742,858864027.2706387,1.9790199529692632e-07,1.731119601776531,40.14921087079562,0.6452541399999999,222193.62410000002,98.18553525197422,119.09611386918567,119.09611386918567,98.1855352519742,1.9790199529692632e-07,0.0021973804682322456,0.9999999999999998,40.14921087079563,57.54696328253332,40.14921087079562,956582.7516675905,3.396832155683104,3.9999999999999996,0.49449017000000006,1.528,1.2835199999999998,126.15305764686696,1103505958.0317829,0.0028388091278013167,0.7783048392439235,0.002209458881857586
Azerbaijan,16001.323400000005,15994.00974,9762274,0.54895,3876.936433,4,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.43154867302399996,1.6653471148823724,40.80658881764123,398365101.0431497,5.300065982008308e-07,5.174069633444417,0.0,0.0571493,80006.617,40.80658881764122,67.95713495565008,67.95713495565008,40.80658881764123,5.300065982008308e-07,0.006399322112339692,0.9999999999999998,0.0,4.291767610868665,0.0,133740.8401352831,3.3872437418290504,0.0,0.4859833592,1.2499999999999998,1.2499999999999998,72.99503113642709,712597494.5923326,0.004561812127141125,0.5590324188145637,0.002550200867613313
Bangladesh,3319.3535560000005,3319.353556,162951560,0.35035,1358.779752,4,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14788669267700003,1.2839652829155197,74.28489383012382,12104839334.053047,8.6460707500788e-06,1408.8907165957105,18.797234509614796,0.08737927799999998,16596.767780000002,74.2848938301238,95.37922472294423,95.37922472294423,74.28489383012382,8.6460707500788e-06,0.017334924936100768,0.9999999999999998,18.797234509614793,45.551743029846406,18.797234509614793,57287.73725350009,3.3746000212091047,3.2000000000000006,0.1380460646,2.3566042902633697,2.0549589411096583,112.50470524341985,18332817226.755444,0.033893558894941604,0.6602825514666071,0.022379325545435758
