country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,10971.29252,11359.1704,10971.29252,10397.28739,2889167.0,0.57407,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18390796341149998,1.1900639609544734,105.57280295439367,305017458.39333665,2.11218478248313e-06,6.102454571452437,0.0,0.086087198,54856.462600000006,105.57280295439368,125.63838805297188,125.63838805297188,105.57280295439367,2.11218478248313e-06,0.004686977053913064,1.0,0.0,63.00988985028678,0.0,296073.3308275056,3.3905653622547867,0.0,0.19179090180000005,2.1059999999999994,2.1059999999999994,165.1607708885955,477177048.9458908,0.015053902772851733,0.6392123407174262,0.00962264042836711
Angola,6231.067991999999,5984.640422,6231.067992,6937.0062659999985,25021974.0,0.4405,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052511456,1.0,0.12736406291942387,1.5649691170507845,9.157619138925755,229141707.99610266,1.0332488062153125e-06,25.853924764650582,0.0,0.18571632000000005,31155.339959999998,9.157619138925755,14.331391138132002,14.331391138132002,9.157619138925755,1.0332488062153125e-06,0.0015207068703416513,1.0,0.0,3.2027903243778075,0.0,72052.5623944311,3.3975620991534314,0.0,0.13004843279721204,3.0999999999999988,3.0999999999999988,34.57931885748897,865242817.3897988,0.005549501129161964,0.264829367422385,0.0014696708735457743
Argentina,19101.297389999996,18489.43489,19101.29739,18087.19626,43416755.0,0.91751,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.375,0.2695495148851759,1.0,0.15407290650500005,1.317910402745193,82.90789423794314,3599591731.694689,8.419782071003935e-07,36.555961533017054,6.96304971018991,0.050750804000000004,95506.48694999999,82.90789423794313,109.26517628588351,109.26517628588351,82.90789423794314,8.419782071003935e-07,0.003040221125954212,0.9999999999999998,6.9630497101899085,25.320180764326942,6.963049710189909,354318.89755277184,3.3953601692104316,3.2000000000000006,0.16162662160000008,2.2890156499999996,1.9960216467999996,151.25379895298806,6566949131.96114,0.00791850919153655,0.5481375992659342,0.004340432618014077
Armenia,8195.933649999999,8190.239289,8195.93365,7899.284409999998,3017712.0,0.62673,5,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.35482572718191996,1.4652922260748724,57.66460212262785,174015161.80067956,1.804664048678302e-06,5.4459563556650945,1.7111237334793743,0.020931459799999996,40979.668249999995,57.664602122627855,84.49549320998719,84.49549320998719,57.66460212262785,1.804664048678302e-06,0.011008806578264241,0.9999999999999998,1.7111237334793743,10.06543372634926,1.7111237334793743,111753.87624776471,3.3813112346018226,1.6000000000000003,0.4025633195799999,1.2499999999999998,1.1699999999999997,91.11018818627355,274944308.21197593,0.01111651119653385,0.632910580809397,0.0070357575579724045
Australia,43719.50216,44260.57597,43719.50216,43654.58052,23781169.0,0.89423,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.27360239086009513,1.0,0.2267875137139999,1.3240590756932975,87.32594287537208,2076713005.6035693,2.028595292154729e-07,4.824236747533598,11.893018661264696,0.6593659199999999,218597.5108,87.32594287537209,115.62470720761087,115.62470720761088,87.32594287537208,2.028595292154729e-07,0.0012708045199852393,0.9999999999999998,11.893018661264694,16.2177527199064,11.893018661264696,798960.528498373,3.3981323636765723,3.9999999999999996,0.282336592,2.854399999999999,2.397696,126.18758289825386,3000888234.604885,0.00288629962977268,0.6920327727157096,0.0019974139356799137
Austria,44288.92875000001,44438.72482,44288.92875,43892.72954,8611088.0,0.65968,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729006,1.0,0.48360059806,1.261366069673966,97.49563116124673,839543459.5450377,2.0702227683393536e-07,1.7826870437773787,38.54200011392034,0.6452541399999999,221444.64375000008,97.49563116124672,122.97768108824444,122.97768108824442,97.49563116124673,2.0702227683393536e-07,0.0021973804682322456,1.0,38.54200011392033,55.05424621070952,38.54200011392033,953358.2591239811,3.396832155683104,3.9999999999999996,0.4944901700000002,1.528,1.2835199999999998,131.22384923387796,1129980113.4516556,0.0029629041148094585,0.7429718891074593,0.0022013544674242477
Azerbaijan,16698.863649999996,16001.3234,16698.86365,16695.38942,9651349.0,0.5462,5,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.5982212831852317,1.0,0.45487112046320016,1.8165427870220094,42.74621233791922,412558613.7013642,5.436652357385691e-07,5.247102929280203,0.0,0.0571493,83494.31824999994,42.74621233791922,77.65032369495836,77.65032369495836,42.74621233791922,5.436652357385691e-07,0.006399322112339692,0.9999999999999998,0.0,7.43177835372547,0.0,139570.95910301644,3.3872437418290504,0.0,0.48598335920000013,1.2499999999999998,1.2499999999999998,79.81908893517563,770361884.1754184,0.004779911412425698,0.5355387152142913,0.002559827616648587
Bangladesh,3132.5675399999996,3319.353556,3132.56754,3136.5610690000008,160995642.0,0.34277,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.14789555810769997,1.3484944900833071,70.29837113853655,11317731393.002966,9.425635735455385e-06,1517.4862764877819,17.722246623188987,0.08737927799999998,15662.8377,70.29837113853655,94.79696614214794,94.79696614214792,70.29837113853655,9.425635735455385e-06,0.017334924936100768,0.9999999999999998,17.722246623188987,42.940574093600155,17.722246623188983,54064.05287438537,3.3746000212091047,3.2000000000000006,0.13804606459999996,2.362140790448914,2.0597867692714527,112.4439812614781,18102990952.22764,0.03589514984933992,0.625185717811469,0.022441135024509822
Belarus,17229.555189999992,16752.09877,17229.55519,16621.03344,9513000.0,0.76667,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5166666666666667,0.3864445367538237,1.0,0.435787236061,1.4952534211794433,59.48957380258781,565924315.5840181,6.316317298049828e-07,6.008712645634801,9.589109062835192,0.172373852,86147.77594999998,59.48957380258781,88.95198875282642,88.95198875282641,59.48957380258781,6.316317298049828e-07,0.005079364424880539,0.9999999999999998,9.58910906283519,25.308498992820148,9.58910906283519,222924.03632782778,3.392419545436617,3.2000000000000006,0.4684550397999999,1.8799999999999992,1.6393599999999995,97.1853919707927,924524633.8181509,0.005640621066479937,0.6121246475032619,0.0034527631820185046
Belgium,41722.92185999999,42094.57905,41722.92186,41138.38336,11285721.0,0.97858,5,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.4831951641469998,1.23771882002493,24.617927942569676,277831066.3579454,5.9027298830382144e-08,0.6661656259833192,0.0,0.5792287,208614.6092999999,24.617927942569676,30.470072724536088,30.470072724536088,24.617927942569676,5.9027298830382144e-08,0.00045869702534638557,0.9999999999999998,0.0,8.482780711530737,0.0,962726.2375888908,3.39907686846634,0.0,0.510175572,1.5400000000000003,1.5400000000000003,34.21304002795315,386118824.31731147,0.000820005850567081,0.7195480998606392,0.0005900336516501504
Benin,1987.1671459999998,2009.961384,1987.167146,1985.613853,10879829.0,0.4395,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.0818491499488,1.4100049693272154,5.057916332853584,55029264.79775408,1.86311195982422e-06,20.270339530742383,0.2534263081724212,0.08237205599999999,9935.835729999999,5.057916332853584,7.131687163764843,7.131687163764842,5.057916332853584,1.86311195982422e-06,0.0015740789657771451,0.9999999999999998,0.2534263081724212,1.5205578490345268,0.2534263081724212,30085.498221360285,3.3978551023466275,1.6000000000000003,0.0773128576,3.393739601658168,3.1765402671520446,11.229612521515632,122176263.9703489,0.005651065912658579,0.4504088029006125,0.002545289832833008
