country,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,115.19133627688892,331301917.45729655,1.8962709877056355e-06,5.453866884011166,0.0,0.086087198,56795.852,115.19133627688893,128.82394232484208,128.82394232484208,115.19133627688892,1.8962709877056355e-06,0.004686977053913064,1.0000000000000002,0.0,53.04966358992967,0.0,306540.67509679444,3.3905653622547867,0.0,0.19179090180000005,2.1059999999999994,2.1059999999999994,156.21081605312935,449278084.26122135,0.013751956397549009,0.7374094777003842,0.010140822984475072
Algeria,13921.18002,13974.66622,40606052,0.71304,3843.752322,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.2889104503291931,1.0,0.14544458210878927,1.216243465076183,57.8921694472254,2350772442.9668455,8.374675258968163e-07,34.00624990487747,60.71628228833261,0.15218446000000002,69605.90009999998,57.89216944722538,70.41097276927094,70.41097276927094,57.8921694472254,8.374675258968163e-07,0.00886564477349066,0.9999999999999998,60.71628228833261,77.12780118273088,60.71628228833261,240925.51868819213,3.38701467529227,2.4000000000000004,0.15626269645967916,0.9503924000000001,0.8591547296000002,93.6001597608585,3800732954.457728,0.006723579439845395,0.6185050281445632,0.004158567690673782
Angola,5984.6404219999995,6024.726138,28813463,0.44819,3110.808183,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.43239739052511456,1.0,0.12735853573367692,1.351790414097182,8.684408825767646,250227892.37812948,5.616360289598893e-07,16.182678939902694,0.0,0.18571632000000005,29923.20211,8.684408825767647,11.739500602773663,11.739500602773663,8.684408825767646,5.616360289598893e-07,0.0015207068703416513,0.9999999999999998,0.0,1.3110398376853505,0.0,69203.0127047263,3.3975620991534314,0.0,0.13004843279721207,3.0999999999999988,3.0999999999999988,17.692328966821268,509777266.06933284,0.002956289387376208,0.49085729990967664,0.0014511162264391176
Antigua and Barbuda,21013.01763000001,20777.613080000006,100963,0.23393000000000005,14353.37881,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.4005106416086056,1.0,0.13901490701349917,1.3216681498414258,2072.1159773448508,209207045.42066818,2.004819464466364e-05,2.024125875909175,66.8585875938745,0.15300000000000002,105065.08815000007,2072.1159773448503,2738.6496900342268,2738.6496900342268,2072.1159773448508,2.004819464466364e-05,0.1650964983948586,0.9999999999999998,66.8585875938745,100.28788139081175,66.85858759387452,262327.8316102115,3.2086288530776006,1.6,0.16390495997237436,1.1779571109442395,1.1024406459462304,4155.997327095896,419601958.135583,0.19778203208483647,0.49858453080209075,0.09861106166810225
Argentina,18489.43489,10405.0,43847430,0.91893,12449.21685,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2695495148851759,1.0,0.15409767278400005,1.1979538860660952,80.3030314398552,3521081549.8468504,6.654122032330121e-07,29.17661500240527,18.163122922626524,0.050750804000000004,92447.17445,80.3030314398552,96.19932857626235,96.19932857626236,80.3030314398552,6.654122032330121e-07,0.003040221125954212,1.0,18.16312292262652,24.767894894490716,18.163122922626524,342969.17391738243,3.3953601692104316,3.2000000000000006,0.16162662160000005,2.289462949999999,1.9964116923999993,113.81504559544148,4990497244.692928,0.006155680055803019,0.7055572575641221,0.00434318473861454
Armenia,8190.239289,8174.366731999998,2924816,0.62558,3606.152057,3.0,0.2,1.5,0.06,0.8,0.05,0.4,1,0.3666957212217474,1.0,0.35366543847779996,1.289724411382942,57.60664946205654,168488850.0530144,1.5662774358390926e-06,4.581073304781152,3.8835351456432843,0.020931459799999996,40951.196444999994,57.60664946205655,74.29670206919437,74.29670206919435,57.60664946205654,1.5662774358390926e-06,0.011008806578264241,1.0,3.8835351456432843,9.708837864108208,3.8835351456432843,111676.23202299677,3.3813112346018226,1.6000000000000003,0.4025633195799999,1.2499999999999998,1.1699999999999997,78.99531302316763,231046755.45516905,0.009645055563793262,0.7292413594862488,0.007033573431661006
Australia,44260.57597000001,44414.02948000001,24127159,0.89554,49927.81951,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.27360239086009513,1.0,0.22769110058000006,1.201782492156731,101.40549990535948,2446626619.691093,2.0063297150263874e-07,4.8407036040866345,5.802461193390319,0.6593659199999999,221302.87985000003,101.40549990535948,121.86735439466206,121.86735439466207,101.40549990535948,2.0063297150263874e-07,0.0012708045199852393,0.9999999999999998,5.802461193390319,7.253076491737897,5.802461193390319,808848.4868656059,3.3981323636765723,3.9999999999999996,0.2823365920000001,2.8543999999999987,2.3976959999999994,127.17390227973529,3068344960.9536357,0.002873299759269609,0.7973766479407474,0.002291102130575357
Austria,44438.72482000001,44143.70016,8747358,0.66032,44176.51522,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.23227851820729006,1.0,0.48388575870000006,1.1627453167024924,114.5481546673106,1001993717.114337,2.0781724065454827e-07,1.8178518025774881,24.214818955643132,0.6452541399999999,222193.62410000002,114.5481546673106,133.19033037632818,133.19033037632818,114.5481546673106,2.0781724065454827e-07,0.0021973804682322456,0.9999999999999998,24.21481895564314,30.287875411859638,24.21481895564314,956582.7516675905,3.396832155683104,3.9999999999999996,0.49449017000000006,1.528,1.2835199999999998,132.47355238117314,1158793588.209874,0.0029810385630496834,0.8646869704053467,0.0025776652037449387
Azerbaijan,16001.323400000005,15994.00974,9762274,0.54895,3876.936433,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.5982212831852317,1.0,0.43154867302399996,1.5084382783151649,40.80658881764123,398365101.0431497,4.796767150442936e-07,4.682735523682317,0.0,0.0571493,80006.617,40.80658881764122,61.554220579997555,61.554220579997555,40.80658881764123,4.796767150442936e-07,0.006399322112339692,0.9999999999999998,0.0,4.291767610868665,0.0,133740.8401352831,3.3872437418290504,0.0,0.4859833592,1.2499999999999998,1.2499999999999998,66.06336009577322,644928622.6156044,0.004128618517626686,0.6176886667357396,0.0025502008676133135
Bangladesh,3319.3535560000005,3319.353556,162951560,0.35035,1358.779752,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2897089076246591,1.0,0.14788669267700003,1.2169977389506987,82.98495070021758,13522527173.123549,7.546138272641239e-06,1229.6550035025957,14.17817395088573,0.08737927799999998,16596.767780000002,82.9849507002176,100.99249736910002,100.99249736910002,82.98495070021758,7.546138272641239e-06,0.017334924936100768,0.9999999999999998,14.17817395088573,19.522175584219887,14.178173950885729,57287.73725350009,3.3746000212091047,3.2000000000000006,0.1380460646,2.3566042902633697,2.0549589411096587,98.1921252589628,16000559990.663393,0.0295817012567018,0.8451283693204599,0.025000334944801392
