country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.1183474946,101.328550982,291431146.809,1.6453214594e-06,4.7321106947,0.0,0.086087198,57123.1415934,101.328550982,113.320531123,113.320531123,101.328550982,1.6453214594e-06,0.0044676867198,1.0,0.0,46.6733746024,0.0,308307.134608,3.39099980367,0.0,0.191790901534,2.07428505812,2.07428505812,136.700841462,393165426.83,0.0119654519735,0.741243066968,0.00886930831849
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.21624346508,55.4122389635,2250072256.79,8.78758644288e-07,35.6829192054,29.0749662362,0.15218446,69873.3311234,55.4122389635,67.3947735245,67.3947735245,55.4122389635,8.78758644288e-07,0.00886564477349,1.0,29.0749662362,73.8120033028,29.0749662362,241851.172375,3.38701467529,0.0,0.15626269646,0.935387890303,0.935387890303,98.7789118423,4011021630.77,0.00706842727076,0.560972356649,0.00396519230388
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.3517904141,6.88061244917,198254272.221,4.37735645246e-07,12.6126798181,0.0,0.18571632,30123.6306908,6.88061244917,9.3011459519,9.3011459519,6.88061244917,4.37735645246e-07,0.00135713673424,1.0,0.0,1.03704053537,0.0,69666.5413596,3.39782268509,0.0,0.130048432798,3.05458332693,3.05458332693,13.9281198871,401317367.026,0.00231182622541,0.494008703612,0.00114206227659
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.32166814984,1955.56269375,197439476.249,2.27404338315e-05,2.29594242093,24.7612090319,0.153,83110.4523321,1955.56269375,2584.60492735,2584.60492735,1955.56269375,2.27404338315e-05,0.0557421055739,1.0,24.7612090319,89.1518959037,24.7612090319,207511.221171,2.64974680723,0.0,0.163904959972,3.16821237992,3.16821237992,4634.10901944,467873548.93,0.223033752766,0.421993243049,0.0941187366392
Argentina,10405.0,43847430.0,0.91893,12449.2168521,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.19795388607,44.7088182315,1960366777.79,1.0113231256e-06,44.3439199573,3.7942950672,0.050750804,52024.9999999,44.7088182315,53.5591025418,53.5591025418,44.7088182315,1.0113231256e-06,0.00303831805133,1.0,3.7942950672,13.797436608,3.7942950672,193007.21065,3.39536372916,0.0,0.161626621754,2.25521671068,2.25521671068,73.0371143621,3202489759.4,0.00701942473448,0.612138343936,0.00429685903234
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.28972441138,54.5807216675,159638568.025,1.50975840253e-06,4.41576553187,1.56379741038,0.0209314598,40871.8336587,54.5807216675,70.3940891255,70.3940891255,54.5807216675,1.50975840253e-06,0.0110167469849,1.0,1.56379741038,9.19880829633,1.56379741038,111459.80521,3.38129832025,0.0,0.402563319538,1.2301640476,1.2301640476,75.9194660459,222050469.003,0.00928750428473,0.718929208939,0.00667705810844
Australia,44414.029479,24127159.0,0.89554,49927.8195095,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.20178249216,104.773627181,2527889962.0,2.08778497198e-07,5.03723199768,5.49861450842,0.65936592,222070.147395,104.773627181,125.915110786,125.915110786,104.773627181,2.08778497198e-07,0.00113865080466,1.0,5.49861450842,7.4981106933,5.49861450842,811652.802803,3.3983264356,0.0,0.282336592,2.81248965881,2.81248965881,132.898199602,3206455992.61,0.00299225720253,0.788375068245,0.00235902097625
Austria,44143.7001647,8747358.0,0.66032,44176.515216,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.1627453167,104.183445648,911329896.761,1.92816322588e-07,1.68663340192,19.6312505561,0.64525414,220718.500823,104.183445648,121.138813506,121.138813506,104.183445648,1.92816322588e-07,0.00190179793424,1.0,19.6312505561,27.5755122005,19.6312505561,950232.085718,3.39724770935,0.0,0.49449017,1.5054831516,1.5054831516,121.705328459,1064600078.54,0.00275702598571,0.856030273837,0.00236009770952
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.50843827831,38.9518319199,380258456.004,4.58028640103e-07,4.47140108453,0.0,0.0571493,79970.048708,38.9518319199,58.7564342785,58.7564342785,38.9518319199,4.58028640103e-07,0.00648120839168,1.0,0.0,4.09651260191,0.0,133679.711765,3.38708457338,0.0,0.485983358847,1.23070139397,1.23070139397,63.0336932893,615352185.122,0.00394108133655,0.617952556598,0.00243540128768
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.21699773895,79.068265154,12884297153.3,7.36896053022e-06,1200.78361398,8.31272520297,0.087379278,16596.7677804,79.068265154,96.2258999151,96.2258999151,79.068265154,7.36896053022e-06,0.0154348257708,1.0,8.31272520297,18.6009738505,8.31272520297,57287.7372547,3.37725451234,0.0,0.138046064324,2.31829092085,2.31829092085,95.8866468211,15624878682.7,0.0288871448013,0.824601420273,0.0238203806308
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,1.0,0.435313789819,1.30838040675,65.90806797,626595911.159,6.03284301204e-07,5.73549624566,3.6161872331,0.172373852,83711.277478,65.90806797,86.232824779,86.232824779,65.90806797,6.03284301204e-07,0.00439646807559,1.0,3.6161872331,9.54418917827,3.6161872331,216619.125169,3.39341559618,0.0,0.468455039971,1.85177298848,1.85177298848,88.920011589,845373220.578,0.00531111304641,0.741206245841,0.00393663016236
Belgium,41945.6921229,11348159.0,0.97897,41096.1573022,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,1.0,0.48314774691,1.14802083797,24.0861638998,273333617.635,5.06604117013e-08,0.574902406992,0.0,0.5792287,209728.460615,24.0861638998,27.6514180638,27.6514180638,24.0861638998,5.06604117013e-08,0.000424923131024,1.0,0.0,4.89129269875,0.0,967866.500246,3.39914428672,0.0,0.510175572,1.51754067967,1.51754067967,29.611189002,336032480.974,0.000705941122993,0.813414277224,0.000574222588322
Belize,7831.45448606,366954.0,0.43845,4810.56590199,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.961548126505,1.0,0.150881730148,1.85166007287,98.0199699598,35968820.0566,4.84825879195e-06,1.77908795674,0.0,0.2545334,39157.2724303,98.0199699598,181.499664719,181.499664719,98.0199699598,4.84825879195e-06,0.0373110945579,1.0,0.0,8.13967334119,0.0,40723.1539961,3.33504106118,0.0,0.199827947083,1.77393656445,1.77393656445,228.622757854,83894035.4855,0.0291928859781,0.42874108807,0.0125161896981
Benin,2009.96138386,10872298.0,0.44395,789.440410686,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,1.0,0.0827798384973,1.25529858817,4.71247334147,51235414.4856,1.63735237954e-06,17.8017830014,0.107321238143,0.082372056,10049.8069193,4.71247334147,5.91556113233,5.91556113233,4.71247334147,1.63735237954e-06,0.00152537215379,1.0,0.107321238143,0.643927428856,0.107321238143,30430.6005465,3.39792032986,0.0,0.0773128577767,3.34398701439,3.34398701439,10.0391814605,109148972.515,0.00499471360053,0.469408124558,0.00234455914393
Bhutan,8105.79696745,797765.0,0.39377,2804.00022299,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,1.0,0.0440194671464,1.11862655614,176.762867537,141015229.021,4.75785113187e-06,3.79564710821,11.1876511413,0.24155478,40528.9848373,176.762867537,197.731637766,197.731637766,176.762867537,4.75785113187e-06,0.0069210585576,1.0,11.1876511413,46.0776700103,11.1876511413,218396.328861,3.38911082494,0.0,0.0437383708861,3.34450367245,3.34450367245,236.24538682,188468301.016,0.0291452386198,0.748217224118,0.0218069695364
Bolivia,6707.95618416,10887882.0,0.68911,3104.95608914,3.0,0.2,1.5,0.06,0.8,0.05,0.533333333333,0.45,0.421834200421,1.0,0.170332203809,1.34181174852,32.2446607487,351076061.362,1.29497066846e-06,14.0994878317,0.504431225822,0.27343408,33539.7809208,32.2446607487,43.2662646197,43.2662646197,32.2446607487,1.29497066846e-06,0.0045757696314,1.0,0.504431225822,2.10179677426,0.504431225822,79509.3922857,3.39245373776,0.0,0.212637275419,2.22132614731,2.22132614731,48.4086276816,527067425.979,0.00721659867069,0.666093262564,0.00480692775317
Bosnia and Herzegovina,11179.3499097,3516816.0,0.3994,4708.71826066,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.323932232357,1.0,0.143200371171,1.2493272823,61.2150458986,215282052.857,9.95007133087e-07,3.49925700575,0.0,0.099768162,55896.7495485,61.2150458986,76.4776269282,76.4776269282,61.2150458986,9.95007133087e-07,0.00375847931083,1.0,0.0,9.16163873788,0.0,172556.923841,3.39246593662,0.0,0.154760071983,2.43120044509,2.43120044509,80.0270337316,281440352.66,0.00715846935448,0.764929587468,0.00547572501022
Botswana,15513.4419328,2250260.0,0.5771,6788.04274538,3.0,0.2,1.5,0.06,0.8,0.05,0.6,0.708333333333,0.281178076714,1.0,0.0831001334421,1.20893896997,44.3578495085,99816694.4349,4.8051999637e-07,1.08129492703,1.15804285151,0.30619332,77567.209664,44.3578495085,53.6259328949,53.6259328949,44.3578495085,4.8051999637e-07,0.00128399374478,1.0,1.15804285151,2.72480670944,1.15804285151,275865.069462,3.39792845402,0.0,0.112198325649,3.2183938273,3.2183938273,63.1752934344,142160835.804,0.00407229380224,0.70213919235,0.00285931708132
Brazil,14023.6916227,207652865.0,0.85933,8649.94849175,3.0,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.558333333333,0.265575010188,1.0,0.213762613761,1.1941993145,24.7397015737,5137269911.03,2.8846030858e-07,59.8996095153,1.32029590211,0.145584762,70118.4581136,24.7397015737,29.5441346603,29.5441346603,24.7397015737,2.8846030858e-07,0.000753112095286,1.0,1.32029590211,2.72851047509,1.32029590211,264025.06043,3.39892672772,0.0,0.20715625943,3.25430475961,3.25430475961,32.5959036063,6768632771.12,0.00232434543509,0.758981922162,0.00176413616609
Bulgaria,17709.075186,7127822.0,0.74266,7350.7958009,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.716666666667,0.323078471507,1.0,0.43909310688,1.24852076515,40.5457516759,289002900.802,3.32430571951e-07,2.36950594423,1.67097462108,0.171487506,88545.37593,40.5457516759,50.6222129057,50.6222129057,40.5457516759,3.32430571951e-07,0.00164648529932,1.0,1.67097462108,3.49738874179,1.67097462108,274067.707195,3.39737797707,0.0,0.4733378346,2.20826385105,2.20826385105,53.2977643277,379896977.126,0.00300963002121,0.760740195903,0.00228954653193
Burkina Faso,1594.57677663,18646433.0,0.30688,649.730483656,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.416666666667,0.405665091881,1.0,0.0372065918619,1.32653737353,3.66846765133,68403836.2732,1.14689806606e-06,21.3855579467,0.333749101703,0.098161232,7972.88388314,3.66846765133,4.86635944308,4.86635944308,3.66846765133,1.14689806606e-06,0.00145533759266,1.0,0.333749101703,1.00124730511,0.333749101703,19653.8574374,3.39773280392,0.0,0.0362036792661,3.34382596358,3.34382596358,4.96896992545,92653564.7939,0.00311616850206,0.738275277647,0.00230059016606
Burundi,721.176561507,10524117.0,0.12359,285.727442065,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.462979312718,1.0,0.10226863015,1.3806800555,2.46586950316,25951099.158,2.63407379506e-06,27.7213008059,0.061555665611,0.04666023,3605.88280754,2.46586950316,3.40457684248,3.40457684248,2.46586950316,2.63407379506e-06,0.00334461959471,1.0,0.061555665611,0.369333993666,0.061555665611,7788.43181214,3.39484502247,0.0,0.103267189701,2.43306105978,2.43306105978,3.47106945961,36529941.1081,0.00481306471242,0.710406268687,0.0034192313433
Cameroon,3045.91916487,23439189.0,0.54938,1032.64872204,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.566666666667,0.419737574603,1.0,0.018028650423,1.33983114156,7.80866671141,183028814.887,1.08503482657e-06,25.4323363716,0.453974992347,0.099802922,15229.5958243,7.80866671141,10.462294834,10.462294834,7.80866671141,1.08503482657e-06,0.00354163646963,1.0,0.453974992347,1.20169850915,0.453974992347,36283.6132523,3.39482933858,0.0,0.0161419412854,1.80720643459,1.80720643459,12.4106325002,290895160.782,0.00407451144579,0.629191679899,0.00256364870134
Canada,43087.7573653,36286425.0,0.82006,42157.927991,3.0,0.2,1.5,0.06,0.8,0.05,0.866666666667,0.833333333333,0.335483893856,1.0,0.24114664264,1.26023972123,43.5625527977,1580729304.9,9.56654481603e-08,3.47135710976,3.74310213098,0.66304528,215438.786827,43.5625527977,54.8992593938,54.8992593938,43.5625527977,9.56654481603e-08,0.00122976245077,1.0,3.74310213098,5.18275679674,3.74310213098,642173.263075,3.39825665257,0.0,0.304504528,1.48455520363,1.48455520363,58.2214698226,2112648998.11,0.00135122998695,0.748221453881,0.00101101926537
Central African Republic,647.880444823,4594621.0,0.40332,382.213174318,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.314743833051,1.0,0.00945003463381,1.24064733212,3.02907972454,13917473.313,5.03652098406e-06,23.1409050803,0.0,0.0310531492,3239.40222411,3.02907972454,3.75801967902,3.75801967902,3.02907972454,5.03652098406e-06,0.00275438123247,1.0,0.0,0.43461711432,0.0,10292.1864829,3.39459906097,0.0,0.00922010462524,3.19143184577,3.19143184577,5.6512699712,25965443.6863,0.00872270496255,0.535999826583,0.00467536834727
Chad,1845.91467919,14452543.0,0.22618,664.295651899,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.753200994464,1.0,0.0357168332084,1.65484203461,3.95241785752,57122489.0398,1.43891694688e-06,20.7960090482,0.0,0.052886108,9229.57339594,3.95241785752,6.54062720897,6.54062720897,3.95241785752,1.43891694688e-06,0.00264401301257,1.0,0.0,0.676611720277,0.0,12253.7987387,3.39473086501,0.0,0.0345768918488,3.3433862177,3.3433862177,7.76475092356,112220396.607,0.00420645169092,0.509020559246,0.00214117039215
Chile,22706.720537,17909754.0,0.89697,13792.9260544,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.347394111819,1.0,0.166982123967,1.27149087555,209.683012183,3755371166.17,1.42769820943e-06,25.569723717,59.9801374567,0.16560282,113533.602685,209.683012183,266.610036748,266.610036748,209.683012183,1.42769820943e-06,0.0271039195418,1.0,59.9801374567,81.6502391373,59.9801374567,326814.988575,3.36169230298,0.0,0.186146855134,0.759514112796,0.759514112796,332.374315015,5952742217.84,0.0146377066857,0.630864067138,0.00923440317332
China,14400.8860587,1378665000.0,0.56778,8123.18087255,3.0,0.2,1.5,0.06,0.8,0.05,0.8,0.841666666667,0.229216379139,1.0,0.19586191952,1.15985262412,49.5706436583,68341311439.1,5.47831707343e-07,755.276400804,4.90518862447,0.44824216,72004.4302934,49.5706436583,57.4946411262,57.4946411262,49.5706436583,5.47831707343e-07,0.00147210807041,1.0,4.90518862447,8.24829566931,4.90518862447,314133.006393,3.39798661903,0.0,0.222599482063,2.79799646533,2.79799646533,64.4181376776,88811031781.3,0.00447320653848,0.769513764995,0.00344219400503
Colombia,13124.3248436,48653419.0,0.76708,5805.60533452,3.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.716666666667,0.27977925648,1.0,0.104940216041,1.20761755483,167.611662041,8154880422.55,2.27601697541e-06,110.736007556,13.1851451473,0.145318898,65621.624218,167.611662041,202.410785475,202.410785475,167.611662041,2.27601697541e-06,0.0138590107569,1.0,13.1851451473,25.0911081662,13.1851451473,234547.854061,3.37963826453,0.0,0.108932801422,1.39478806262,1.39478806262,232.854820589,11329183152.3,0.017742232333,0.719811862243,0.012771069296
Comoros,1411.15233854,795601.0,0.28412,775.080084705,3.0,0.2,1.5,0.06,0.8,0.05,0.266666666667,0.166666666667,0.197958724461,1.0,0.0416231060007,1.13032464255,3.48700130271,2774261.72344,1.22061273364e-06,0.971120711494,0.0157083567589,0.125104594,5644.60935416,3.48700130271,3.94144350105,3.94144350105,3.48700130271,1.22061273364e-06,0.00100847401681,1.0,0.0157083567589,0.353438027074,0.0157083567589,28514.0721609,2.71814632437,0.0,0.041381802672,1.94687162561,1.94687162561,4.4026165515,3502726.13099,0.0031198733342,0.792029299376,0.00247103109103
"Congo, Dem. Rep.",742.307904932,78736153.0,0.43015,444.505316816,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.237056001858,1.0,0.0834408819573,1.16725843359,5.67622600511,446924199.201,5.5782264739e-06,439.208093117,0.0983541570863,0.056768334,3711.53952466,5.67622600511,6.62562267543,6.62562267543,5.67622600511,5.5782264739e-06,0.00354863319975,1.0,0.0983541570863,0.655694380575,0.0983541570863,15656.8047026,3.3944072379,0.0,0.0791488218624,3.05408789556,3.05408789556,7.67617869129,604392779.892,0.0103409631506,0.73945985801,0.00764672714301
"Congo, Rep.",5301.39727121,5125821.0,0.65798,1528.24483012,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.372753423902,1.0,0.153842015674,1.29544690512,26.4208041537,135428312.768,1.52514034783e-06,7.81759642284,0.0,0.116462276,26506.986356,26.4208041537,34.2267489716,34.2267489716,26.4208041537,1.52514034783e-06,0.0056917214795,1.0,0.0,3.43875031352,0.0,71111.3155677,3.38930574372,0.0,0.157562149159,1.80687191473,1.80687191473,40.0561102327,205320451.009,0.00755576467553,0.659594853324,0.00498374349291
Costa Rica,15401.4925047,4857274.0,0.77675,11824.638102,3.0,0.2,1.5,0.06,0.8,0.05,0.933333333333,0.75,0.481896754917,1.0,0.196189451166,1.3985506824,57.3812154183,278716285.74,6.32407513001e-07,3.0717765703,4.44620673212,0.26912722,77007.4625234,57.3812154183,80.2505379804,80.2505379804,57.3812154183,6.32407513001e-07,0.00462196318273,1.0,4.44620673212,6.35172390304,4.44620673212,159800.749305,3.39360403347,0.0,0.208642311336,1.95411089244,1.95411089244,82.2440150129,399481715.778,0.00534000292426,0.697694724769,0.00372569187051
Cote d'Ivoire,3448.14401279,23695919.0,0.54869,1526.19717484,3.0,0.2,1.5,0.06,0.8,0.05,0.4,0.45,0.575976439362,1.0,0.109442382129,1.48742437484,6.13065475842,145271498.573,7.30658256354e-07,17.3136188592,0.21016485744,0.108415684,17240.7200639,6.13065475842,9.11888532139,9.11888532139,6.13065475842,7.30658256354e-07,0.00172546173919,1.0,0.21016485744,1.16758254133,0.21016485744,29933.0300438,3.39698628672,0.0,0.110739710361,3.34395329942,3.34395329942,10.0662055126,238527990.465,0.0029193112223,0.609033339398,0.00177795786246
Croatia,21408.5515146,4170600.0,0.59284,12090.6665636,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.558333333333,0.230522471532,1.0,0.319203080089,1.1610864426,122.837587617,512306442.917,7.05209667329e-07,2.94114743856,4.70327595889,0.28301458,107042.757573,122.837587617,142.625057624,142.625057624,122.837587617,7.05209667329e-07,0.00272760929662,1.0,4.70327595889,12.6356667552,4.70327595889,464348.472673,3.3957341281,0.0,0.354580657999,2.42811097298,2.42811097298,150.306767392,626869404.086,0.00702087515309,0.817245888183,0.00573778135031
Cyprus,31195.5062212,1170125.0,0.6684,23324.2017354,3.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.201747782914,1.0,0.37022945668,1.13390402972,53.6975273848,62832819.2312,2.41622403473e-07,0.282728414864,0.0,0.24233096,155977.531106,53.6975273848,60.8878426877,60.8878426877,53.6975273848,2.41622403473e-07,0.0030148343471,1.0,0.0,49.3836363785,0.0,773131.326913,3.39408891145,0.0,0.387005966,0.852021372717,0.852021372717,90.5676709318,105975495.949,0.00290322812169,0.592899506329,0.00172132252011
Czech Republic,31071.7483717,10561633.0,0.7298,18266.5496886,3.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.9,0.239799831571,1.0,0.486997761933,1.16985043078,54.3579460518,574108676.833,1.72532366816e-07,1.82222353893,13.1269625461,0.40017238,155358.741858,54.3579460518,63.5906666051,63.5906666051,54.3579460518,1.72532366816e-07,0.000962282232317,1.0,13.1269625461,21.8782709101,13.1269625461,647868.436106,3.39850296432,0.0,0.481270902399,2.31952356105,2.31952356105,64.2959621765,679070355.89,0.00206927403657,0.845433277794,0.00174943313139
