country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.628318674459,2876101.0,0.5837600000000001,4146.89625046,4.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.18527998603100002,1.0,0.1839433125863171,1.1548706449602493,-132.5215212640234,-381145279.828979,-1.8753015951702494e-06,-5.393556793170751,0.0,0.086087198,57123.14159337228,-132.5215212640234,-153.04521473329612,-153.04521473329612,-132.5215212640234,-1.8753015951702494e-06,0.0044676867197979775,0.9999999999999997,0.0,-61.03082353812762,0.0,308307.13460769993,3.390999803672371,0.0,0.19179090153352735,-2.5272000000000006,-2.5272000000000006,-155.8086443172407,-448121397.7294603,-0.013637961776188302,0.8505402369986444,-0.011599635241297652
Algeria,13974.666224685794,40606052.0,0.71304,3843.75232202,4.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.28891045032900003,1.0,0.14544458210924857,1.2829782330261514,-70.93541416943164,-2880407116.4054775,-1.1152793318686497e-06,-45.28709054438365,-37.79377696700635,0.15218446000000002,69873.33112342897,-70.93541416943162,-91.00859233007566,-91.00859233007566,-70.93541416943164,-1.1152793318686497e-06,0.00886564477349066,0.9999999999999998,-37.79377696700636,-94.48444241751585,-37.79377696700636,241851.17237489994,3.38701467529227,0.0,0.15626269646013535,-1.1404708799999999,-1.1404708799999999,-125.36557053332501,-5090600876.085863,-0.00897091698060529,0.5658285115096684,-0.0050760006020127
Angola,6024.7261381612,28813463.0,0.44819,3110.80818263,4.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.43239739052500004,1.0,0.12735853573428577,1.4603562458719426,-9.36265137936921,-269770409.10135376,-5.732606443322674e-07,-16.51762436482395,0.0,0.18571632000000005,30123.630690805992,-9.362651379369208,-13.672806419783381,-13.672806419783381,-9.36265137936921,-5.732606443322674e-07,0.0013571367342441257,0.9999999999999998,0.0,-1.4134305732224246,0.0,69666.54135962999,3.397822685092475,0.0,0.13004843279783873,-3.7200000000000006,-3.7200000000000006,-18.24033081956316,-525567097.17724276,-0.0030275784162249525,0.5132939458163531,-0.001554037671532531
Antigua and Barbuda,20777.613083034837,100963.0,0.23393000000000003,14353.3788139,4.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.40051064160899996,1.0,0.1390149070126965,1.4209379674480889,-2644.366635998699,-266983188.6703366,-2.76625176381065e-05,-2.792890768296146,-33.49031620075265,0.153,83110.45233213935,-2644.3666359986987,-3757.480952943532,-3757.4809529435315,-2644.366635998699,-2.76625176381065e-05,0.05574210557386825,0.9999999999999998,-33.49031620075265,-120.56513832255283,-33.49031620075265,207511.22117068805,2.649746807228371,0.0,0.16390495997162838,-3.8841110449376006,-3.8841110449376006,-5637.144983126977,-569143068.931449,-0.27130859356168163,0.46909679348567046,-0.12726999128489186
Argentina,10404.999999985112,43847430.0,0.9189299999999999,12449.2168521,4.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.15409767305545466,1.2590443178475204,-57.55346408008384,-2523571487.5089893,-1.1991798613581319e-06,-52.58095502831039,-4.88487289977655,0.050750804000000004,52024.99999992556,-57.55346408008383,-72.46236192247092,-72.46236192247092,-57.55346408008384,-1.1991798613581319e-06,0.0030383180513266603,0.9999999999999998,-4.88487289977655,-17.763174181013714,-4.88487289977655,193007.21064967,3.395363729159212,0.0,0.16162662175403184,-2.7473555400000005,-2.7473555400000005,-86.60400860748373,-3797363205.1360407,-0.008323306930092037,0.6645588928906746,-0.005531327638651244
Armenia,8174.366731732048,2924816.0,0.62558,3606.15205715,4.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.36669572122199995,1.0,0.35366543847662074,1.3791360907435504,-70.65711852091482,-206659070.763868,-2.02851518660906e-06,-5.933033674037166,-2.0243388283188093,0.020931459799999996,40871.83365866024,-70.65711852091482,-97.44578222013816,-97.44578222013816,-70.65711852091482,-2.02851518660906e-06,0.011016746984861705,0.9999999999999998,-2.0243388283188093,-11.907875460698877,-2.0243388283188093,111459.80520977,3.3812983202529363,0.0,0.4025633195380277,-1.5,-1.5,-102.0055855128177,-298347568.59725744,-0.012478714114555511,0.6926789171955321,-0.008643742180862914
Australia,44414.0294790406,24127159.0,0.89554,49927.819509500005,4.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110057999867,1.264054467801056,-136.2264779939763,-3286757894.5706673,-2.522021435975182e-07,-6.084921218718153,-7.14976905113827,0.65936592,222070.147395203,-136.2264779939763,-172.19768814108798,-172.19768814108795,-136.2264779939763,-2.522021435975182e-07,0.0011386508046580986,0.9999999999999998,-7.14976905113827,-9.749685069730457,-7.14976905113827,811652.8028033001,3.398326435595557,0.0,0.28233659199988537,-3.4252799999999994,-3.4252799999999994,-160.53957313467467,-3873363806.812424,-0.0036146140086306473,0.848553881974618,-0.003067194748863371
Austria,44143.70016465087,8747358.0,0.66032,44176.515216,4.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.23227851820700002,1.0,0.4838857586995117,1.2129700527018903,-131.90598749878046,-1153828894.9953573,-2.493579019513874e-07,-2.1812228384976846,-24.905095077583525,0.6452541399999999,220718.50082325432,-131.90598749878046,-159.99801260809056,-159.99801260809062,-131.90598749878046,-2.493579019513874e-07,0.0019017979342405972,0.9999999999999998,-24.905095077583525,-34.913684688188155,-24.90509507758353,950232.0857177001,3.397247709352288,0.0,0.4944901699995093,-1.8335999999999997,-1.8335999999999997,-157.39427530625886,-1376784073.254406,-0.0035654980148740706,0.8380608967010831,-0.002988104463531295
Azerbaijan,15994.009741602958,9762274.0,0.54895,3876.93643264,4.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.43154867260021773,1.6653471148820858,-49.56936039246712,-483909678.15601146,-6.324514603401729e-07,-6.174164447540901,0.0,0.0571493,79970.04870801479,-49.56936039246711,-82.55019131614544,-82.55019131614544,-49.56936039246712,-6.324514603401729e-07,0.0064812083916846175,1.0,0.0,-5.213638454039327,0.0,133679.71176526,3.387084573381877,0.0,0.48598335884709964,-1.5,-1.5,-87.03768253989087,-849685705.2794306,-0.005441892555154073,0.5695160871240871,-0.003099245354561048
Bangladesh,3319.35355607459,162951560.0,0.35035,1358.77975225,4.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.14788669235097787,1.2839652829159411,-104.75361620488309,-17069765176.226974,-9.13124715170318e-06,-1487.9509681155898,-11.144189785893728,0.08737927799999998,16596.767780372953,-104.7536162048831,-134.50000646697058,-134.50000646697055,-104.75361620488309,-9.13124715170318e-06,0.015434825770807046,1.0,-11.144189785893728,-24.6431715167162,-11.144189785893728,57287.73725472001,3.377254512335137,0.0,0.13804606432439404,-2.8279251483159995,-2.8279251483159995,-118.81793464364381,-19361567806.1598,-0.03579550434638118,0.8816313506799953,-0.031558438845171684
