country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,11424.6283187,2876101.0,0.58376,4146.89625046,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.185279986031,1.0,0.183943312586,1.04099835156,-66.260760632,-190572639.914,-8.86413088805e-07,-2.54941357113,0.0,0.086087198,57123.1415934,-66.260760632,-68.9773425912,-68.9773425912,-66.260760632,-8.86413088805e-07,0.0044676867198,1.0,0.0,-30.5154117691,0.0,308307.134608,3.39099980367,0.0,0.191790901534,-1.2636,-1.2636,-73.6472586743,-211816954.32,-0.00644635927052,0.89970437223,-0.00579981762065
Algeria,13974.6662247,40606052.0,0.71304,3843.75232202,1.0,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.288910450329,1.0,0.145444582109,1.07491181486,-35.4677070847,-1440203558.2,-4.70255735331e-07,-19.0952288421,-18.8968884835,0.15218446,69873.3311234,-35.4677070847,-38.1246573912,-38.1246573912,-35.4677070847,-4.70255735331e-07,0.00886564477349,1.0,-18.8968884835,-47.2422212088,-18.8968884835,241851.172375,3.38701467529,0.0,0.15626269646,-0.57023544,-0.57023544,-52.8601910497,-2146443666.49,-0.00378257270691,0.670971980623,-0.00253800030101
Angola,6024.72613816,28813463.0,0.44819,3110.80818263,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.432397390525,1.0,0.127358535734,1.12186846137,-4.68132568968,-134885204.551,-2.2901223241e-07,-6.59863548509,0.0,0.18571632,30123.6306908,-4.68132568968,-5.25183164864,-5.25183164864,-4.68132568968,-2.2901223241e-07,0.00135713673424,1.0,0.0,-0.706715286611,0.0,69666.5413596,3.39782268509,0.0,0.130048432798,-1.86,-1.86,-7.28684050123,-209959109.169,-0.0012094890845,0.64243559179,-0.000777018835766
Antigua and Barbuda,20777.613083,100963.0,0.23393,14353.3788139,1.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.416666666667,0.400510641609,1.0,0.139014907013,1.1114334016,-1322.183318,-133491594.335,-1.12182667789e-05,-1.1326298688,-16.7451581004,0.153,83110.4523321,-1322.183318,-1469.51870266,-1469.51870266,-1322.183318,-1.12182667789e-05,0.0557421055739,1.0,-16.7451581004,-60.2825691613,-16.7451581004,207511.221171,2.64974680723,0.0,0.163904959972,-1.94205552247,-1.94205552247,-2286.08968711,-230810473.08,-0.11002657899,0.578360212837,-0.0636349956425
Argentina,10405.0,43847430.0,0.91893,12449.2168521,1.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.375,0.269549514885,1.0,0.154097673055,1.06857587515,-28.77673204,-1261785743.75,-5.24620481248e-07,-23.0032598281,-2.44243644989,0.050750804,52024.9999999,-28.77673204,-30.7501216237,-30.7501216237,-28.77673204,-5.24620481248e-07,0.00303831805133,1.0,-2.44243644989,-8.88158709051,-2.44243644989,193007.21065,3.39536372916,0.0,0.161626621754,-1.37367777,-1.37367777,-37.8877582402,-1661280827.3,-0.00364130305048,0.759525856811,-0.00276566381933
Armenia,8174.36673173,2924816.0,0.62558,3606.15205715,1.0,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.366695721222,1.0,0.353665438477,1.10036734038,-35.3285592605,-103329535.382,-8.15632593789e-07,-2.38557526044,-1.01216941416,0.0209314598,40871.8336587,-35.3285592605,-38.874392793,-38.874392793,-35.3285592605,-8.15632593789e-07,0.0110167469849,1.0,-1.01216941416,-5.95393773035,-1.01216941416,111459.80521,3.38129832025,0.0,0.402563319538,-0.75,-0.75,-41.014768261,-119960650.446,-0.00501748570955,0.861361913241,-0.00432187109043
Australia,44414.029479,24127159.0,0.89554,49927.8195095,1.0,0.2,1.5,0.06,0.8,0.05,0.8,0.916666666667,0.27360239086,1.0,0.22769110058,1.06990219422,-68.113238997,-1643378947.29,-1.10232200721e-07,-2.65958983371,-3.57488452557,0.65936592,222070.147395,-68.113238997,-72.8745038581,-72.8745038581,-68.113238997,-1.10232200721e-07,0.00113865080466,1.0,-3.57488452557,-4.87484253487,-3.57488452557,811652.802803,3.3983264356,0.0,0.282336592,-1.71264,-1.71264,-70.1684378926,-1692965057.82,-0.00157987101634,0.970710493815,-0.00153359737443
Austria,44143.7001647,8747358.0,0.66032,44176.515216,1.0,0.2,1.5,0.06,0.8,0.05,0.8,0.891666666667,0.232278518207,1.0,0.4838857587,1.05637879984,-65.9529937494,-576914447.498,-1.08305811095e-07,-0.94738970313,-12.4525475388,0.64525414,220718.500823,-65.9529937494,-69.6713443827,-69.6713443827,-65.9529937494,-1.08305811095e-07,0.00190179793424,1.0,-12.4525475388,-17.4568423441,-12.4525475388,950232.085718,3.39724770935,0.0,0.49449017,-0.9168,-0.9168,-68.3624401528,-597990737.77,-0.00154863411762,0.964754821536,-0.00149405223177
Azerbaijan,15994.0097416,9762274.0,0.54895,3876.93643264,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.25,0.598221283185,1.0,0.4315486726,1.17613496046,-24.7846801962,-241954839.078,-2.24763724544e-07,-2.19420506426,0.0,0.0571493,79970.048708,-24.7846801962,-29.1501288627,-29.1501288627,-24.7846801962,-2.24763724544e-07,0.00648120839168,1.0,0.0,-2.60681922702,0.0,133679.711765,3.38708457338,0.0,0.485983358847,-0.75,-0.75,-30.9318816227,-301965503.737,-0.00193396666142,0.80126648933,-0.00154962267728
Bangladesh,3319.35355607,162951560.0,0.35035,1358.77975225,1.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.616666666667,0.289708907625,1.0,0.147886692351,1.07517311304,-52.3768081025,-8534882588.13,-3.95616268454e-06,-644.66288106,-5.57209489295,0.087379278,16596.7677804,-52.3768081025,-56.3141358188,-56.3141358188,-52.3768081025,-3.95616268454e-06,0.0154348257708,1.0,-5.57209489295,-12.3215857584,-5.57209489295,57287.7372547,3.37725451234,0.0,0.138046064324,-1.41396257416,-1.41396257416,-51.4785189232,-8388504965.03,-0.0155085976994,1.01744978679,-0.0157792194226
Belarus,16742.2554956,9507120.0,0.77046,4989.25461056,1.0,0.2,1.5,0.06,0.8,0.05,0.733333333333,0.516666666667,0.386444536754,1.0,0.435313789819,1.10683021532,-44.2589360251,-420775015.863,-3.34198870597e-07,-3.17726876663,-2.42850126438,0.172373852,83711.277478,-44.2589360251,-48.9871276906,-48.9871276906,-44.2589360251,-3.34198870597e-07,0.00439646807559,1.0,-2.42850126438,-6.40953412885,-2.42850126438,216619.125169,3.39341559618,0.0,0.468455039971,-1.128,-1.128,-49.2586453638,-468307852.511,-0.00294217498811,0.898500876308,-0.00264354680507
Belgium,41945.6921229,11348159.0,0.97897,41096.1573022,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.216691517437,1.0,0.48314774691,1.0512778946,-15.1866112099,-172340078.681,-2.84691094063e-08,-0.323071980131,0.0,0.5792287,209728.460615,-15.1866112099,-15.9653486588,-15.9653486588,-15.1866112099,-2.84691094063e-08,0.000424923131024,1.0,0.0,-3.08392428779,0.0,967866.500246,3.39914428672,0.0,0.510175572,-0.924,-0.924,-16.6402946806,-188836709.842,-0.000396710456745,0.912640761565,-0.000362054133364
Belize,7831.45448606,366954.0,0.43845,4810.56590199,1.0,0.2,1.5,0.06,0.8,0.05,0.0,0.075,0.961548126505,1.0,0.150881730148,1.29503505078,-65.4338627785,-24011217.682,-2.2049953384e-06,-0.809131859407,0.0,0.2545334,39157.2724303,-65.4338627785,-84.7391458062,-84.7391458062,-65.4338627785,-2.2049953384e-06,0.0373110945579,1.0,0.0,-5.43580328281,0.0,40723.1539961,3.33504106118,0.0,0.199827947083,-1.08373891618,-1.08373891618,-103.97797167,-38155132.6163,-0.013276968136,0.629305051131,-0.00835526311172
Benin,2009.96138386,10872298.0,0.44395,789.440410686,1.0,0.2,1.5,0.06,0.8,0.05,0.666666666667,0.25,0.330253321946,1.0,0.0827798384973,1.08844142672,-3.18537734964,-34632371.7878,-8.33014195649e-07,-9.05677857333,-0.072564721524,0.082372056,10049.8069193,-3.18537734964,-3.46709666709,-3.46709666709,-3.18537734964,-8.33014195649e-07,0.00152537215379,1.0,-0.072564721524,-0.435388329144,-0.072564721524,30430.6005465,3.39792032986,0.0,0.0773128577767,-2.03624376099,-2.03624376099,-5.1075020709,-55530284.5505,-0.00254109462596,0.623666384354,-0.00158479529767
Bhutan,8105.79696745,797765.0,0.39377,2804.00022299,1.0,0.2,1.5,0.06,0.8,0.05,0.6,0.416666666667,0.185575394278,1.0,0.0440194671464,1.04109502503,-125.020806612,-99737223.7871,-2.48265345975e-06,-1.98057403732,-8.14554697196,0.24155478,40528.9848373,-125.020806612,-130.15853979,-130.15853979,-125.020806612,-2.48265345975e-06,0.0069210585576,1.0,-8.14554697196,-32.5821878878,-8.14554697196,218396.328861,3.38911082494,0.0,0.0437383708861,-2.03733738394,-2.03733738394,-123.273177467,-98343026.4217,-0.0152080267939,1.01417688082,-0.0154236291773
